  26/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  27/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  27/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  28/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  28/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  29/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  29/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  30/04/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  30/04/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  01/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  01/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  02/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  02/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  03/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  03/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  04/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  04/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  05/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  05/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  06/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  06/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  07/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  07/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  08/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  08/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
  09/05/1876,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,
  09/05/1876,        NA,        NA,        NA,        NA,                       NA,                       NA,
