          NA	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  20/08/1891	        NA	        NA	      57.1	    -170.3	     sw anchorage st paul	                  st paul	
  21/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/08/1891	        NA	        NA	      56.6	    -169.6	  sw bay st george island	         st george island	
  23/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  23/08/1891	        NA	        NA	      56.6	    -169.6	  sw bay st george island	         st george island	
  24/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  24/08/1891	     56 50	    169 45	      56.6	    -169.6	garden cove st george island	         st george island	
  25/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/08/1891	     57 40	    170 04	        NA	        NA	                       NA	                       NA	
  26/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/08/1891	   57 28 N	  170 17 W	        NA	        NA	                       NA	                       NA	
  27/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/08/1891	        NA	        NA	      57.1	    -170.3	    walrus id wxn 4 miles	           st paul island	
  28/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  28/08/1891	   55 37 N	  165 17 W	        NA	        NA	                  h green	                       NA	
  29/08/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
   2/09/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  02/09/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  02/09/1891	   54 31 N	  167 56 W	        NA	        NA	                       NA	                       NA	
  03/09/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  04/09/1891	        NA	        NA	      53.8	    -167.0	        priest rock abeam	              priest rock	
  04/09/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  05/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/09/1891	        NA	        NA	      54.0	    -166.7	                 unalaska	            cape cheerful	
  06/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/09/1884	        NA	        NA	      57.1	    -170.3	  ne anchorage st paul is	                  st paul	
  08/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/09/1891	        NA	        NA	      56.6	    -169.6	         st george island	         st george island	
  10/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/09/1891	     55 27	    170 15	        NA	        NA	                       NA	                       NA	
  11/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/09/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  13/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/09/1891	        NA	        NA	      54.2	    -165.9	                 unalaska	               north head	
  14/09/1891	        NA	        NA	      54.1	    -167.0	        priest rock abeam	              priest rock	
  15/09/1891	        NA	Makushin Pt	      53.4	    -167.6	        chernofski harbor	               chernofski	
  16/09/1891	        NA	        NA	      53.7	    -167.0	      cape makushin abeam	             makushin bay	
  16/09/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  17/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/09/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  18/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/09/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  19/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/09/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  20/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/09/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  21/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/09/1891	     53 43	    165 18	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  22/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/09/1891	     52 19	  160 10 W	      53.9	       7.8	          unalaska alaska	                     bone	
  22/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/09/1891	   50 33 N	  155 16 W	      36.9	       7.8	                  e oneil	                     bone	
  24/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  24/09/1891	   48 48 N	  149 43 W	      36.9	       7.8	                  e oneil	                     bone	
  25/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/09/1891	   47 01 N	  144 41 W	      36.9	       7.8	                  e oneil	                     bone	
  26/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/09/1891	   45 32 N	  140 48 W	      36.9	       7.8	                  e oneil	                     bone	
  27/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/09/1891	   44 19 N	  137 29 W	      36.9	       7.8	                  e oneil	                     bone	
  28/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  28/09/1891	   42 38 N	  133 06 W	      36.9	       7.8	                  e oneil	                     bone	
  29/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/09/1891	   40 45 N	  128 37 W	      36.9	       7.8	                  e oneil	                     bone	
  30/09/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/10/1891	   38 50 N	  124 17 W	      36.9	       7.8	                  e oneil	                     bone	
  01/10/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  01/10/1891	        NA	        NA	      37.8	    -122.4	     san francisco harbor	        san francisco bay	
  02/10/1891	        NA	        NA	        NA	        NA	               drakes bay	                       NA	
  02/10/1891	        NA	        NA	      37.8	    -122.4	 san francisco california	        san francisco bay	
  03/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/10/1891	        NA	        NA	      37.8	    -122.4	            san francisco	            san francisco	
  05/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/10/1891	        NA	        NA	      37.8	    -122.4	      san francisco calif	        san francisco bay	
  07/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/10/1891	        NA	        NA	      37.8	    -122.4	            san francisco	            san francisco	
  09/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/10/1891	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  11/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/10/1891	        NA	        NA	      37.8	    -122.4	            san francisco	            san francisco	
  14/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/10/1891	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  15/10/1891	        NA	        NA	      37.8	    -122.4	            san francisco	            san francisco	
  10/10/1891	        NA	        NA	      37.8	    -122.4	            san francisco	            san francisco	
  17/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/10/1891	        NA	        NA	      37.8	    -122.4	            san francisco	            san francisco	
  19/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/10/1891	   38 58 N	  125 53 W	        NA	        NA	                       NA	                       NA	
  20/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/10/1891	   40 40 N	  130 02 W	        NA	        NA	                       NA	                       NA	
  21/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/10/1891	   42 15 N	  133 43 W	      25.4	      55.4	                   seaman	                    ajman	
  22/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/10/1891	   43 53 N	  136 43 W	      37.8	    -122.4	            san francisco	            san francisco	
  23/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  23/10/1891	   45 39 N	  139 14 W	      37.8	    -122.4	            san francisco	            san francisco	
  24/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  24/10/1891	   47 26 N	  142 56 W	      -8.7	     115.2	nr sentsosn sea f mastland calif	                     bali	
  25/10/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  25/10/1891	   48 05 N	  144 21 W	      37.8	    -122.4	            san francisco	            san francisco	
  26/10/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  26/10/1891	   48 45 N	  144 21 W	        NA	        NA	                       42	                       NA	
  27/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/10/1891	   49 44 N	  147 45 W	        NA	        NA	                       NA	                       NA	
  28/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  28/10/1891	   51 55 N	  151 52 W	        NA	        NA	                       NA	                       NA	
  29/10/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/10/1891	   53 56 N	  157 16 W	        NA	        NA	                       NA	                       NA	
  30/10/1891	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  30/10/1891	   53 55 N	  163 21 W	        NA	        NA	                       NA	                       NA	
  01/11/1891	        NA	        NA	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  01/11/1891	        NA	        NA	      53.9	    -167.0	          unalaska alaska	              priest rock	
  01/11/1891	        NA	        NA	      53.9	    -166.5	                 unalaska	             unalaska bay	
  02/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/11/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  03/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  03/11/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  04/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/11/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  05/11/1891	        NA	        NA	      54.0	    -166.7	   cape cheerful unalaska	            cape cheerful	
  06/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/11/1891	        NA	        NA	      56.6	    -169.6	st george island nwxw 14 w 13	         st george island	
  07/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/11/1891	        NA	        NA	      56.6	    -169.5	 garden cove st george is	              garden cove	
  08/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/11/1891	        NA	        NA	      57.1	    -170.3	  ne anchorage st paul is	                  st paul	
  10/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/11/1891	        NA	        NA	      57.1	    -170.3	 ne anchorage st paul isd	                  st paul	
  11/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/11/1891	        NA	        NA	      56.6	    -169.6	south anchorage ne point st paul isd	          north anchorage	
  12/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/11/1891	        NA	        NA	      57.1	    -170.3	 sw anchorage st paul isd	                  st paul	
  13/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/11/1891	        NA	        NA	      57.1	    -170.3	 sw anchorage st paul isd	                  st paul	
  14/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/11/1891	        NA	        NA	      57.1	    -170.3	  sw anchorage st paul is	                  st paul	
  15/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/11/1891	        NA	        NA	      57.1	    -170.3	    north end st paul isd	                  st paul	
  16/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  16/11/1891	        NA	        NA	      57.1	    -170.3	 ne anchorage st paul isd	           st paul island	
  17/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/11/1891	        NA	        NA	      57.1	    -170.3	south side ne point st paul is	                  st paul	
  18/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/11/1891	        NA	        NA	      57.1	    -170.3	     sw anchorage st paul	                  st paul	
  19/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/11/1891	        NA	        NA	      57.1	    -170.3	 sw anchorage st paul isd	                  st paul	
  20/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/11/1891	        NA	        NA	      57.1	    -170.3	     sw anchorage st paul	                  st paul	
  21/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/11/1891	        NA	        NA	      57.1	    -170.3	 sw anchorage st paul isd	                  st paul	
  22/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/11/1891	        NA	        NA	      57.1	    -170.3	 sw anchorage st paul isd	                  st paul	
  23/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  23/11/1891	        NA	        NA	      57.1	    -170.3	     sw anchorage st paul	                  st paul	
  24/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  24/11/1891	        NA	        NA	      57.1	    -170.3	     sw anchorage st paul	                  st paul	
  25/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/11/1891	        NA	        NA	      57.1	    -170.3	  sw anchorage st paul is	                  st paul	
  26/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/11/1891	        NA	        NA	      57.1	    -170.3	  sw anchorage st paul is	                  st paul	
  27/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/11/1891	        NA	        NA	      57.1	    -170.3	se anchorage st paul island	           st paul island	
  28/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  29/11/1891	        NA	        NA	      56.6	    -169.5	garden cove st george isd	              garden cove	
  30/11/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  30/11/1891	        NA	        NA	      56.6	    -169.5	garden cove st george isd	              garden cove	
  01/12/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/12/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/12/1891	        NA	        NA	        NA	        NA	                 unalaska	                       NA	
  04/12/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/12/1891	   53 45 N	  165 32 W	      53.9	    -166.5	          unalaska alaska	             unalaska bay	
  05/12/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/12/1891	   51 57 N	  160 21 W	        NA	        NA	                       NA	                       NA	
  06/12/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/12/1891	   50 18 N	  155 08 W	        NA	        NA	                       NA	                       NA	
  07/12/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/12/1891	   48 42 N	  149 35 W	        NA	        NA	                       NA	                       NA	
  08/12/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/12/1891	   46 35 N	  144 01 W	        NA	        NA	                       NA	                       NA	
  09/12/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/12/1891	   45 11 N	  140 57 W	        NA	        NA	                       NA	                       NA	
  10/12/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/12/1891	   43 29 N	  137 00 W	        NA	        NA	                       NA	                       NA	
  11/12/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/12/1891	   41 31 N	  132 30 W	        NA	        NA	                     rush	                       NA	
  12/12/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/12/1891	   39 49 N	  128 10 W	        NA	        NA	                       NA	                       NA	
  13/12/1891	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/12/1891	   39 14 N	  124 13 W	        NA	        NA	                       NA	                       NA	
  14/12/1891	        NA	        NA	        NA	        NA	   pt anna abeam 45 miles	                       NA	
  14/12/1891	        NA	        NA	        NA	        NA	                     rush	                       NA	
  15/12/1891	        NA	        NA	      37.8	    -122.4	            san francisco	            san francisco	
