          NA	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  20/07/1890	        NA	        NA	      57.1	    -170.3	st paul island east anchorage	           st paul island	
  20/07/1890	        NA	        NA	      56.6	    -169.6	north anchorage st george island	         st george island	
  21/07/1890	        NA	        NA	      57.1	    -170.3	st paul island east anchorage	           st paul island	
  23/07/1890	        NA	        NA	        NA	        NA	         onnalaska alaska	                       NA	
  23/07/1890	        NA	        NA	      53.9	    -166.5	         ounalaska alaska	             unalaska bay	
  24/07/1890	        NA	        NA	      53.9	    -166.5	         onnalaska alaska	             unalaska bay	
  24/07/1890	   54 10 N	  160 30 W	        NA	        NA	                       NA	                       NA	
  25/07/1890	        NA	        NA	      53.9	    -166.5	         onnalaska alaska	             unalaska bay	
  25/07/1890	        NA	        NA	      54.2	    -165.9	north head akantan swxw 34	               north head	
  26/07/1890	        NA	        NA	      54.1	    -165.8	    akatan village alaska	                   akutan	
  26/07/1890	        NA	        NA	      53.9	    -166.5	       alakha head wxn 18	             ulakhta head	
  27/07/1890	        NA	        NA	        NA	        NA	         onnalaska alaska	                       NA	
  27/07/1890	   56 08 N	  168 55 W	        NA	        NA	                       NA	                       NA	
  29/07/1890	        NA	        NA	      56.6	    -169.6	garden cove st george island	         st george island	
  29/07/1890	        NA	        NA	      57.1	    -170.3	se anchorage ne point st paul island	           st paul island	
  30/07/1890	        NA	        NA	      57.1	    -170.3	se anchorage ne point st paul island	           st paul island	
  30/07/1890	        NA	        NA	      57.1	    -170.3	se anchorage ne point st paul island	           st paul island	
  31/07/1890	        NA	        NA	      57.1	    -170.3	se anchorage ne point st paul island	           st paul island	
  31/07/1890	        NA	        NA	      57.1	    -170.3	ne point st paul island ese  3	           st paul island	
  01/08/1890	        NA	        NA	      57.1	    -170.3	north side st paul island	           st paul island	
  01/08/1890	        NA	        NA	      57.1	    -170.3	se anchorage ne point st paul island	           st paul island	
  02/08/1890	        NA	        NA	      57.1	    -170.3	se anchorage ne point st paul island	           st paul island	
  02/08/1890	        NA	        NA	      57.1	    -170.3	sw anchorage st paul island	           st paul island	
  03/08/1890	        NA	        NA	      57.1	    -170.3	se anchorage st paul island	           st paul island	
  03/08/1890	        NA	        NA	      56.6	    -169.6	tolstoi point st george island	         st george island	
