  19/05/1895,        NA,        NA,22.6,59.5,brid rocks rosario straits bearing ssw 1 mile,                      sur,rosario strait,48.5N,122.75W
  19/05/1895,        NA,        NA,22.6,59.5,     cape flattery lt 895,                      sur,cape flattery,48 22 59N,124 42 52W
  19/05/1895,        NA,        NA,30.6,117.2,   new whatcom washington,                    mashi,cape flattery light,48.3917N,124.7366W
  20/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  20/05/1895,        NA,        NA,48.1,-1.5,         new whatcom wash,                      tic,new whatcom,48.750178N,122.474975W
  21/05/1895,        NA,        NA,19.6,-70.2,                pt wilson,                      sur,bellingham,48.750178N,122.474975W
  21/05/1895,        NA,        NA,48.1,-122.8,       port townsend wash,            port townsend,,,
  22/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  22/05/1895,   48 24 N,  124 13 W,48.1,-122.8, port townsend washington,            port townsend,,,
  23/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/05/1895,     49 47,    129 02,        NA,        NA,                       NA,                       NA,,,
  24/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/05/1895,   52 40 N,  132 43 W,        NA,        NA,                   at sea,                       NA,,,
  25/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/05/1895,   55 59 N,  135 37 W,        NA,        NA,                   at sea,                       NA,,,
  26/05/1895,        NA,        NA,57,-135.4,             sitka harbor,                    sitka,,,
  26/05/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  27/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/05/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  28/05/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  28/05/1895,     sitka,    alaska,57,-135.4,             sitka alaska,                    sitka,,,
  29/05/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  29/05/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
   30/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   30/05/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
   31/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   31/05/1895,   56 30 N,  140 20 W,        NA,        NA,                   at sea,                       NA,,,
  01/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/06/1895,   56 10 N,  147 22 W,        NA,        NA,                   at sea,                       NA,,,
    02/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
    02/06/1895,   56 05 N,  154 48 W,        NA,        NA,                   at sea,                       NA,,,
  03/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/06/1895,   54 28 N,  159 50 W,        NA,        NA,                   at sea,                       NA,,,
  04/06/1895,   54 28 N,  159 50 W,        NA,        NA,                   at sea,                       NA,,,
  05/06/1895,   53 35 N,  162 34 W,        NA,        NA,                   at sea,                       NA,,,
  06/05/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/06/1895,        NA,        NA,24.5,118.1,east end of ugarnok isd wsw dist 3 miles,                     amoy,unalaska,,
  06/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/06/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  07/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/06/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  08/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/06/1895,   54 32 N,  167 10 W,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  09/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/06/1895,   56 45 N,  169 43 W,        NA,        NA,                   at sea,                       NA,,,
  10/06/1895,        NA,        NA,56.6,-169.6,             east landing,              east london,st paul island,,
  10/06/1895,   55 57 N,  170 06 W,56.6,-169.6,         st george island,         st george island,,,
  11/06/1895,        NA,        NA,56.6,-169.6,             st george id,                st george,,,
  11/06/1895,        NA,        NA,        NA,        NA,                   at sea,                       NA,,,
  12/06/1895,     46 00,        NA,57.1,-170.3,  village cove st paul id,             village cove,,,
  12/06/1895,        NA,        NA,57.1,-170.3,  village cove st paul id,             village cove,,,
  13/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/06/1895,   57 16 N,  170 27 W,57.1,-170.3,  village cove st paul id,             village cove,,,
  14/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/06/1895,   56 41 N,  168 38 W,        NA,        NA,                   at sea,                       NA,,,
  15/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  15/06/1895,        NA,        NA,56.6,-169.5, garden cove st george id,              garden cove,,,
  16/06/1895,        NA,        NA,56.6,-169.5, garden cove st george id,              garden cove,,,
  16/06/1895,        NA,        NA,56.6,-169.6,off village st george island,         st george island,,,
  17/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  17/06/1895,   56 59 N,  170 50 W,        NA,        NA,                       NA,                       NA,,,
  06/18/1895,        NA,        NA,57.1,-170.3,  village cove st paul id,             village cove,,,
  06/18/1895,   57 26 N,  169 50 W,        NA,        NA,                       NA,                       NA,,,
   6/19/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   6/19/1895,   56 26 N,  168 55 W,        NA,        NA,                       NA,                       NA,,,
   6/20/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   6/20/1895,   56 44 N,  170 02 W,        NA,        NA,                       NA,                       NA,,,
  06/21/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/21/1895,   56 58 N,  170 08 W,56.6,-169.6,north anchorage st george island,         st george island,,,
   6/22/1895,        NA,        NA,56.6,-169.6,off village st george island,         st george island,,,
   6/22/1895,   56 31 N,  169 34 W,        NA,        NA,                       NA,                       NA,,,
  23/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/06/1895,        NA,        NA,56.6,-169.6,north anchorage st george island,         st george island,,,
   24/6/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   24/6/1895,   56 10 N,  169 21 W,56.6,-169.6,north anchorage st george island,         st george island,,,
   26/6/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   26/6/1895,Dutch Harbor,    Alaska,53.9,-166.5,     dutch harbour alaska,             dutch harbor,,,
  26/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/06/1895,Dutch Harbor,    Alaska,53.9,-166.5,      dutch harbor alasak,             dutch harbor,,,
  27/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/06/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  28/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/06/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  29/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  29/06/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  30/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  30/06/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  07/01/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  07/01/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  02/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/07/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  03/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/07/1895,        NA,        NA,53.9,-166.5,   iliuliuk harbor alaska,         illiuliuk harbor,,,
  04/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/07/1895,   54 07 N,  166 41 W,22.4,114.3,    hinlink harbor alaska,              long harbor,akutan island,,
  05/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/07/1895,        NA,        NA,        NA,        NA,                   at sea,                       NA,,,
  06/07/1895,        NA,        NA,-4.6,55.5,uliaga id ilds 4 mts ahead,                     mahe,uliaga island,53 03 58N,169 46 00W
  06/07/1895,   52 45 N,  171 06 W,        NA,        NA,                   at sea,                       NA,,,
  07/07/1895,        NA,        NA,36.1,-5.3,n w pt yunaska id by sexe dist 2 miles,                      gib,yunaska island,52 37 53N,170 41 49W
  07/07/1895,   52 54 N,  169 35 W,43.1,16.7,perry bay chuginadak island isls 4 mts,                     hvar,chuginadak island,,
  08/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/07/1895,   53 08 N,  171 20 W,        NA,        NA,                   at sea,                       NA,,,
  09/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/07/1895,   53 00 N,  171 22 W,        NA,        NA,                   at sea,                       NA,,,
  10/07/1895,        NA,        NA,55,-1.5,230 sighted mt celand bearing e 12 s,                      tic,chuginadak island,52 50 41N,169 49 05W
  10/07/1895,   54 02 N,  167 19 W,        NA,        NA,                   at sea,                       NA,,,
  11/07/1895,        NA,        NA,59.9,-166.7,                bogosloff,            cape cheerful,,,
  11/07/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  12/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  12/07/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  13/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/07/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  14/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/07/1895,   53 11 N,  171 00 W,        NA,        NA,                   at sea,                       NA,,,
   7/15/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   7/15/1895,   53 20 N,  176 22 W,        NA,        NA,                   at sea,                       NA,,,
  16/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  16/07/1895,   53 25 N,  177 50 E,        NA,        NA,                   at sea,                       NA,,,
  17/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  17/07/1895,        NA,        NA,52.9,172.9,tschitschagoff harbor attu island,              atka island,attu island,52 54 09N,172 54 34E
   7/18/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   7/18/1895,        NA,        NA,43.1,16.7,tschitschagoff hbr atton id,                     hvar,attu island,,
   7/19/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   7/19/1895,        NA,        NA,43.1,16.7,tschischagoff hbr atton id,                     hvar,attu island,,
   7/20/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   7/20/1895,        NA,        NA,43.1,16.7,thchitschagoff hbr atton id,                     hvar,attu island,,
  21/07/1895,        NA,        NA,36.1,-5.3,      107 gibson id abeam,                      gib,attu island,,
  21/07/1895,   53 12 N,  178 27 E,        NA,        NA,                   at sea,                       NA,,,
  22/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  22/07/1895,   53 20 N,  176 25 W,        NA,        NA,                       NA,                       NA,,,
  23/07/1985,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/07/1985,        NA,        NA,55,-1.5,lat cape savernoi atka id long w 14 s 5 miles,                      tic,atka island,52 08 17N,174 26 43W
  24/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/07/1895,   52 58 N,  171 04 W,        NA,        NA,                   at sea,                       NA,,,
  25/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/07/1895,        NA,        NA,54,-166.7,cape cheerful south 4 mi dist,            cape cheerful,,,
  26/07/1895,        NA,        NA,59.9,10.8,     bogoslof id abeam 99,                     oslo,bogoslof island,53 55 38N,168 02 04W
  26/07/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  27/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/07/1895,        NA,        NA,54,-166.7,      dutch harbor alaska,             dutch harbor,,,
  28/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/07/1895,   54 02 N,  168 42 W,        NA,        NA,                   at sea,                       NA,,,
   7/29/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   7/29/1895,   54 15 N,  170 10 W,        NA,        NA,                   at sea,                       NA,,,
   7/30/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   7/30/1895,   55 58 N,  171 14 W,        NA,        NA,                   at sea,                       NA,,,
  31/07/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/07/1895,   57 01 N,  172 58 W,        NA,        NA,                   at sea,                       NA,,,
  01/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/08/1895,   58 03 N,  173 06 W,        NA,        NA,                   at sea,                       NA,,,
  02/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/08/1895,   57 27 N,  173 35 W,        NA,        NA,                   at sea,                       NA,,,
  03/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/08/1895,   56 24 N,  172 32 W,        NA,        NA,                   at sea,                       NA,,,
  04/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/08/1895,   55 51 N,  172 24 W,        NA,        NA,                   at sea,                       NA,,,
  05/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/08/1895,   55 24 N,  172 34 W,        NA,        NA,                   at sea,                       NA,,,
  06/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/08/1895,   54 55 N,  170 48 W,        NA,        NA,                   at sea,                       NA,,,
  07/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  07/08/1895,   55 09 N,  169 32 W,        NA,        NA,                   at sea,                       NA,,,
  08/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/08/1895,   55 19 N,  168 06 W,        NA,        NA,                   at sea,                       NA,,,
  09/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/08/1895,   55 14 N,  170 10 W,        NA,        NA,                   at sea,                       NA,,,
  10/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/08/1895,   54 19 N,  167 24 W,        NA,        NA,                   at sea,                       NA,,,
  11/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  11/08/1895,        NA,        NA,53.9,-166.5,     dutch harbour alaska,             dutch harbor,,,
  12/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  12/08/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  13/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/08/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  14/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/08/1895,   54 23 N,  166 50 W,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  15/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  15/08/1895,   54 44 N,  166 56 W,        NA,        NA,                   at sea,                       NA,,,
   8/16/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   8/16/1895,   55 20 N,  168 01 W,22.2,113.9,longitude by chronometer from pm observations of sun,                     taio,bering sea,,
  17/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  17/08/1895,   55 18 N,  169 41 W,        NA,        NA,                       NA,                       NA,,,
  18/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  18/08/1895,   55 28 N,  170 48 W,35,32.4,latitude by observation of sun at noon,                    latzi,bering sea,,
   8/19/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   8/19/1895,        NA,        NA,        NA,        NA,                   at sea,                       NA,,,
  20/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  20/08/1895,   57 20 N,  172 40 W,        NA,        NA,                   at sea,                       NA,,,
  21/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  21/08/1895,   58 09 N,  172 05 W,        NA,        NA,                   at sea,                       NA,,,
  22/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  22/08/1895,   57 42 N,  171 22 W,        NA,        NA,                   at sea,                       NA,,,
  23/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/08/1895,   57 01 N,  171 55 W,        NA,        NA,                   at sea,                       NA,,,
  24/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/08/1895,   56 28 N,  171 26 W,        NA,        NA,                   at sea,                       NA,,,
  25/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  25/08/1895,   55 50 N,  172 38 W,        NA,        NA,                   at sea,                       NA,,,
  26/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/08/1895,   55 31 N,  172 17 W,        NA,        NA,                   at sea,                       NA,,,
  27/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/08/1895,   55 18 N,  170 16 W,        NA,        NA,                   at sea,                       NA,,,
  28/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/08/1895,        NA,        NA,        NA,        NA,                   at sea,                       NA,,,
  29/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  29/08/1895,        NA,        NA,        NA,        NA,                   at sea,                       NA,,,
  30/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  30/08/1895,        NA,        NA,54,-166.7,cape cheerful ese 5 miles,            cape cheerful,,,
  31/08/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  31/08/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  01/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  01/09/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  02/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  02/09/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  03/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  03/09/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  04/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  04/09/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  05/09/1890,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/09/1890,Dutch Harbor,    Alaska,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  06/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  06/09/1895,     56 51,    167 49,        NA,        NA,                   at sea,                       NA,,,
  07/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  07/09/1895,   58 13 N,  168 34 W,        NA,        NA,                   at sea,                       NA,,,
  08/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  08/09/1895,   59 09 N,  171 02 W,        NA,        NA,                   at sea,                       NA,,,
  09/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  09/09/1895,   58 31 N,  172 26 W,        NA,        NA,                   at sea,                       NA,,,
  10/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/09/1895,   58 05 N,  170 31 W,        NA,        NA,                   at sea,                       NA,,,
  11/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  11/09/1895,   58 57 N,  169 20 W,        NA,        NA,                   at sea,                       NA,,,
  12/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  12/09/1895,   58 02 N,  168 34 W,        NA,        NA,                   at sea,                       NA,,,
  13/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  13/09/1895,   56 45 N,  166 09 W,        NA,        NA,                   at sea,                       NA,,,
  14/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  14/09/1895,   54 07 N,  166 13 W,        NA,        NA,                   at sea,                       NA,,,
  10/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/09/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  16/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  16/09/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  17/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  17/09/1895,        NA,        NA,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
   9/18/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   9/18/1895,        NA,        NA,53.7,-166.7,bay east side unalaska island,          unalaska island,,,
  19/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  19/09/1895,   53 46 N,  164 47 W,53.7,-166.7,bay east side unalaska island,          unalaska island,,,
  20/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  20/09/1895,   54 14 N,  158 21 W,        NA,        NA,                   at sea,                       NA,,,
  21/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  21/09/1895,   54 37 N,  152 44 W,        NA,        NA,                   at sea,                       NA,,,
  22/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  22/09/1895,   55 37 N,  146 02 W,        NA,        NA,                   at sea,                       NA,,,
  23/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/09/1895,   56 41 N,  139 25 W,        NA,        NA,                   at sea,                       NA,,,
  24/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  24/09/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  25/09/1895,        NA,        NA,55.3,-159.9,           cape edgecombe,               cape wedge,,,
  25/09/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  26/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  26/09/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  27/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  27/09/1895,        NA,        NA,57,-135.4,             sitka alaska,                    sitka,,,
  28/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  28/09/1895,        NA,        NA,-1.3,143.6,deadmans reach peril straits alaska,                    manus,sitka,,
  29/09/1895,        NA,        NA,        NA,        NA,730 pm anchored under frederick point chatham strait alaska,                       NA,,,
  29/09/1895,        NA,        NA,31.5,118.4,frederick point frederick sound ala,              rocky point,frederick point,54 15 19N,130 21 49W
  30/09/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  30/09/1895,        NA,        NA,56,-132.6,stikim and clarence straits inland passage alaska,          clarence strait,,,
  01/10/1895,        NA,        NA,22.2,113.9,custom house cove mary id,                    alger,clarence strait,,
  01/10/1895,        NA,        NA,29.9,32.6,          port simpson bc,                   port t,port simpson,54.550N,130.417W
  02/10/1895,        NA,        NA,51.4,0.5,            chatham sound,                  chatham,chatham sound,54 22 00N,130 35 00W
  02/10/1895,        NA,        NA,12.8,45,cardena bay arthur passage bc,                     aden,chatham sound,,
   10/3/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,chatham sound,,
   10/3/1895,        NA,        NA,38.5,-28.6,coghlan anchorage premier id bc,                    horta,chatham sound,,
  04/10/1895,        NA,        NA,22.4,114.2,          kaletoo passage,                     tolo,chatham sound,,
  04/10/1895,        NA,        NA,36.9,7.8,kleiutoo pass cone id  bc,                     bone,chatham sound,,
  05/10/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  05/10/1895,        NA,        NA,50.6,-126.9, alert bay comorant id bc,                alert bay,,,
  10/06/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/06/1895,        NA,        NA,36.9,7.8,strait georgia sabine channel,                     bone,georgia strait,,
   10/7/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   10/7/1895,        NA,        NA,55,-1.5,         new whatcom wash,                      tic,new whatcom,,
  08/10/1895,        NA,        NA,48.1,-122.8,            port townsend,            port townsend,,,
  08/10/1895,        NA,        NA,55,-1.5,         new whatcom wash,                      tic,bellingham,,
  09/10/1895,        NA,        NA,56,-4.8,noon cast off and steamed into billingham bay,                    t o b,bellingham,,
  09/10/1895,   46 28 N,  125 08 W,        NA,        NA,                   at sea,                       NA,,,
  10/10/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/10/1895,   42 42 N,  125 10 W,        NA,        NA,                   at sea,                       NA,,,
  10/11/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/11/1895,   39 15 N,  124 02 W,        NA,        NA,                   at sea,                       NA,,,
  12/10/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  12/10/1895,        NA,        NA,        NA,        NA,                   at sea,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  10/13/1895,        NA,        NA,37.8,-122.4,        san francisco cal,        san francisco bay,,,
   4/15/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   4/15/1896,   38 40 N,  124 46 W,        NA,        NA,                   at sea,                       NA,,,
   4/16/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   4/16/1896,   40 26 N,  126 10 W,        NA,        NA,                   at sea,                       NA,,,
  17/04/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  17/04/1896,   42 44 N,  126 19 W,        NA,        NA,                   at sea,                       NA,,,
  18/04/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  18/04/1896,   44 40 N,  126 22 W,        NA,        NA,                   at sea,                       NA,,,
   4/19/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   4/19/1896,   47 35 N,  125 45 W,        NA,        NA,                   at sea,                       NA,,,
   4/20/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   4/20/1896,        NA,        NA,29.9,32.6,port angeles lt swxs 7 miles,                   port t,port angeles,48 06 47N,123 26 27W
   4/21/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   4/21/1896,        NA,        NA,48.1,-122.8,       port townsend wash,            port townsend,,,
   4/22/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
   4/22/1896,        NA,        NA,55,-1.5,   new whatcom washington,                      tic,new whatcom,48.750178N,122.474975W
  23/04/1896,        NA,        NA,        NA,        NA,                       NA,                       NA,,,
  23/04/1896,        NA,        NA,29.9,-1.5,         new whatcom wash,                     poti,new whatcom,48.750178N,122.474975W
