          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  02/05/1886,,,37,-76.3,         hampton roads va,            hampton roads,,,
  03/05/1886,,,,,,,,,
  03/05/1886,,,37,-76.3,at anchor hampton roads virginia usa,            hampton roads,,,
  04/05/1886,,,,,,,,,
  04/05/1886,,,37,-76.3,         hampton roads va,            hampton roads,,,
  05/05/1886,,,,,,,,,
  05/05/1886,,,37,-76.3,         hampton roads va,            hampton roads,,,
  06/05/1886,,,,,,,,,
  06/05/1886,,,37,-76.3,            hampton roads,            hampton roads,,,
  07/05/1886,,,,,,,,,
  07/05/1886,,,37,-76.3,            hampton roads,            hampton roads,,,
  08/05/1886,,,,,,,,,
  08/05/1886,,,37,-76.3,         hampton roads va,            hampton roads,,,
  09/05/1886,,,,,,,,,
  09/05/1886,,,,,,,,,
  10/05/1886,,,,,,,,,
  10/05/1886,,,,,,,,,
  10/05/1886,,,,,,,,,
  10/05/1886,,,,,,,,,
  10/05/1886,,,,,,,,,
  10/05/1886,,,,,,,,,
  10/05/1886,,,,,,,,,
  10/05/1886,,,,,,,,,
 may 12 1886,,,,,,,,,
 may 12 1886,,,,,,,,,
 may 12 1886,,,,,,,,,
 may 12 1886,,,,,,,,,
 may 12 1886,,,,,,,,,
 may 12 1886,,,,,,,,,
 may 12 1886,,,,,,,,,
 may 12 1886,,,37,-76.3,         hamptro roads va,            hampton roads,,,
  15/05/1886,,,,,,,,,
  15/05/1886,,,,,,,,,
  15/05/1886,,,,,,,,,
  15/05/1886,,,37,-76.3,passing from hampton rds va to annapolis maryland,            hampton roads,,,
  15/05/1886,,,,,,,,,
  15/05/1886,,,,,,,,,
  18/05/1886,,,,,,,,,
  18/05/1886,,,38.5,-28.6,at anchor annapolis maryland usa,                     poti,annapolis maryland,38 58 22.6N,0001-01-30
  19/05/1886,,,,,,,,,
  19/05/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
  20/05/1886,,,,,,,,,
  20/05/1886,,,,,,,,,
  21/05/1886,,,,,,,,,
  21/05/1886,,,42.2,41.7,             annapolis ma,                     poti,annapolis maryland,,
  22/05/1886,,,,,,,,,
  22/05/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
  05/23/1886,,,,,,,,,
  05/24/1886, 38 973356, 76 475315,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  05/24/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  05/25/1886,   38 9733,   76 4753,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
   25/05/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  05/26/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
   26/05/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  05/27/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
   5/27/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  05/28/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  05/28/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  05/29/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
   5/29/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  05/29/1886,,,42.2,41.7,anchored off annapolis maryland,                     poti,annapolis maryland,,
  29/05/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  05/30/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  05/30/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  05/31/1886,,,42.2,41.7,at anchor off annapolis maryland,                     poti,annapolis maryland,,
  31/05/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  31/05/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
   31/05/1886,,,,,,,,,
  01/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
   01/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  06/01/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  01/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  02/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  02/06/1886,,,42.2,45,rhoys wharf at naval accademy,                     poti,naval academy maryland,38 58 59N,0001-06-11
  03/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  03/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  04/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  04/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  04/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
   05/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
   05/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  06/06/1886,,,,,,,,,
  06/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  07/06/1886,,,,,,,,,
  07/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
    8/6/1886,,,,,,,,,
    8/6/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
  09/06/1886,,,,,,,,,
  09/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
   10/6/1886,,,,,,,,,
   10/6/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
   10/06/1886,,,,,,,,,
   10/06/1886,,,42.2,41.7,       annapolis maryland,                     poti,annapolis maryland,,
"June 11, 1886",,,,,,,,,
"June 11, 1886",,,,,,,,,
   11/06/1886,,,,,,,,,
   11/06/1886,,,42.2,41.7,the de havilland dh60 moth is a 1920s british twoseat touring and training aircraft that was developed into a series of aircraft by the de havilland aircraft company,                     vila,annapolis maryland,,
   12/6/1886,,,,,,,,,
   12/6/1886,,,,,,,,,
   12/06/1886,,,,,,,,,
   12/06/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
    06/13/86,,,,,,,,,
    06/13/86,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
   14/6/1886,,,,,,,,,
   14/6/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
   15/06/1886,,,,,,,,,
   15/06/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
  16/06/1886,,,,,,,,,
  16/06/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
   17/6/1886,,,,,,,,,
   17/6/1886,,,42.2,41.7,at anchor off annapolis md,                     poti,annapolis maryland,,
    17/06/1886,,,,,,,,,
    17/06/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
   18/6/1886,,,,,,,,,
   18/6/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
   19/6/1886,,,,,,,,,
    20/06/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
   20/6/1886,,,,,,,,,
   20/6/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
    21/06/1886,,,,,,,,,
    21/06/1886,,,,,,,,,
    21/06/1886,,,,,,,,,
    21/06/1886,,,42.2,41.7,             annapolis md,                     poti,annapolis maryland,,
