  09/06/1889,        NA,        NA_2,37.8,-122.4,        san francisco cal,        san francisco bay,h,i,j
  22/06/1889,   53 46 N,2018-03-27T00:00:00,37.8,-122.4,san francisco cal to ounalaska,        san francisco bay,unalaska,53 40 24N,166 38 54W
  22/06/1889,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  23/06/1889,,,,,,,,,
  23/06/1889,,,,,                ounalaska,,,,
  24/06/1889,,,,,        ounalashka alaska,,,,
  24/06/1889,,,,,                ounalaska,,,,
  25/06/1889,,,,,               ounalashka,,,,
  25/06/1889,,,,,                ounalaska,,,,
  26/06/1889,,,,,               ounalashka,,,,
  26/06/1889,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  27/06/1889,,,,,               ounalashka,,,,
  27/06/1889,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  28/06/1889,,,,,               ounalashka,,,,
  28/06/1889,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  29/06/1889,,,,,                 unalaska,,,,
  29/06/1889,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  30/06/1889,,,,,               ounalashka,,,,
  30/06/1889,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  01/07/1889,,,,,ounalashka alaska unalaska,,,,
  01/07/1889,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  02/07/1889,   55 53 N,2017-07-25T00:00:00,,,,,,,
  02/07/1889,,,55,166.3,             behrings sea,                  behring,,,
  03/07/1889,   59 13 N,2018-04-10T00:00:00,,,,,,,
  03/07/1889,,,55,166.3,              behring sea,                  behring,,,
  04/07/1889,   62 10 N,2018-08-07T00:00:00,,,,,,,
  04/07/1889,,,55,166.3,              behring sea,                  behring,,,
  05/07/1889,   64 38 N,2018-01-30T00:00:00,,,,,,,
  05/07/1889,,,55,166.3,              behring sea,                  behring,,,
  06/07/1889,,,,,,,,,
  06/07/1889,,,55,166.3,              behring sea,                  behring,port clarence,65 15 58N,166 51 10W
  07/07/1889,,,65.2,-166.7,            port clarence,           port clearance,port clarence,,
  07/07/1889,,,65.2,-166.7,            port clarence,           port clearance,port clarence,,
  08/07/1889,,,65.2,-166.7,     port clarence alaska,           port clearance,port clarence,,
  08/07/1889,,,65.2,-166.7,            port clarence,           port clearance,port clarence,,
  09/07/1889,,,65.2,-166.7,     port clarence alaska,           port clearance,port clarence,,
  09/07/1889,,,65.2,32.6,            port clarence,           port clearance,port clarence,,
  10/07/1889,,,,,,,,,
  10/07/1889,,,55,166.3,             behrings sea,                  behring,bering strait,66 0N,169 0W
  11/07/1889,   68 05 N,,55,166.3,               bering sea,                  behring,bering strait,,
  11/07/1889,,,54.1,-165.8,             arctic ocean,          whaling station,bering strait,,
  12/07/1889,,,68.3,-166.8,    point hope arctic sea,               point hope,,,
  12/07/1889,,,68.3,-166.8,           off point hope,               point hope,,,
  13/07/1889,,,,,,,,,
  13/07/1889,,,68.3,-166.8,           off point hope,               point hope,,,
  14/07/1889,,,55,-1.5,               arctic sea,                      tic,point hope,68 20 27N,166 50 00W
  14/07/1889,,,68.3,-166.8,           off point hope,               point hope,,,
  15/07/1889,,,68.3,-166.8,           off point hope,               point hope,,,
  15/07/1889,,,68.3,32.6,           off point hope,                   port t,point hope,,
  16/07/1889,,,68.3,-166.8,           off point hope,               point hope,,,
  16/07/1889,,,68.3,-166.8,           off point hope,               point hope,,,
  17/07/1889,,,68.3,-166.8,           off point hope,               point hope,,,
  17/07/1889,,,68.3,-166.8,           off point hope,               point hope,,,
  18/07/1889,,,68.3,-166.8,           off point hope,               point hope,,,
  18/07/1889,,,68.3,-166.8,           off point hope,               point hope,,,
  19/07/1889,,,68.3,-166.8,           off point hope,               point hope,,,
  19/07/1889,,,55,-1.5,arctic ocean below cape dyer,                      tic,cape dyer north slope,68.663,-166.368
  20/07/1889,,,,,,,,,
  20/07/1889,,,68.9,-166.2,             arctic ocean,            cape lisburne,,,
  21/07/1889,,,,,,,,,
  21/07/1889,,,78.7,-74.3,near cape sabine arctic ocean,              cape sabine,cape sabine alaska,68 55 00N,164 36 15W
  22/07/1889,,,78.7,-74.3,near cape sabine arctic ocean,              cape sabine,cape sabine alaska,,
  22/07/1889,,,78.7,-74.3,          off cape sabine,              cape sabine,cape sabine alaska,,
  23/07/1889,,,56.2,-3,        off cape beaufort,                    forth,cape beaufort,69 02N,163 50W
  23/07/1889,,,56.2,-3,        off cape beaufort,                    forth,cape beaufort,,
  24/07/1889,   70 10 N,2018-01-09T00:00:00,,,,,,,
  24/07/1889,,,,,             arctic ocean,,,,
  25/07/1889,   70 13 N,2017-10-17T00:00:00,,,,,,,
  25/07/1889,,,70.3,-161.9,             arctic ocean,                 icy cape,,,
  26/07/1889,,,70.6,-160,wainwright inlet exe 4 miles,         wainwright inlet,,,
  26/07/1889,,,70.8,-160,             arctic ocean,            point belcher,,,
  27/07/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  27/07/1889,,,,,,,,,
  28/07/1889,,,71.3,-156.8,               cape smyth,              cape smythe,,,
  28/07/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  29/07/1889,,,,,,,,,
  29/07/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  30/07/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  30/07/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  31/07/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  31/07/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  01/08/1889,,,71.3,-156.8,               cape smyth,              cape smythe,,,
  01/08/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  02/08/1889,,,71.3,-156.8,               cape smyth,              cape smythe,,,
  02/08/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  03/08/1889,,,71.3,-156.8,               cape smyth,              cape smythe,,,
  03/08/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  04/08/1889,,,71.3,-156.8,               cape smyth,              cape smythe,,,
  04/08/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  05/08/1889,,,71.3,-156.8,               cape smyth,              cape smythe,,,
  05/08/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  06/08/1889,,,71.3,-156.8,               cape smyth,              cape smythe,,,
  06/08/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  07/08/1889,,,71.3,-156.8,               cape smyth,              cape smythe,,,
  07/08/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  08/08/1889,,,71.3,-156.8,               cape smyth,              cape smythe,,,
  08/08/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  09/08/1889,,,71.3,-156.8,               cape smyth,              cape smythe,,,
  09/08/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  10/08/1889,,,71.3,-156.8,               cape smyth,              cape smythe,,,
  10/08/1889,,,71.3,-156.8,           off cape smyth,              cape smythe,,,
  11/08/1889,,,71.4,-156.5,             point barrow,             point barrow,,,
  11/08/1889,,,71.4,-156.5,             point barrow,             point barrow,,,
  12/08/1889,,,71.4,-156.5,         off point barrow,             point barrow,,,
  12/08/1889,,,71.4,-156.5,             point barrow,             point barrow,,,
  13/08/1889,,,,,,,,,
  13/08/1889,,,71.4,-156.5,             point barrow,             point barrow,,,
  14/08/1889,,,71.4,-156.5,             point barrow,             point barrow,,,
  14/08/1889,,,71.4,-156.5,             point barrow,             point barrow,,,
  15/08/1889,,,71.4,-156.5,             point barrow,             point barrow,,,
  15/08/1889,,,71.4,-156.5,             point barrow,             point barrow,,,
  16/08/1889,,,71.4,-156.5,             point barrow,             point barrow,,,
  16/08/1889,,,71.4,-156.5,             point barrow,             point barrow,,,
  16/08/1889,,,,,,,,,
  16/08/1889,,,71.4,-156.5,             point barrow,             point barrow,,,
  17/08/1889,   70 47 N,2018-07-10T01:59:00,,,,,,,
  17/08/1889,,,,,             arctic ocean,,,,
  18/08/1889,,,68.9,-166.2,cape lisburne sexe 12 milese,            cape lisburne,,,
  18/08/1889,,,,,             arctic ocean,,,,
  19/08/1889,,,,,            cape thompson,,,,
  19/08/1889,,,68.3,-166.8,           off point hope,               point hope,,,
  20/08/1889,,,15.5,73.9,mulgrove hills wsw 20 miles,                      goa,point hope,,
  20/08/1889,,,,,            cape thompson,,,,
  21/08/1889,   66 34 N,2017-09-12T00:00:00,,,,,,,
  21/08/1889,,,59.9,10.8,                   at sea,                     oslo,kotzebue sound,66 32 46N,162 44 58W
  22/08/1889,,,59.9,10.8,             cape blossom,                     oslo,cape blossom,66 44 03N,162 29 42W
  22/08/1889,,,,,                   at sea,,kotzebue sound,,
  23/08/1889,   66 42 N,2017-10-31T00:00:00,,,,,,,
  23/08/1889,,,59.9,10.8,         off cape blossom,                     oslo,cape blossom,,
  24/08/1889,,,,,   the ears sexs 30 miles,,,,
  24/08/1889,,,,,             arctic ocean,,,,
  25/08/1889,,,65,-168.1,kings island sexs 19 miles,            king's island,,,
  25/08/1889,,,65,-168.1,             arctic ocean,            king's island,,,
  26/08/1889,,,,,cape darby n 14 w 25 miles,,,,
  26/08/1889,,,63.5,-162,             norton sound,               st michael,,,
  27/08/1889,,,51.2,-127.8,   egg island ene 9 miles,               egg island,norton sound,63 50 57N,164 16 08W
  27/08/1889,,,63.5,-162,              st michaels,               st michael,,,
  28/08/1889,   64 03 N,,63.5,-162,  cape darby nxe 23 miles,               st michael,,,
  28/08/1889,,,63.5,-162,              st michaels,               st michael,,,
  29/08/1889,   62 34 N,2017-11-21T00:00:00,,,,,,,
  29/08/1889,,,55,166.3,              behring sea,                  behring,,,
  30/08/1889,   59 39 N,2018-02-20T00:00:00,,,,,,,
  30/08/1889,,,55,166.3,              behring sea,                  behring,,,
  31/08/1889,   57 46 N,2018-03-06T00:00:00,,,,,,,
  31/08/1889,,,55,166.3,              behring sea,                  behring,,,
  01/09/1889,   55 20 N,2018-04-10T00:00:00,,,,,,,
  01/09/1889,,,55,166.3,              behring sea,                  behring,,,
  02/09/1889,,,,,,,,,
  02/09/1889,,,55,166.3,              behring sea,                  behring,,,
  03/09/1889,,,,,               ounalashka,,,,
  03/09/1889,,,53.9,-166.5,         ounalaska alaska,             unalaska bay,,,
  04/09/1889,,,,,               ounalashka,,,,
  04/09/1889,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  05/09/1889,,,,,               ounalashka,,,,
  05/09/1889,,,53.9,-166.5,             ounalaska at,             unalaska bay,,,
  06/09/1889,,,,,        ounalashka alaska,,,,
  06/09/1889,,,,,                ounalaska,,,,
  07/09/1889,,,,,               ounalashka,,,,
  07/09/1889,,,53.9,-166.5,            ounalaska a i,             unalaska bay,,,
  08/09/1889,,,,,ounalashka alaska unalaska,,,,
  08/09/1889,,,53.9,-166.5,            ounalaska a i,             unalaska bay,,,
  09/09/1889,,,,,               ounalashka,,,,
  09/09/1889,,,53.9,-166.5,            ounalaska a i,             unalaska bay,,,
  10/09/1889,,,,,               ounalashka,,,,
  10/09/1889,,,53.9,-166.5,            ounalaska a i,             unalaska bay,,,
  11/09/1889,,,,,               ounalashka,,,,
  11/09/1889,,,53.9,-166.5,            ounalaska a t,             unalaska bay,,,
  12/09/1889,,,,,               ounalashka,,,,
  12/09/1889,,,53.9,-166.5,            ounalaska a t,             unalaska bay,,,
  13/09/1889,,,,,               ounalashka,,,,
  13/09/1889,,,53.9,-166.5,            ounalaska a t,             unalaska bay,,,
  14/09/1889,,,,,               ounalashka,,,,
  14/09/1889,,,53.9,-166.5,            ounalaska a t,             unalaska bay,,,
  15/09/1889,,,,,               ounalashka,,,,
  15/09/1889,,,53.9,-166.5,            ounalaska a t,             unalaska bay,,,
  16/09/1889,,,,,        ounalashka alaska,,,,
  16/09/1889,,,53.9,-166.5,            ounalaska a t,             unalaska bay,,,
  17/09/1889,,,54,-166.7,            cape cheerful,            cape cheerful,,,
  17/09/1889,,,55,166.3,              behring sea,                  behring,,,
  18/09/1889,   55 17 N,2018-05-29T00:00:00,,,,,,,
  18/09/1889,,,55,166.3,              behring sea,                  behring,,,
  19/09/1889,   56 22 N,2018-06-19T00:00:00,,,,,,,
  19/09/1889,,,55,166.3,              behring sea,                  behring,,,
  20/09/1889,,,56.6,-169.6,         st george island,         st george island,,,
  20/09/1889,,,56.6,-169.6,  sw bay st george island,         st george island,,,
  21/09/1889,,,56.6,-169.6,         st george island,             dalnoi point,,,
  21/09/1889,,,56.6,-169.6,  sw bay st george island,         st george island,,,
  22/09/1889,,,,,,,,,
  22/09/1889,,,57.1,-170.3,           st paul island,           st paul island,,,
  23/09/1889,,,56.6,-169.6,         st george island,         st george island,,,
  23/09/1889,,,57.1,-170.3,st paul island behring sea,           st paul island,,,
  24/09/1889,   56 17 N,2018-08-07T00:00:00,,,,,,,
  24/09/1889,,,55,166.3,              behring sea,                  behring,,,
  25/09/1889,   55 08 N,2018-03-06T00:00:00,,,,,,,
  25/09/1889,,,55,166.3,              behring sea,                  behring,,,
  26/09/1889,   56 11 N,2017-08-01T00:00:00,56.6,-169.8,dalnoi point se 12 e 6 miles,             dalnoi point,,,
  26/09/1889,,,55,166.3,              behring sea,                  behring,,,
  27/09/1889,   55 56 N,2017-08-08T00:00:00,56.6,-169.5,tolstoi point wsw 10 miles,            tolstoi point,,,
  27/09/1889,,,57.1,-170.3,           st paul island,           st paul island,,,
  28/09/1889,   54 34 N,2017-08-22T00:00:00,,,,,,,
  28/09/1889,,,55,166.3,              behring sea,                  behring,,,
  29/09/1889,,,,,               ounalashka,,,,
  29/09/1889,,,53.9,-166.5,            ounalaska a t,             unalaska bay,,,
  30/09/1889,,,,,               ounalashka,,,,
  30/09/1889,,,53.9,-166.5,            ounalaska a t,             unalaska bay,,,
  01/10/1889,,,,,               ounalashka,,,,
  01/10/1889,,,53.9,-166.5,            ounalaska a t,             unalaska bay,,,
  02/10/1889,,,,,               ounalashka,,,,
  02/10/1889,,,53.9,-166.5,            ounalaska a t,             unalaska bay,,,
  03/10/1889,,,,,               ounalashka,,,,
  03/10/1889,,,53.9,-166.5,            ounalaska a t,             unalaska bay,,,
  04/10/1889,   54 01 N,2017-09-19T00:00:00,,,               ounalashka,,,,
  04/10/1889,,,53.9,-166.5,            ounalaska a t,             unalaska bay,,,
 05 /10/1889,,,59.9,73.9,                  bogador,                      goa,unalaska,,
  05/10/1889,,,55,166.3,              behring sea,                  behring,,,
  06/10/1889,,,56.6,-169.6,off dalnoi point st george island,         st george island,,,
  06/10/1889,,,55,166.3,              behring sea,                  behring,,,
  07/10/1889,,,,,,,,,
  07/10/1889,,,55,166.3,              behring sea,                  behring,,,
  08/10/1889,,,57.1,-170.3,off sea lion point st paul island,           st paul island,,,
  08/10/1889,,,56.6,-169.6,  sw bay st george island,         st george island,,,
  09/10/1889,,,57.1,-170.3,           st paul island,           st paul island,,,
  09/10/1889,,,57.1,-170.3,    sw bay st paul island,           st paul island,,,
  10/10/1889,,,57.1,-170.3,           st paul island,           st paul island,,,
  10/10/1889,,,57.1,-170.3,    sw bay st paul island,           st paul island,,,
  11/10/1889,,,57.1,-170.3,           st paul island,           st paul island,,,
  11/10/1889,,,57.1,-170.3,  ne point st paul island,           st paul island,,,
  12/10/1889,   36 44 N,2018-06-19T00:00:00,,,,,,,
  12/10/1889,,,57.1,-170.3,  ne point st paul island,           st paul island,,,
  13/10/1889,,,56.6,-169.8,             dalnoi point,             dalnoi point,,,
  13/10/1889,,,55,166.3,              behring sea,                  behring,,,
  14/10/1889,,,56.6,-169.5,dalnoi point nw 12 w tolstoi point nnw,             dalnoi point,,,
  14/10/1889,,,55,166.3,              behring sea,                  behring,,,
  15/10/1889,   55 17 N,2017-08-08T00:00:00,,,,,,,
  15/10/1889,,,55,166.3,              behring sea,                  behring,,,
  16/10/1889,,,,,                   at sea,,,,
  16/10/1889,,,55,166.3,              behring sea,                  behring,,,
  17/10/1889,,,,,,,,,
  17/10/1889,,,,,                ounalaska,,,,
  18/10/1889,,,,,               ounalashka,,,,
  18/10/1889,,,,,                ounalaska,,,,
  19/10/1889,,,,,               ounalashka,,,,
  19/10/1889,,,,,                ounalaska,,,,
  20/10/1889,   53 23 N,2017-09-26T00:00:00,51.2,-127.8,     egg island swxw 12 w,               egg island,north pacific,,
  20/10/1889,,,,,                ounalaska,,,,
  21/10/1889,   52 42 N,2018-08-07T00:00:00,,,,,,,
  21/10/1889,,,,,                   at sea,,,,
  22/10/1889,   51 29 N,2017-08-15T01:58:00,,,                 w 158 06,,,,
  22/10/1889,,,,,                   at sea,,,,
  23/10/1889,   49 45 N,2018-08-14T01:53:00,,,,,,,
  23/10/1889,,,,,                   at sea,,,,
  24/10/1889,   48 06 N,2018-04-24T01:48:00,,,,,,,
  24/10/1889,,,,,                   at sea,,,,
  25/10/1889,   47 18 N,2018-08-14T01:43:00,,,,,,,
  25/10/1889,,,,,                   at sea,,,,
  26/10/1889,   45 56 N,2018-05-01T01:38:00,,,,,,,
  26/10/1889,,,,,                   at sea,,,,
  27/10/1889,   43 55 N,2018-08-14T01:34:00,,,,,,,
  27/10/1889,,,,,                   at sea,,,,
  28/10/1889,   42 05 N,2017-11-21T01:31:00,,,,,,,
  28/10/1889,,,,,                   at sea,,,,
  29/10/1889,   40 37 N,2018-03-06T01:27:00,,,,,,,
  29/10/1889,,,,,                   at sea,,,,
  30/10/1889,   38 36 N,2018-04-10T01:23:00,,,,,,,
  30/10/1889,,,37.8,-122.4,            san francisco,            san francisco,,,
  31/10/1889,,,,,,,,,
  31/10/1889,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  01/11/1889,,,,,,,,,
  01/11/1889,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/11/1889,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/11/1889,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/11/1889,,,,,,,,,
  02/11/1889,,,,,,,,,
  02/11/1889,,,,,,,,,
  02/11/1889,,,,,,,,,
  02/11/1889,,,,,,,,,
  02/11/1889,,,,,,,,,
  02/11/1889,,,,,,,,,
  02/11/1889,,,,,,,,,
  02/11/1889,,,,,,,,,
  02/11/1889,,,,,,,,,
  02/11/1889,,,,,,,,,
  02/11/1889,,,,,,,,,
  02/11/1889,   37 48 N,2018-03-20T01:22:00,,,,,,,
