  09/06/1889,        NA,        NA_2,37.8,-122.4,        san francisco cal,        san francisco bay,h,i,j
  09/06/1889,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/06/1889,   37 51 N,2018-06-05T01:22:00,37.8,-122.4,san francisco to ounalaska,            san francisco,,,
  10/06/1889,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  11/06/1889,   38 55 N,2018-06-26T01:25:00,37.8,-122.4,san francisco to ounalaska,            san francisco,north pacific,,
  11/06/1889,,,,,                   at sea,,,,
  12/06/1889,   40 19 N,2018-07-10T01:29:00,37.8,-122.4,san francisco cal to ounalaska,        san francisco bay,north pacific,,
  12/06/1889,,,,,                   at sea,,,,
  13/06/1889,   41 39 N,2017-07-25T01:34:00,37.8,-122.4,san francisco cal to ounalaska,        san francisco bay,north pacific,,
  13/06/1889,,,,,                   at sea,,,,
  14/06/1889,   43 22 N,2017-12-05T01:37:00,37.8,-122.4,san francisco to ounalaska,            san francisco,north pacific,,
  14/06/1889,,,,,                   at sea,,,,
  15/06/1889,   45 37 N,2017-09-12T01:41:00,37.8,-122.4,san francisco cal to ounalaska,        san francisco bay,north pacific,,
  15/06/1889,,,,,                   at sea,,,,
  16/06/1889,   46 21 N,2018-01-16T01:44:00,37.8,-122.4,san francisco cal to ounalaska,        san francisco bay,north pacific,,
  16/06/1889,,,,,                   at sea,,,,
  17/06/1889,   47 47 N,2018-06-05T01:47:00,37.8,-122.4,san francisco cal to ounalaska,        san francisco bay,north pacific,,
  17/06/1889,,,,,                   at sea,,,,
  18/06/1889,   49 25 N,2017-11-21T01:52:00,37.8,-122.4,san francisco cal to ounalaska,        san francisco bay,north pacific,,
  18/06/1889,,,,,                   at sea,,,,
  19/06/1889,   50 44 N,2017-07-04T01:56:00,37.8,-122.4,san francisco cal to ounalaska,        san francisco bay,north pacific,,
  19/06/1889,,,,,                   at sea,,,,
  20/06/1889,   51 54 N,2017-09-19T01:57:00,37.8,-122.4,san francisco cal to ounalaska,        san francisco bay,north pacific,,
  20/06/1889,,,,,                   at sea,,,,
  21/06/1889,   52 32 N,2018-01-02T00:00:00,37.8,-122.4,san francisco cal to ounalaska,        san francisco bay,north pacific,,
  21/06/1889,,,,,                   at sea,,,,
