    1/1/1884,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
    1/1/1884,,,,,,,,,
    1/1/1884,,,,,,,,,
    1/1/1884,,,,,,,,,
    1/1/1884,,,,,,,,,
    1/1/1884,,,,,,,,,
    1/1/1884,,,,,,,,,
    1/1/1884,,,,,,,,,
    2/2/1884,,,-13.8,-171.7,            gulf of paria,                     apia,gulf of paria,10 23N,62 21W
    2/2/1884,,,,,,,,,
    2/2/1884,,,39.3,-76.6,skinners marine railway baltimore md,                baltimore,,,
  01/01/1884,,,,,,,,,
  01/01/1884,,,39.3,-76.6,skinners marine railway baltimore md,                baltimore,,,
    2/1/1884,,,,,,,,,
    2/1/1884,,,39.3,-76.6,skinners marine railway baltimore md,                baltimore,,,
    3/1/1884,,,,,,,,,
    3/1/1884,,,39.3,-76.6,skinners marine railway baltimore md,                baltimore,,,
  04/01/1884,,,,,,,,,
  04/01/1884,,,39.3,-76.6,skinners marine railway baltimore md,                baltimore,,,
  05/01/1884,,,,,,,,,
  05/01/1884,,,37,-76,skinners dock balitmore md and chesapeake bay,           chesapeake bay,,,
  06/01/1884,,,36.9,7.8,standing down chesapeake bay and hampton roads to anchorage,                     bone,chesapeake bay,36 59 45N,75 57 34W
  06/01/1884,,,37,-76.3,hampton roads and navy yard norfold va,            hampton roads,,,
  07/01/1884,,,,,,,,,
  07/01/1884,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,36 56.7N,76 18.8W
  08/01/1884,,,,,,,,,
  08/01/1884,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  09/01/1884,,,,,,,norfolk virginia,36 55N,76 12W
  09/01/1884,,,-43,147.8,navy yard norfolk va and at sea,              norfolk bay,hampton roads,36 58N,76 22W
  10/01/1884,,,56.2,-3,          fortress monroe,                    forth,fort monroe,37 00 13N,76 18 27W
  10/01/1884,   34 48 N,   72 34 W,-43,147.8,making passage from norfolk va to st thomas vi,              norfolk bay,north atlantic,,
   11/1/1884,,,,,,,,,
   11/1/1884,   32 54 N,   70 42 W,-43,147.8,from norfolk va to st thomas vi,              norfolk bay,north atlantic,,
   12/1/1884,,,,,,,,,
   12/1/1884,   31 11 N,   67 37 W,-43,147.8,making passage from norfolk va to st thomas vi,              norfolk bay,north atlantic,,
   13/1/1884,,,,,,,,,
   13/1/1884,   28 02 N,   66 10 W,-43,147.8,making passage from norfolk va to st thomas vi,              norfolk bay,north atlantic,,
  14/01/1884,,,,,,,,,
  14/01/1884,   24 35 N,   65 13 W,,,,,,,
  15/01/1884,,,,,,,,,
  15/01/1884,   21 09 N,   65 05 W,,,,,,,
   16/1/1884,,,,,,,,,
   16/1/1884,,,,,,,,,
  17/01/1884,,,13.2,-59.6,at 6 am sighted land on port bow virgin gorda,                st thomas,virgin gorda,18 28 54.8N,64 23 20.95W
  17/01/1884,,,13.2,-59.6,             st thomas wi,                st thomas,st thomas us virgin islands,18 20N,64 55W
  18/01/1884,,,,,,,,,
  18/01/1884,,,13.2,-59.6,             st thomas wi,                st thomas,st thomas us virgin islands,,
  19/01/1884,,,,,,,,,
  19/01/1884,,,13.2,-59.6,            st thomas w i,                st thomas,st thomas us virgin islands,,
  20/01/1884,,,,,,,,,
  20/01/1884,,,13.2,-59.6,   at anchor st thomas wi,                st thomas,st thomas us virgin islands,,
  21/01/1884,,,,,,,,,
  21/01/1884,,,13.2,-59.6,   st thomas water island,                st thomas,water island usvi,18 19 11N,64 57 12W
  22/01/1884,,,,,,,,,
  22/01/1884,,,13.2,-59.6,             st thomas wi,                st thomas,water island usvi,,
  23/01/1884,,,,,,,,,
  23/01/1884,   18 00 N,   65 04 W,13.2,-59.6,             st thomas wi,                st thomas,water island usvi,,
  24/01/1884,,,,,,,,,
  24/01/1884,   17 49 N,   65 29 W,41.1,-8.6,at sea between cruz and porto rico,                   oporto,caribbean sea,,
  25/01/1884,,,,,,,,,
  25/01/1884,   16 42 N,   65 02 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  26/01/1884,,,,,,,,,
  26/01/1884,   15 36 N,   63 37 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  27/01/1884,,,,,,,,,
  27/01/1884,   13 34 N,   62 57 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  28/01/1884,,,,,,,,,
  28/01/1884,   11 53 N,   62 19 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  29/01/1884,,,51.8,-177.9,granada island exs mag distant about 35 miles,            tanaga island,grenadines,12 44N,61 21W
  29/01/1884,,,10.7,-61.5,      port spain trinidad,                 trinidad,,,
  30/01/1884,,,35.7,-0.6,boca grande gulf of paria,                     oran,gulf of paria,,
  30/01/1884,,,10.7,-61.5,      port spain trinidad,                 trinidad,,,
  31/01/1884,,,,,,,,,
  31/01/1884,,,10.7,-61.5,      port spain trinidad,                 trinidad,,,
  01/02/1884,,,,,,,,,
  01/02/1884,,,-13.8,-171.7,            gulf of paria,                     apia,gulf of paria,,
  02/02/1884,,,10.7,-61.5,            monkey island,            port of spain,cayo santiago,18 09 23N,65 44 03W
  02/02/1884,   11 01 N,,-13.8,-171.7,gulf of paria and caribbean sea,                     apia,gulf of paria,,
  03/02/1884,,,36,14.2,               dehert bay,                     oran,blanquilla island,11 51 12N,64 35 55W
  03/02/1884,   12 37 N,   64 25 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  04/02/1884,,,,,,,,,
  04/02/1884,   14 21 N,   63 58 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  05/02/1884,,,,,,,,,
  05/02/1884,   16 16 N,   65 15 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  06/02/1884,,,,,,,,,
  06/02/1884,   15 28 N,   67 26 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  07/02/1884,,,,,,,,,
  07/02/1884,   13 25 N,   66 25 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
    8/2/1884,,,,,,,,,
    8/2/1884,   11 10 N,   66 27 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  09/02/1884,,,29.9,32.6,at daylihgt sighted orchila island bearing s e x s mag,              hall island,la orchila island,11 48N,66 10W
  09/02/1884,   11 55 N,   68 45 W,1.8,-77.1, santa ana harbor curacao,                  curacas,sint anna bay,12.1097N,68.9326W
  10/02/1884,,,15.5,117.1,   anchored in schottegat,                     poti,willemstad,12 7N,68 56W
  10/02/1884,,,1.8,-77.1,     santa ana curaçao wi,                  curacas,sint anna bay,,
   11/2/1884,,,,,,,,,
   11/2/1884,,,1.8,-77.1,        santa ana curacao,                  curacas,sint anna bay,,
   12/2/1884,,,,,,,,,
   12/2/1884,,,1.8,-77.1,        santa ana curacao,                  curacas,sint anna bay,,
  13/02/1884,,,,,,,,,
  13/02/1884,,,1.8,-77.1,    santa ana curacao w i,                  curacas,sint anna bay,,
   14/2/1884,,,,,,,,,
   14/2/1884,,,1.8,-77.1,    santa ana curacao w i,                  curacas,sint anna bay,,
  15/02/1884,,,,,,,,,
  15/02/1884,,,1.8,-77.1,    santa ana curacao w i,                  curacas,sint anna bay,,
  16/02/1884,,,,,,,,,
  16/02/1884,,,1.8,-77.1,    santa ana curacao w i,                  curacas,sint anna bay,,
  17/02/1884,,,,,,,,,
  17/02/1884,   11 37 N,   68 58 W,1.8,-77.1,        santa ana curacao,                  curacas,sint anna bay,,
  18/02/1884,,,,,,,,,
  18/02/1884,   13 25 N,   70 05 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  19/02/1884,,,12.5,-70,at 1 am fixed white light on east end of aruba id abeam dist 7 310 miles,                    aruba,,,
  19/02/1884,   15 45 N,      71 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  20/02/1884,,,,,,,,,
  20/02/1884,   17 55 N,   72 20 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  21/02/1884,,,,,,,,,
  21/02/1884,   17 45 N,   73 05 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  22/02/1884,,,36.9,55.5,west sud la vache island bore on stbd beam,                     bone,ile a vache,18 04 15N,73 38 30W
  22/02/1884,   17 45 N,   74 39 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  23/02/1884,,,,,,,,,
   24/2/1884,   18 49 N,   74 17 W,36.1,-5.3,         windward passage,                      gib,windward passage,20N,74W
   24/2/1884,,,,,,,,,
   24/2/1884,   19 43 N,   74 56 W,36.1,-5.3,         windward passage,                      gib,windward passage,,
  25/02/1884,,,,,,,,,
  25/02/1884,,,20,-75.8,         santiago de cuba,         santiago de cuba,,,
  26/02/1884,,,,,,,,,
  26/02/1884,,,20,-75.8,         santiago de cuba,         santiago de cuba,,,
  27/02/1884,,,20,-75.8,santiago de cuba light bearing w n w 58 pc,         santiago de cuba,,,
  27/02/1884,   18 39 N,   75 07 W,36.1,-5.3,            caribbean sea,                      gib,caribbean sea,,
  28/02/1884,,,,,,,,,
  28/02/1884,   17 44 N,   75 39 W,,,,,,,
  29/02/1884,,,,,,,,,
  29/02/1884,,,,,,,,,
29/02/1884,,,,,,,,,
29/02/1884,,,18,-76.8,         kingston jamaica,         kingston jamaica,,,
   1/31/1884,,,,,,,,,
   1/31/1884,,,18,-76.8,         kingston jamaica,         kingston jamaica,,,
  02/03/1884,,,,,,,,,
  02/03/1884,"Kingston, Jamaica",,18,-76.8,         kingston jamaica,         kingston jamaica,,,
  03/03/1884,,,,,,,,,
  03/03/1884,,,18,-76.8,         kingston jamaica,         kingston jamaica,,,
  04/03/1884,,,,,,,,,
  04/03/1884,,,18,-76.8,         kingston jamaica,         kingston jamaica,,,
  05/03/1884,,,,,,,,,
  05/03/1884,,,18,-76.8,         kingston jamaica,         kingston jamaica,,,
  06/03/1884,,,,,,,,,
  06/03/1884,,,18,-76.8,         kingston jamaica,         kingston jamaica,,,
  03/07/1884,,,,,,,,,
