  01/05/1897,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  20/06/1897,,,,,,,,,
  20/06/1897,     64 42,    171 45,64.4,-172.2,     indian point siberia,             indian point,,,
  21/06/1897,,,,,,,,,
  21/06/1897,     65 26,    170 55,55,166.3,        at sea bering sea,                  behring,lavrentiya,65 35 03N,2017-11-21T00:00:00
  22/06/1897,,,,,,,,,
  22/06/1897,     65 12,    169 12,65,-168.1,         off kings island,            king's island,bering strait,66 0N,2017-07-04T00:00:00
  23/06/1897,,,,,,,,,
  23/06/1897,   65 15 N,  167 09 W,55,-168.1,        at sea bering sea,            king's island,king island,64 58 30N,2018-03-06T00:00:00
  24/06/1897,,,,,,,,,
  24/06/1897,,,55,166.3,        at sea bering sea,                  behring,king island,,
  25/06/1897,,,,,,,,,
  25/06/1897,,,65.2,-166.7, off port clarence alaska,           port clearance,,,
  26/06/1897,,,,,,,,,
  26/06/1897,,,32.2,119.3,            sledge island,              deer island,sledge island,64 29 9.02N,2018-03-06T00:00:00
  27/06/1897,,,,,,,,,
  27/06/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  28/06/1897,,,,,,,,,
  28/06/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  29/06/1897,,,,,,,,,
  29/06/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  30/06/1897,,,,,,,,,
  30/06/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  01/07/1897,,,,,,,,,
  01/07/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  02/07/1897,,,,,,,,,
  02/07/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  03/07/1897,,,,,,,,,
  03/07/1897,,,12.8,45,         unalaklik alaska,                     aden,unalakleet,63 52 44N,2017-12-12T00:00:00
  04/07/1897,,,,,,,,,
  04/07/1897,     64 16,    164 06,22.4,114.2,      golofnin bay alaska,                     tolo,golovnin bay,64.41556N,2020-08-17T00:00:00
  05/07/1897,,,,,,,,,
  05/07/1897,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  06/07/1897,,,,,,,,,
  06/07/1897,,,43.7,7.2, off point spencer alaska,                     nice,port clarence alaska,65 15 58N,2017-09-12T00:00:00
  07/07/1897,,,,,,,,,
  07/07/1897,,,43.7,7.2,    off pt spencer alaska,                     nice,port clarence alaska,,
  08/07/1897,,,,,,,,,
  08/07/1897,     65 19,    167 47,,,port clarence reindeer station,,port clarence alaska,,
  09/07/1897,,,,,,,,,
  09/07/1897,     65 21,    169 45,55,166.3,        at sea bering sea,                  behring,bering strait,,
  10/07/1897,,,,,,,,,
  10/07/1897,,,55,166.3,     at anchor bering sea,                  behring,bering strait,,
  11/07/1897,,,65.7,-171.1,south head st lawrence bay,          st lawrence bay,,,
  11/07/1897,     65 24,    172 05,65.7,-171.1,  st lawrence bay siberia,          st lawrence bay,,,
  12/07/1897,,,,,,,,,
  12/07/1897,     64 00,    171 39,55,166.3,        at sea bering sea,                  behring,,,
  13/07/1897,,,,,,,,,
  13/07/1897,     64 40,    167 40,55,166.3,        at sea bering sea,                  behring,,,
  14/07/1897,,,,,,,,,
  14/07/1897,     65 04,    167 45,65,-168.1,          kings id alaska,            king's island,,,
  15/07/1897,,,,,,,,,
  15/07/1897,,,43.7,7.2,        pt spencer alaska,                     nice,port clarence alaska,,
  16/07/1897,,,,,,,,,
  16/07/1897,,,11.4,124.5,    off cape riley alaska,                    leyta,port clarence alaska,,
  17/07/1897,,,,,,,,,
  17/07/1897,,,43.7,7.2, off point spencer alaska,                     nice,port clarence alaska,,
  18/07/1897,,,,,,,,,
  18/07/1897,,,43.7,7.2, off point spencer alaska,                     nice,port clarence alaska,,
  19/07/1897,,,,,,,,,
  19/07/1897,,,43.7,7.2,        pt spencer alaska,                     nice,port clarence alaska,,
  20/07/1897,,,,,,,,,
  20/07/1897,,,,,reindeer station port clarence,,port clarence alaska,,
  21/07/1897,,,,,,,,,
  21/07/1897,,,43.7,7.2,        pt spencer alaska,                     nice,port clarence alaska,,
  22/07/1897,,,,,,,,,
  22/07/1897,,,43.7,7.2, off point spencer alaska,                     nice,port clarence alaska,,
  23/07/1897,,,,,,,,,
  23/07/1897,,,43.7,7.2,        pt spencer alaska,                     nice,port clarence alaska,,
  24/07/1897,,,,,,,,,
  24/07/1897,,,53.4,-3,cape prince of wales alaska,                     alex,cape prince of wales,65 38 24N,2017-09-26T00:00:00
  25/07/1897,,,65.7,-171.1,          st lawrence bay,          st lawrence bay,,,
  25/07/1897,,,65.7,-171.1,  st lawrence bay siberia,          st lawrence bay,,,
  26/07/1897,,,,,,,,,
  26/07/1897,,,65.7,-171.1,  st lawrence bay siberia,          st lawrence bay,,,
  26/07/1897,,,,,,,,,
  26/07/1897,,,63.1,-168.9,        east cape siberia,                east cape,cape dezhnev,66 4 45N,2017-08-22T00:00:00
  27/07/1897,,,,,,,,,
  27/07/1897,     66 15,    168 12,66.2,-169.8,           whalen siberia,                   whalen,bering strait,,
  28/07/1897,,,,,,,,,
  28/07/1897,     66 33,  162 37 W,,,             arctic ocean,,kotzebue sound,66 32 46N,2018-08-14T00:00:00
  29/07/1897,,,,,,,,,
  29/07/1897,,,66.5,-162.8,chamissa island kotzebue sound,           kotzebue sound,,,
  30/07/1897,,,,,,,,,
  30/07/1897,     66 52,    163 00,66.5,-162.8,    kotzebue sound alaska,           kotzebue sound,,,
  31/07/1897,,,,,,,,,
  31/07/1897,   66 52 N,  163 00 W,,,,,,,
  31/07/1897,,,,,,,,,
  31/07/1897,,,55,-1.5,           pt hope alaska,                      tic,point hope,68 20 27N,2017-07-04T00:00:00
  01/08/1897,,,68.9,-166.2,            cape lisburne,            cape lisburne,,,
  01/08/1897,,,55,-1.5,      at sea arctic ocean,                      tic,icy cape,70 19 47N,2018-01-09T00:00:00
  02/08/1897,,,70.6,-160,         wainwright inlet,         wainwright inlet,,,
  02/08/1897,,,55,-1.5,      at sea arctic ocean,                      tic,wainwright alaska,70 38 50N,2018-08-14T00:00:00
  03/08/1897,,,70.6,-160,         wainwright inlet,         wainwright inlet,,,
  03/08/1897,,,70.6,-160,               pt belcher,               pt belcher,,,
  04/08/1897,,,,,,,,,
  04/08/1897,,,35.7,-0.6,              pt franklin,                     oran,point franklin,70 54 28N,2018-02-06T01:58:00
  05/08/1897,,,,,,,,,
  05/08/1897,,,71.3,-156.8,        pt shedden alaska,              cape smythe,seahorse islands,70 53 18N,2018-01-09T01:58:00
  06/08/1897,,,,,,,,,
  06/08/1897,,,12.8,45, off point shedden alaska,                     aden,barrow alaska,71 17 44N,2018-08-21T01:56:00
  07/08/1897,,,,,,,,,
  07/08/1897,,,12.8,45,     point shedden alaska,                     aden,barrow alaska,,
  08/08/1897,,,,,,,,,
  08/08/1897,,,55,-1.5,      at sea arctic ocean,                      tic,seahorse islands,,
  09/08/1897,,,,,              skull cliff,,,,
  09/08/1897,     71 17,    157 48,55,-1.5,      at sea arctic ocean,                      tic,barrow alaska,,
  10/08/1897,,,71.3,-156.8,               cape smyth,              cape smythe,,,
  10/08/1897,,,71.3,-156.8,       cape smythe alaska,              cape smythe,,,
  11/08/1897,,,,,,,,,
  11/08/1897,   71 22 N,  156 32 W,71.3,-156.5,             point barrow,             point barrow,,,
  12/08/1897,,,,,,,,,
  12/08/1897,,,71.3,-156.8,       cape smythe alaska,              cape smythe,,,
  13/08/1897,,,,,,,,,
  13/08/1897,,,71.4,-156.5,      point barrow alaska,             point barrow,,,
  14/08/1897,,,,,,,,,
  14/08/1897,,,71.4,-156.5,      point barrow alaska,             point barrow,,,
  15/08/1897,,,,,,,,,
  15/08/1897,,,54.1,-1.5,point barrow swxs 12 s 8 miles,             point barrow,,,
  16/08/1897,,,,,,,,,
  16/08/1897,   71 20 N,  155 40 W,71.4,-156.5,      point barrow alaska,             point barrow,,,
  17/08/1897,,,,,,,,,
  17/08/1897,,,53,173.2,off cooper island arctic ocean,           cooper islands,cooper island,71 13 29N,2018-01-09T01:55:00
  18/08/1897,,,,,,,,,
  18/08/1897,     71 30,    155 40,70.8,-152.2,      cape halkett alaska,             cape halkett,,,
  19/08/1897,,,,,,,,,
  19/08/1897,     71 05,    158 53,71.3,-156.8,       cape smythe alaska,              cape smythe,,,
  20/08/1897,,,,,,,,,
  20/08/1897,     69 21,    164 42,55,-1.5,      at sea arctic ocean,                      tic,chukchi sea,69N,2020-10-20T00:00:00
  21/08/1897,,,,,,,,,
  21/08/1897,   68 34 N,  166 38 W,68.9,-166.2,ed of cape lisburne alaska,            cape lisburne,,,
  22/08/1897,,,,,,,,,
  22/08/1897,     68 05,  166 00 W,68.3,-166.8,        point hope alaska,               point hope,,,
  23/08/1897,,,,,,,,,
  23/08/1897,     66 42,    162 50,55,-1.5,      at sea arctic ocean,                      tic,kotzebue sound,,
  24/08/1897,,,,,,,,,
  24/08/1897,     66 16,    168 11,55,-1.5,      at sea arctic ocean,                      tic,bering strait,,
  25/08/1897,,,,,,,,,
  25/08/1897,,,66.2,-169.8,at anchor off whalen siberia,                   whalen,,,
  26/08/1897,,,,,,,,,
  26/08/1897,     64 50,    167 35,55,166.3,        at sea bering sea,                  behring,,,
  27/08/1897,,,,,,,,,
  27/08/1897,     64 25,    162 55,,,     at sea nortons sound,,,,
  28/08/1897,,,,,,,,,
  28/08/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  29/08/1897,,,,,,,,,
  29/08/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  30/08/1897,,,,,,,,,
  30/08/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  31/08/1897,,,,,,,,,
  31/08/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  01/09/1897,,,,,,,,,
  01/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  02/09/1897,,,,,,,,,
  02/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  03/09/1897,,,,,,,,,
  03/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  04/09/1897,,,,,,,,,
  04/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  05/09/1897,,,,,,,,,
  05/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  06/09/1897,,,,,,,,,
  06/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  07/09/1897,,,,,,,,,
  07/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  08/09/1897,,,,,,,,,
  08/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  09/09/1897,,,,,,,,,
  09/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  10/09/1897,,,,,,,,,
  10/09/1897,,,51.2,-127.8,  sd of egg island alaska,               egg island,norton sound,63 50 57N,2017-08-29T00:00:00
  11/09/1897,,,,,,,,,
  11/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  12/09/1897,,,,,,,,,
  12/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  13/09/1897,,,,,,,,,
  13/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  14/09/1897,,,,,,,,,
  14/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  15/09/1897,,,,,,,,,
  15/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  16/09/1897,,,,,,,,,
  16/09/1897,   64 33 N,  165 45 W,32.2,119.3,      sd of sledge island,              deer island,sledge island,,
  17/09/1897,,,,,,,,,
  17/09/1897,,,32.2,119.3,    pt rodney nne 7 miles,              deer island,sledge island,,
  18/09/1897,,,,,teller reindeer station port clarence,,port clarence alaska,,
  18/09/1897,,,,,off reindeer station port clarence,,port clarence alaska,,
  19/09/1897,,,,,,,,,
  19/09/1897,,,65.2,-166.7,reindeer station port clarence alaska,           port clearance,,,
  20/09/1897,,,,,,,,,
  20/09/1897,,,65.7,-171.1,  st lawrence bay siberia,          st lawrence bay,,,
  21/09/1897,,,,,,,,,
  21/09/1897,     64 46,    167 15,55,166.3,        at sea bering sea,                  behring,king island,,
  22/09/1897,,,,,,,,,
  22/09/1897,   63 37 N,  162 06 W,,,     at sea nortons sound,,,,
  23/09/1897,,,,,,,,,
  23/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  24/09/1897,,,,,,,,,
  24/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  25/09/1897,,,,,,,,,
  25/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  26/09/1897,,,,,,,,,
  26/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  27/09/1897,,,,,,,,,
  27/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  28/09/1897,,,,,,,,,
  28/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  29/09/1897,,,,,,,,,
  29/09/1897,,,,,,,,,
  30/09/1897,,,,,,,,,
  30/09/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  01/10/1897,,,,,,,,,
  01/10/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  02/10/1897,,,,,,,,,
  02/10/1897,,,51.2,-127.8,        egg island alaska,               egg island,norton sound,,
  03/10/1897,,,,,,,,,
  03/10/1897,,,,,,,,,
  04/10/1897,,,,,,,,,
  04/10/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  05/10/1897,,,,,,,,,
  05/10/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  06/10/1897,,,,,,,,,
  06/10/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  07/10/1897,,,,,,,,,
  07/10/1897,,,51.2,-127.8,    off egg island alaska,               egg island,norton sound,,
  08/10/1897,,,,,,,,,
  08/10/1897,,,63.5,-162,       st michaels alaska,               st michael,,,
  09/10/1897,,,,,,,,,
  09/10/1897,     63 14,    166 39,4,9.7,at sea norton sound alaska,                    duala,norton sound,,
  10/10/1897,,,,,,,,,
  10/10/1897,     60 24,    169 22,55,166.3,        at sea bering sea,                  behring,,,
  11/10/1897,,,,,,,,,
  11/10/1897,     58 35,    169 35,55,166.3,        at sea bering sea,                  behring,,,
  12/10/1897,,,,,,,,,
  12/10/1897,     57 35,    169 38,55,166.3,        at sea bering sea,                  behring,,,
  13/10/1897,,,,,,,,,
  13/10/1897,     56 43,    169 39,57.1,-170.3,    st paul island alaska,           st paul island,,,
  14/10/1897,,,,,,,,,
  14/10/1897,   55 12 N,  166 56 W,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  15/10/1897,,,,,,,,,
  15/10/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  16/10/1897,,,,,,,,,
  16/10/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  17/10/1897,,,,,,,,,
  17/10/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  18/10/1897,,,,,,,,,
  18/10/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  19/10/1897,,,,,,,,,
  19/10/1897,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  20/10/1897,,,,,,,,,
  20/10/1897,   55 26 N,    168 03,55,166.3,        at sea bering sea,                  behring,,,
  21/10/1897,,,,,,,,,
  21/10/1897,     56 23,    169 04,55,166.3,        at sea bering sea,                  behring,,,
  22/10/1897,,,,,,,,,
  22/10/1897,,,57.1,-170.3,      off st pauls island,           st paul island,,,
  23/10/1897,,,,,,,,,
  23/10/1897,     56 47,    170 45,57.1,-170.3,    st paul island alaska,           st paul island,,,
  24/10/1897,,,,,,,,,
  24/10/1897,     56 26,    169 14,56.6,-169.6,  st george island alaska,         st george island,,,
  25/10/1897,,,,,,,,,
  25/10/1897,     54 17,    167 01,55,166.3,        at sea bering sea,                  behring,,,
  26/10/1897,,,,,,,,,
  26/10/1897,,,55,124.5,kalekta head ese cape cheerful sexs,                    leyta,unalaska island,53 40 24N,2018-07-17T00:00:00
