  04/01/1895,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  04/01/1895,,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
  05/01/1895,,,,,,,,,
  05/01/1895,0,0,31.2,59.5,                  current,                 shanghai,shanghai,31 13 43N,121 28 29E
"Sunday January 6, 1895",,,36.9,7.8,,                     bone,shanghai,,
"Sunday January 6, 1895",,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
  07/01/1895,,,,,,,,,
  07/01/1895,,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
  08/01/1895,,,,,,,,,
  08/01/1895,,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
  09/01/1895,,,,,,,,,
  09/01/1895,,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
  10/01/1895,,,,,,,,,
  10/01/1895,,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
  11/01/1895,,,,,,,,,
  11/01/1895,,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
   12/1/1895,,,,,,,,,
   12/1/1895,,,31.2,121.5,moored to p and c buoy off shanghai china,                 shanghai,,,
  13/01/1895,,,,,,,,,
  13/01/1895,,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
  14/01/1895,,,,,,,,,
  14/01/1895,    121 05,     31 20,31.2,121.5,moored to p and o buoy off shanghai china,                 shanghai,,,
  14/01/1895,,,,,,,,,
  14/01/1895,,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
  15/01/1895,,,,,,,,,
  15/01/1895,,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
  16/01/1895,,,,,,,,,
  16/01/1895,,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
  17/01/1895,,,,,,,,,
  17/01/1895,,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
  18/01/1895,,,,,,,,,
  18/01/1895,,,31.2,121.5,moored to p and q buoy off shanghai china,                 shanghai,,,
  01/19/1895,,,,,,,,,
  01/19/1895,,,31.2,121.5,           shanghai china,                 shanghai,,,
  20/01/1895,,,,,                bommenees,,,,
  20/01/1895,,,31.2,121.5,moored to po buoy off shanghai china,                 shanghai,,,
  21/01/1895,,,,,,,,,
  21/01/1895,   30 40 N,  122 01 E,59.9,-149.4,                      8pm,            rugged island,daishan county,30.2603N,122.204E
  22/01/1895,,,,,,,,,
  22/01/1895,,,,,,,,,
  22/01/1895,,,,,,,,,
  22/01/1895,   30 05 N,  121 48 E,59.9,-149.4,at anchor off rugged islands and moored off wang yuen fort yung river china,            rugged island,daishan county,,
"Wednesday, January 23, 1895",,,,,,,,,
"Wednesday, January 23, 1895",,,,,,,,,
"Wednesday, January 23, 1895",,,,,,,,,
"Wednesday, January 23, 1895",   29 52 N,  122 53 E,-17.5,109.1,moored off wang yuen fort and moored off ning po yung river china,                   moorea,ningbo,29 52N,121 33E
  24/01/1895,,,,,,,,,
  24/01/1895,,,-17.5,-149.8,moored off ning po yung river china,                   moorea,ningbo,,
  25/01/1895,,,,,,,,,
  25/01/1895,,,-17.5,-149.8,moored off ning po yung river china,                   moorea,ningbo,,
  26/01/1895,,,,,,,,,
  26/01/1895,,,-17.5,-149.8,moored off ning po yung river china,                   moorea,ningbo,,
  27/01/1895,,,,,,,,,
  27/01/1895,,,-17.5,-149.8,moored off ning po yung river china and at anchor off tripoint id rugged ids,                   moorea,ningbo,,
  28/01/1895,,,,,,,,,
  28/01/1895,,,,,,,,,
  28/01/1895,,,,,,,,,
  28/01/1895,,,59.9,-149.4,anchored of tripoint id rugged islands and moored off wusung,            rugged island,shengsi county,30 43 26N,122 27 16E
  29/01/1895,,,,,,,,,
  29/01/1895,,,,,,,,,
  29/01/1895,,,,,,,,,
  29/01/1895,     31 21,    121 28,43.1,121.5,                    charl,                     hvar,shanghai,,
  01/30/1895,,,,,,,,,
  01/30/1895,,,,,,,,,
  01/30/1895,,,,,,,,,
  01/30/1895,   32 06 N,  119 53 E,21.5,109.1,anchored off leo point yangtse river china and anchored off pottinger isd,                    china,zhen jiang,32 12N,119 25E
  31/01/1895,,,,,,,,,
  31/01/1895,   32 06 N,  119 26 E,,,at anchor off pottinger island and moored off chinkiang yangtse river china,,,,
  01/02/1895,,,,,,,,,
  01/02/1895,,,,,at anchor off pottinger island and moored off chinkiang yangtse river china,,,,
  01/02/1895,,,,,,,,,
  01/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,zhen jiang,,
  02/02/1895,,,,,,,,,
  02/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  03/02/1895,,,,,,,,,
  03/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  02/04/1895,,,,,,,,,
  02/04/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  05/02/1895,,,,,,,,,
  05/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  06/02/1895,,,,,,,,,
  06/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  07/07/1895,,,,,,,,,
  07/07/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  08/02/1895,,,,,,,,,
  08/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  09/02/1895,,,,,,,,,
  09/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
   2/10/1895,,,,,,,,,
   2/10/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  11/02/1895,,,,,,,,,
  11/02/1895,,,32.3,119.5,chinkiang yangtse river china,               chin-kiang,,,
   12/2/1895,,,,,,,,,
   12/2/1895,,,21.5,109.1,      yangtse river china,                    china,zhen jiang,,
  13/02/1895,,,21.5,109.1,      yangtse river china,                    china,zhen jiang,,
  13/02/1895,,,32.3,119.5,chinkiang yangtse river china,               chin-kiang,,,
  13/02/1895,,,,,,,,,
  13/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  14/02/1895,,,,,,,,,
  14/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  15/02/1895,,,,,,,,,
  15/02/1895,,,32.3,119.5,moored off ghinkiang yangtse river china,                chinkiang,,,
  16/02/1895,,,32.3,119.5,moored off ghinkiang yangtse river china,                chinkiang,,,
  16/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  17/02/1895,,,,,,,,,
  17/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  18/02/1895,,,,,,,,,
  18/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  19/02/1895,,,,,,,,,
  19/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  20/02/1895,,,,,,,,,
  20/02/1895,,,21.5,109.1,chuikiang yangtse river china,               chin-kiang,,,
  20/02/1895,,,,,,,,,
  20/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  21/02/1895,,,,,,,,,
  21/02/1895,,,32.3,119.5,chinkiang yangtse river china,               chin-kiang,,,
  21/02/1895,,,,,,,,,
  21/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  22/02/1895,,,,,,,,,
  22/02/1895,,,32.3,119.5,morred off chinkiang yangtse river china,               chin-kiang,,,
  23/02/1895,,,,,at 830 the steam launch left the ship with a hunting party for the neighborhood of ichang just abreast of dear island,,,,
  23/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  24/02/1895,,,,,,,,,
  24/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  25/02/1895,,,,,,,,,
  25/02/1895,,,32.3,119.5,moored off chinkiang gangtse river china,               chin-kiang,,,
  25/02/1895,,,,,,,,,
  25/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  26/02/1895,,,,,,,,,
  26/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  26/02/1895,,,,,,,,,
  26/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  27/02/1895,,,,,,,,,
  27/02/1895,,,,,,,,,
  27/02/1895,,,,,,,,,
  27/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  28/02/1895,,,,,,,,,
  28/02/1895,,,32.3,119.5,  chinkiang yangtse river,               chin-kiang,,,
  28/02/1895,,,,,,,,,
  28/02/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  01/03/1895,,,,,,,,,
  01/03/1895,,,32.3,119.5,chinkiang yangtse river china,               chin-kiang,,,
  01/03/1895,,,,,,,,,
  01/03/1895,,,32.3,119.5,moored off chinkiang tangtse river china,               chin-kiang,,,
  02/03/1895,,,,,,,,,
  02/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  03/03/1895,,,,,,,,,
  03/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  04/03/1895,,,,,,,,,
  04/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  05/03/1895,,,,,,,,,
  05/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  06/03/1895,,,,,,,,,
  06/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  06/03/1895,,,,,,,,,
  06/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  07/03/1895,,,,,,,,,
  07/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  07/03/1895,,,,,,,,,
  07/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  08/03/1895,,,,,,,,,
  08/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  08/03/1895,,,,,,,,,
  08/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  09/03/1895,,,,,,,,,
  09/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  10/03/1895,,,,,,,,,
  10/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  11/03/1895,,,,,,,,,
  11/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  11/03/1895,,,,,,,,,
  11/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  12/03/1895,,,,,,,,,
  12/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  12/03/1895,,,-18.1,178.4,at 850 the german gunboat iltis got underway and stood down the river and anchored off consulate hill,                     suva,zhen jiang,,
  12/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  13/03/1895,,,,,,,,,
  13/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  13/03/1895,,,,,,,,,
  13/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  14/03/1895,,,,,,,,,
  14/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  15/03/1895,,,,,,,,,
  15/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  15/03/1895,,,,,,,,,
  15/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  16/03/1895,,,,,,,,,
  16/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  17/03/1895,,,,,,,,,
  17/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  18/03/1895,,,,,,,,,
  18/03/1895,,,32.3,119.5,moored off chinkiang yangtse river china,               chin-kiang,,,
  18/03/1895,,,,,,,,,
  18/03/1895,   31 49 N,  120 11 E,43.1,16.7,                 by chart,                     hvar,yangtze,31 23 37N,121 58 59E
  19/03/1895,,,,,1120 bate pt beacon abean bearing e by e mag,,,,
  19/03/1895,   31 15 N,  121 39 E,43.1,16.7,anchored above centaur shoal underway and moored to china merchants lower buoy off shanghai,                     hvar,yangtze,,
  20/03/1895,,,,,,,,,
  20/03/1895,,,,,anchored above centaur shoal underway and moored to china merchants lower buoy off shanghai,,,,
  20/03/1895,,,,,,,,,
  20/03/1895,,,31.2,121.5,moored to china merchants lower buoy off shanghai china,                 shanghai,,,
  21/03/1895,,,,,,,,,
  21/03/1895,,,31.2,121.5,moored to china merchants lower buoy off shanghai china,                 shanghai,,,
  21/03/1895,,,,,,,,,
  21/03/1895,,,31.2,121.5,moored to china merchants lower buoy off shanghai china,                 shanghai,,,
  22/03/1895,,,,,,,,,
  22/03/1895,,,31.2,121.5,moored to china merchants lower buoy off shanghai china,                 shanghai,,,
  22/03/1895,,,,,,,,,
