  02/01/1888,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  02/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,36 56.7N,0001-05-12
  03/01/1888,,,,,,,,,
  03/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  04/01/1888,,,,,,,,,
  04/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  05/01/1888,,,,,,,,,
  05/01/1888,,,-43,147.8,moored to dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  06/01/1888,,,,,,,,,
  06/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  07/01/1888,,,,,,,,,
  07/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  08/01/1888,,,,,,,,,
  08/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  09/01/1888,,,,,,,,,
  09/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  10/01/1888,,,,,,,,,
  10/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  11/01/1888,,,,,,,,,
  11/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  12/01/1888,,,,,,,,,
  12/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  13/01/1888,,,,,,,,,
  13/01/1888,,,-43,147.8,moored to dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  14/01/1888,,,,,,,,,
  14/01/1888,,,-43,147.8,moored to dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  15/01/1888,,,,,,,,,
  15/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  16/01/1888,,,,,,,,,
  16/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  17/01/1888,,,,,,,,,
  17/01/1888,,,-43,147.8,moored to dock navy yard norfolk va,              norfolk bay,naval station norfolk,,
  18/01/1888,,,,,,,,,
  18/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  19/01/1888,,,,,,,,,
  19/01/1888,,,-43,147.8,     navy yard norfolk va,              norfolk bay,naval station norfolk,,
  20/01/1888,,,,,,,,,
