    1/1/1887,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  21/02/1887,,,,,,,,,
  21/02/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  22/02/1887,,,,,,,,,
  22/02/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  23/02/1887,,,,,,,,,
  23/02/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  24/02/1887,,,,,,,,,
  24/02/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  25/02/1887,,,,,,,,,
  25/02/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   26/2/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   26/2/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  27/02/1887,,,,,,,,,
  27/02/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
Monday 28/2/1887,,,,,,,,,
Monday 28/2/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  01/03/1887,,,,,,,,,
  01/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  02/03/1887,,,,,,,,,
  02/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  03/03/1887,,,,,,,,,
  03/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  04/03/1887,,,,,,,,,
  04/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  05/03/1887,,,,,,,,,
  05/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  06/03/1887,,,,,,,,,
  06/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  07/03/1887,,,,,,,,,
  07/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  08/03/1887,,,,,,,,,
  08/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  09/03/1887,,,,,,,,,
  09/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  10/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  10/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  11/03/1887,,,,,,,,,
  11/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  12/03/1887,,,,,,,,,
  12/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  13/03/1887,,,,,,,,,
  13/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
  14/03/1887,,,,,,,,,
  14/03/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
   15/3/1887,,,,,,,,,
   15/3/1887,,,38.9,-77,  navy yard washington dc,            washington dc,washington navy yard,,
