  01/01/1888,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
   21/2/1888,   30 09 S,   74 58 W,,,                   at sea,,,,
  22/02/1888,,,,,,,,,
  22/02/1888,   26 59 S,   75 53 W,,,                   at sea,,,,
   23/2/1888,,,,,,,,,
   23/2/1888,   23 52 S,   76 55 W,,,                   at sea,,,,
  24/02/1888,,,,,,,,,
  24/02/1888,   20 44 S,   77 50 W,,,                   at sea,,,,
   25/2/1888,,,,,,,,,
   25/2/1888,   17 29 S,   78 50 W,,,                   at sea,,,,
  26/02/1888,,,,,,,,,
  26/02/1888,   14 07 S,   79 49 W,,,                   at sea,,,,
  27/02/1888,,,,,,,,,
  27/02/1888,   10 48 S,   80 29 W,,,                   at sea,,,,
   28/2/1888,,,,,,,,,
   28/2/1888,   07 21 S,   81 26 W,,,,,,,
  29/02/1888,,,,,,,,,
  29/02/1888,   04 07 S,   82 03 W,,,                   at sea,,,,
  01/03/1888,,,,,,,,,
  01/03/1888,   01 01 S,   81 10 W,,,                   at sea,,,,
  02/03/1888,,,,,,,,,
  02/03/1888,   01 30 N,   79 59 W,,,                   at sea,,,,
  03/03/1888,,,,,,,,,
  03/03/1888,   04 35 N,   79 11 W,,,                   at sea,,,,
  04/03/1888,,,,,,,,,
  04/03/1888,   07 24 N,   78 34 W,69.4,-135.7,            pearl islands,             geary island,pearl islands,8 20N,2017-08-22T00:00:00
  05/03/1888,,,,,,,,,
  05/03/1888,   08 46 N,   79 10 W,22.2,113.9,off pearl islands  taboguilla,                     taio,pearl islands,,
  06/03/1888,,,,,,,,,
  06/03/1888,,,22.2,113.9,             taboguilla i,                     taio,taboga island,8 47 0N,2017-07-04T00:00:00
  03/07/1888,,,,,,,,,
  03/07/1888,,,22.2,113.9,             taboguilla i,                     taio,taboga island,,
  08/03/1888,,,,,,,,,
  08/03/1888,,,22.2,113.9,             taboquilla i,                     taio,taboga island,,
  09/03/1888,,,,,,,,,
  09/03/1888,,,22.2,113.9,             taboguilla i,                     taio,taboga island,,
  10/03/1888,,,,,,,,,
  10/03/1888,,,22.2,113.9,             taboguilla i,                     taio,taboga island,,
  11/03/1888,,,,,,,,,
  11/03/1888,,,22.2,113.9,             taboguilla i,                     taio,taboga island,,
  12/03/1888,,,,,,,,,
  12/03/1888,,,22.2,113.9,             taboguilla i,                     taio,taboga island,,
  13/03/1888,,,,,,,,,
  13/03/1888,,,64.4,-173.2,taboguilla i  panama harbor,              emma harbor,gulf of panama,8.08642N,2019-01-09T00:00:00
  14/03/1888,,,,,,,,,
  14/03/1888,,,9,-79.5,               panama usc,                   panama,,,
  15/03/1888,,,,,,,,,
  15/03/1888,,,9,-79.5,               panama usc,                   panama,,,
   16/3/1888,,,,,,,,,
   16/3/1888,,,9,-79.5,               panama usc,                   panama,,,
   17/3/1888,,,,,,,,,
   17/3/1888,,,9,-79.5,               panama usc,                   panama,,,
   18/3/1888,,,,,,,,,
   18/3/1888,,,9,-79.5,               panama usc,                   panama,,,
  19/03/1888,,,,,,,,,
  19/03/1888,,,9,-79.5,               panama usc,                   panama,,,
  20/03/1888,,,,,,,,,
  20/03/1888,,,9,-79.5,               panama usc,                   panama,,,
   21/3/1888,,,,,,,,,
   21/3/1888,,,9,-79.5,               panama usc,                   panama,,,
   22/3/1888,,,,,,,,,
   22/3/1888,,,9,-79.5,               panama usc,                   panama,,,
  23/03/1888,,,,,,,,,
  23/03/1888,,,9,-79.5,               panama usc,                   panama,,,
  24/03/1888,,,,,,,,,
  24/03/1888,,,9,-79.5,               panama usc,                   panama,,,
  25/03/1888,,,,,,,,,
  25/03/1888,,,9,-79.5,               panama usc,                   panama,,,
   26/3/1888,,,,,,,,,
   26/3/1888,,,9,-79.5,               panama usc,                   panama,,,
  27/03/1888,,,,,,,,,
  27/03/1888,,,9,-79.5,               panama usc,                   panama,,,
  28/03/1888,,,,,,,,,
  28/03/1888,,,9,-79.5,               panama usc,                   panama,,,
  29/03/1888,,,,,,,,,
  29/03/1888,   08 46 N,   79 29 W,9,-79.5,    panama usc and at sea,                   panama,,,
  30/03/1888,,,,,,,,,
  30/03/1888,   06 48 N,   80 59 W,,,,,,,
  31/03/1888,,,,,,,,,
  31/03/1888,   05 01 N,   83 38 W,,,                   at sea,,,,
  01/04/1888,,,,,,,,,
  01/04/1888,   03 37 N,   85 38 W,,,                   at sea,,,,
  02/04/1888,,,,,,,,,
  02/04/1888,   00 57 N,   87 35 W,,,                   at sea,,,,
  03/04/1888,,,,,,,,,
  03/04/1888,   00 40 S,   89 24 W,51.4,0.5,               chatham id,                  chatham,san cristobal island,0 48S,2017-12-19T00:00:00
  04/04/1888,,,,,,,,,
  04/04/1888,,,51.4,0.5,               chatham id,                  chatham,san cristobal island,,
  05/04/1888,,,,,,,,,
  05/04/1888,,,51.4,0.5,               chatham id,                  chatham,san cristobal island,,
  06/04/1888,,,,,,,,,
  06/04/1888,,,30.3,115.1,chatham  hood islands and at sea,              pook island,espanola island,1 22S,2018-04-17T00:00:00
  07/04/1888,,,,,,,,,
  07/04/1888,,,43.1,16.7,               charles id,                     hvar,floreana island,1 17 51S,2017-07-25T00:00:00
  08/04/1888,,,43.7,16.7,              black beach,                     hvar,floreana island,,
