          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
  31/12/1866,,,-2.1,-79.5,           panama bay usa,             manus island,panama bay,8.8333333N,2019-01-09T00:00:00
  13/10/1866,,,37.8,-122.4,            san francisco,            san francisco,,,
  13/10/1866,,,,,,,,,
  03/09/1866,,,38.1,-122.3,    navy yard mare island,              mare island,,,
  03/09/1866,,,,,,,,,
  03/09/1866,,,,,,,,,
  03/09/1866,,,,,,,,,
  03/09/1866,,,,,,,,,
  03/09/1866,,,,,,,,,
  03/09/1866,,,,,,,,,
  03/09/1866,,,,,,,,,
    7/08/1866,,,37.8,-122.4,        san francisco bay,        san francisco bay,,,
    7/08/1866,,,,,,,,,
    7/08/1866,,,38.1,-122.3,navy yard mare island cala,              mare island,,,
  03/09/1866,,,,,,,,,
  03/09/1866,,,38.1,-122.3,navy yard marc island cala,              mare island,,,
  03/09/1866,,,,,,,,,
  03/09/1866,,,,,,,,,
    3/9/1866,,,,,,,,,
    3/9/1866,,,38.1,-122.3,navy yard mare island cala,              mare island,,,
  04/09/1866,,,,,,,,,
  04/09/1866,,,38.1,-122.3,navy yard mare island cala,              mare island,,,
  05/09/1866,,,,,,,,,
  05/09/1866,,,38.1,-122.3,navy yard mare island cala,              mare island,,,
  06/09/1866,,,,,,,,,
  06/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
   7/09/1866,,,,,,,,,
   7/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
  08/09/1866,,,,,,,,,
  08/09/1866,,,38.1,-122.3,lyvig at havy yard mau island cala,              mare island,,,
  09/09/1866,,,,,,,,,
  09/09/1866,,,38.1,-122.3,navy yard mare island cala,              mare island,,,
  10/09/1866,,,,,,,,,
  10/09/1866,,,38.1,-122.3,navy yard mare island cala,              mare island,,,
  11/09/1866,,,,,,,,,
  11/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
  12/09/1866,,,,,,,,,
  12/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
  13/09/1866,,,,,,,,,
  13/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
  14/09/1866,,,,,,,,,
  14/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
  15/09/1866,,,,,,,,,
  15/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
  16/09/1866,,,,,,,,,
  16/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
  17/09/1866,,,,,,,,,
  17/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
  18/09/1866,,,,,,,,,
  18/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
  19/09/1866,,,,,,,,,
  19/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
  20/09/1866,,,-4.6,55.5,  us navy yard mare is ca,                     mahe,mare island navy yard,38 5 24N,2018-06-05T01:22:00
  20/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
  21/09/1866,,,,,,,,,
  21/09/1866,,,38.1,-122.3,         mare island cala,              mare island,,,
  22/09/1866,,,,,,,,,
