21/04/1894,        NA,        NA_2,37.8,-122.4,            san francisco,            san francisco_2,h,i,j
  12/06/1894,,,,,,,,,
  12/06/1894,   53 48 N,  167 26 W,,,,,,,
  13/06/1894,,,,,,,,,
  13/06/1894,   52 52 N,  169 05 W,,,,,,,
  14/06/1894,,,4,9.7,          umnak id alaska,                    duala,umnak island,53 13 26N,168 25 55W
  14/06/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  15/06/1894,,,,,,,,,
  15/06/1894,,,,,                 anchored,,,,
  16/06/1894,,,,,          unaluska alaska,,,,
  16/06/1894,,,,,                 anchored,,,,
  17/06/1894,,,,,,,,,
  17/06/1894,,,,,                 anchored,,,,
  18/06/1894,,,53.9,73.9,          unalaska alaska,             unalaska bay,,,
  18/06/1894,,,56.5,-3,         anchoredunderway,                   dundee,unalaska bay,53 56 55N,166 29 54W
  19/06/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  19/06/1894,   54 01 N,  166 50 W,,,,,,,
  20/06/1894,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  20/06/1894,   53 06 N,  170 04 W,,,,,,,
  21/06/1894,,,,,,,,,
  21/06/1894,   52 27 N,  172 45 W,,,,,,,
  22/06/1894,,,52.1,-128.1,            seguam island,              camp island,seguam island,52 19 24N,172 27 58W
  22/06/1894,   55 04 N,  174 45 W,,,,,,,
  24/06/1894,,,,,,,,,
  24/06/1894,   57 29 N,  176 43 W,,,,,,,
  24/06/1894,,,,,,,,,
  24/06/1894,   59 43 N,  179 43 W,,,,,,,
  25/06/1894,,,,,,,,,
  25/06/1894,   62 09 N,  178 10 E,,,,,,,
  26/06/1894,,,,,,,,,
  26/06/1894,   62 13 N,  178 40 E,,,,,,,
  27/06/1894,   62 31 N,  177 42 E,62.3,179.1,at anchor to wd of cape navarin siberia,            cape navarino,,,
  27/06/1894,   64 05 N,  177 27 W,,,,,,,
  28/06/1894,,,,,,,,,
  28/06/1894,   64 15 N,  174 00 W,64.4,-173.3,       plover bay siberia,               plover bay,,,
  29/06/1894,,,,,,,,,
  29/06/1894,   63 55 N,  171 40 W,,,,,,,
  30/06/1894,,,,,,,,,
  30/06/1894,   65 31 N,  171 30 W,,,,,,,
  01/07/1894,,,,,,,,,
  01/07/1894,   65 16 N,  170 08 W,,,,,,,
  02/07/1894,,,65.5,-171.1,       south head siberia,               south head,,,
  02/07/1894,,,,,,,,,
  03/07/1894,,,55,166.3,        at sea bering sea,                  behring,,,
  03/07/1894,,,,,anchored off reindeer station port clarence,,port clarence bay,65 14N,166 41W
  04/07/1894,,,,,,,,,
  04/07/1894,,,,,cape riley nxw dist 5 miles,,port clarence bay,,
  05/07/1894,,,65.2,-166.7,at anchor off cape riley port clarence alaska,           port clearance,port clarence bay,,
  05/07/1894,,,,,cape riley nxw dist 5 miles,,port clarence bay,,
  06/07/1894,,,65.2,-166.7,at anchor off cape riley port clarence alaska,           port clearance,port clarence bay,,
  06/07/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,port clarence bay,,
  07/07/1894,,,,,,,,,
  07/07/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,port clarence bay,,
  08/07/1894,,,,,,,,,
  08/07/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,port clarence bay,,
  09/07/1894,,,,,,,,,
  09/07/1894,,,65.2,-166.7,     port clarence alaska,           port clearance,port clarence bay,,
  10/07/1894,,,,,,,,,
  10/07/1894,,,65.7,-171.1,anchored off south head st lawrence bay siberia,          st lawrence bay,,,
  11/07/1894,,,,,,,,,
  11/07/1894,   66 02 N,  169 55 W,63.1,-168.9,at anchor off east cape village siberia,                east cape,cape dezhnev,66 04 45N,169 39 07W
  12/07/1894,,,,,,,,,
  12/07/1894,   66 02 N,  169 55 W,,,,,,,
  13/07/1894,,,,,,,,,
  13/07/1894,   62 02 N,     62 02,,,,,,,
  14/07/1894,,,63.1,-168.9,at anchor to westward of east cape siberia,                east cape,cape dezhnev,,
  14/07/1894,   62 02 N,  169 55 W,,,,,,,
  15/07/1894,,,63.1,-168.9,westward of east cape siberia,                east cape,cape dezhnev,,
  15/07/1894,   62 02 N,  169 59 W,,,,,,,
  16/07/1894,,,63.1,-168.9,at sea off east cape siberia,                east cape,cape dezhnev,,
  16/07/1894,   66 12 N,  169 40 W,,,,,,,
  17/07/1894,,,66.2,-169.8,at anchor off whalen siberia,                   whalen,uelen,66 09 34N,169 48 33W
  17/07/1894,   66 12 N,  169 40 W,,,,,,,
  18/07/1894,,,66.2,-169.8,           whalen siberia,                   whalen,uelen,,
  18/07/1894,   66 12 N,  169 40 W,,,,,,,
  19/07/1894,,,66.2,-169.8,at anchor off whalen siberia,                   whalen,uelen,,
  19/07/1894,   66 12 N,  169 40 W,,,,,,,
  20/07/1894,,,66.2,-169.8,at anchor off whalen siberia,                   whalen,uelen,,
  20/07/1894,,,,,anchored off entrance of lagoon wd of whalen siberia,,uelen,,
  21/07/1894,,,,,,,,,
  21/07/1894,   66 40 N,  171 20 W,-11.1,-77.6,     off chachong village,                   huacho,enurmino,66 57N,171 49W
  22/07/1894,,,,,,,,,
  22/07/1894,,,-11.1,-77.6,anchored off chachory village siberia,                   huacho,enurmino,,
  23/07/1894,,,,,,,,,
  23/07/1894,   65 39 N,  168 24 W,,,,,,,
  24/07/1894,,,,,,,,,
  24/07/1894,,,,,anchored off reindeer station port clarence alaska,,port clarence bay,,
  25/07/1894,,,,,at anchor off reindeer station port clarence alaska,,port clarence bay,,
  25/07/1894,Doff Reindeer Station,"Port Clarence, Alaska",22.2,113.9,anchored off reindeer station port clarence alaska,                     taio,port clarence bay,,
  26/07/1894,,,,,anchored off reindeer station port clarence alaska,,port clarence bay,,
  26/07/1894,Doff Reindeer Station,"Port Clarence, Alaska",,,2000,,port clarence bay,,
  27/07/1894,,,,,anchored off reindeer station port clarence alaska,,port clarence bay,,
  27/07/1894,   66 29 N,  165 03 W,,,,,,,
  28/07/1894,,,55,-1.5,      at sea arctic ocean,                      tic,kotzebue sound,66 32 46N,162 44 58W
  28/07/1894,   66 44 N,  162 27 W,59.9,10.8,             cape blossom,                     oslo,cape blossom,66 44 03N,162 29 42W
  29/07/1894,,,55,-1.5,      at sea arctic ocean,                      tic,kotzebue sound,,
  29/07/1894,   66 51 N,  163 13 W,,,,,,,
  30/07/1894,,,66.5,-162.8,anchored off cape blossom kotzibue sound alaska,           kotzebue sound,,,
  30/07/1894,   68 17 N,  165 58 W,,,,,,,
  31/07/1894,,,,,,,,,
