21/04/1894,        NA,        NA_2,37.8,-122.4,            san francisco,            san francisco_2,h,i,j
  07/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  07/11/1894,   45 41 N,  140 11 W,,,,,,,
  08/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  08/11/1894,   44 47 N,  138 20 W,,,,,,,
  09/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  09/11/1894,   43 11 N,  134 52 W,,,,,,,
  10/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  10/11/1894,   42 20 N,  131 01 W,,,,,,,
  11/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  11/11/1894,   40 25 N,  127 24 W,,,,,,,
  12/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  12/11/1894,   35 25 N,  123 37 W,,,,,,,
  13/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  13/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/11/1894,,,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
  14/11/1894,,,,,,,,,
