  02/01/1910,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  02/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  03/01/1910,,,,,,,,,
  03/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  04/01/1910,,,,,,,,,
  04/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  05/01/1909,,,,,,,,,
  05/01/1909,,,32.7,-117.2,     san diego california,            san diego usa,,,
  06/01/1910,,,,,,,,,
  06/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  07/01/1910,,,,,,,,,
  07/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  08/01/1910,,,,,,,,,
  08/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  09/01/1910,,,,,,,,,
  09/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  10/01/1910,,,,,,,,,
  10/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  11/01/1910,,,,,,,,,
  11/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  12/01/1910,,,,,,,,,
  12/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  13/01/1910,,,,,,,,,
  13/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  14/01/1910,,,,,,,,,
  14/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  15/01/1910,,,,,,,,,
  15/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  16/01/1910,,,,,,,,,
  16/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  17/01/1910,,,,,,,,,
  17/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  18/01/1910,,,,,,,,,
  18/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  19/01/1910,,,,,,,,,
  19/01/1910,,,32.7,-117.2,     san diego california,            san diego usa,,,
  20/01/1910,,,,,,,,,
  20/01/1910,   33 45 N,  118 41 W,56.2,-3,pt hueneme lt ho n x w 34 w 65 miles,                    forth,point hueneme light,34.145137N,119.210032W
  21/01/1910,,,,,,,,,
  21/01/1910,     35 41,    121 40,,,,,,,
  22/01/1910,,,,,,,,,
  22/01/1910,,,-8.7,115.2,   off vallejo california,                     bali,vallejo,38 6 47N,122 14 9W
  23/01/1910,,,,,,,,,
  23/01/1910,,,,,   mare island california,,,,
  24/01/1910,,,,,,,,,
  24/01/1910,,,,,   mare island california,,,,
  25/01/1910,,,,,,,,,
  25/01/1910,,,,,   mare island california,,,,
  26/01/1910,,,,,,,,,
  26/01/1910,,,37.8,-122.3,     sausalito california,                sausalito,,,
  27/01/1910,,,,,,,,,
  27/01/1910,,,37.8,-122.3,     sausalito california,                sausalito,,,
  28/01/1910,,,,,,,,,
  28/01/1910,,,37.8,-122.3,     sausalito california,                sausalito,,,
  29/01/1910,,,,,,,,,
  29/01/1910,,,37.8,-122.3,     sausalito california,                sausalito,,,
  30/01/1910,,,,,,,,,
  30/01/1910,,,37.8,-122.3,     sausalito california,                sausalito,,,
  31/01/1910,,,,,,,,,
  31/01/1910,,,37.8,-122.3,     sausalito california,                sausalito,,,
  01/02/1910,,,,,,,,,
  01/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  02/02/1910,,,,,,,,,
  02/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  03/02/1910,,,,,,,,,
  03/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  04/02/1910,,,,,,,,,
  04/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  05/02/1910,,,,,,,,,
  05/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  06/02/1910,,,,,,,,,
  06/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  07/02/1910,,,,,,,,,
  07/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  08/02/1910,,,,,,,,,
  08/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  09/02/1910,,,,,,,,,
  09/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  10/02/1910,,,,,,,,,
  10/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  11/02/1910,,,,,,,,,
  11/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  12/02/1910,,,,,,,,,
  12/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  13/02/1910,,,,,,,,,
  13/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  14/02/1910,,,,,,,,,
  14/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  15/02/1910,,,,,,,,,
  15/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  16/02/1910,,,,,,,,,
  16/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  17/02/1910,,,,,,,,,
  17/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  18/02/1910,,,,,,,,,
  18/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  19/02/1910,,,,,,,,,
  19/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  20/02/1910,,,,,,,,,
  20/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  21/02/1910,,,,,,,,,
  21/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  22/02/1910,,,,,,,,,
  22/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  23/02/1910,,,,,,,,,
  23/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  24/02/1910,,,,,,,,,
  24/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  25/02/1910,,,,,,,,,
  25/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  26/02/1910,,,,,,,,,
  26/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  27/02/1910,,,,,,,,,
  27/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  28/02/1910,,,,,,,,,
  28/02/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  01/03/1910,,,,,,,,,
  01/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  02/03/1910,,,,,,,,,
  02/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  03/03/1910,,,,,,,,,
  03/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  04/03/1910,,,,,,,,,
  04/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  05/03/1910,,,,,,,,,
  05/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  06/03/1910,,,,,,,,,
  06/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  07/03/1910,,,,,,,,,
  07/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  08/03/1910,,,,,,,,,
  08/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  09/03/1910,,,,,,,,,
  09/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  10/03/1910,,,,,,,,,
  10/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  11/03/1910,,,,,,,,,
  11/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  12/03/1910,,,,,,,,,
  12/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  13/03/1910,,,,,,,,,
  13/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  14/03/1910,,,,,,,,,
  14/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  15/03/1910,,,,,,,,,
  15/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  16/03/1910,,,,,,,,,
  16/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  17/03/1910,,,,,,,,,
  17/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  18/03/1910,,,,,,,,,
  18/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  19/03/1910,,,,,,,,,
  19/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  20/03/1910,,,,,,,,,
  20/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  21/03/1910,,,,,,,,,
  21/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  22/03/1910,,,,,,,,,
  22/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  23/03/1910,,,,,,,,,
  23/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  24/03/1910,,,,,,,,,
  24/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  25/03/1910,,,,,,,,,
  25/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  26/03/1910,,,,,,,,,
  26/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  27/03/1910,,,,,,,,,
  27/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  28/03/1910,,,,,,,,,
  28/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  29/03/1910,,,,,,,,,
  29/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  30/03/1910,,,,,,,,,
  30/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  31/03/1910,,,,,,,,,
  31/03/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  01/04/1910,,,,,,,,,
  01/04/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  02/04/1910,,,,,,,,,
  02/04/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  03/04/1910,,,,,,,,,
  03/04/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  04/04/1910,,,,,,,,,
  04/04/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  05/04/1910,,,,,,,,,
  05/04/1910,,,37.8,-122.3,       oakland california,                  oakland,,,
  06/04/1910,,,,,,,,,
  06/04/1910,,,37.8,-122.3,     sausalito california,                sausalito,,,
  07/04/1910,,,,,,,,,
  07/04/1910,,,37.8,-122.3,     sausalito california,                sausalito,,,
  08/04/1910,,,,,,,,,
  08/04/1910,,,37.8,-122.3,     sausalito california,                sausalito,,,
  09/04/1910,,,,,,,,,
  09/04/1910,,,37.8,-122.3,     sausalito california,                sausalito,,,
  10/04/1910,,,,,,,,,
  10/04/1910,,,37.8,-122.3,     sausalito california,                sausalito,,,
  11/04/1910,,,,,,,,,
  11/04/1910,,,37.8,-122.3,     sausalito california,                sausalito,,,
  12/04/1910,,,,,,,,,
