  01/01/1894,        NA,        NA_2,37.8,-122.4,        san francisco cal,        san francisco bay,h,i,j
  26/05/1893,   48 49 N,  127 00 W,48.1,-122.8,from port townsend wash to unalaska,            port townsend,north pacific,,
  27/05/1893,,,,,,,,,
  27/05/1893,   49 23 N,  131 17 W,48.1,-122.8,at sea on passage from port townsend wash,            port townsend,north pacific,,
  28/05/1893,,,,,,,,,
  28/05/1893,   49 52 N,  135 05 W,48.1,-122.8,from port townsend wash to unalaska,            port townsend,north pacific,,
  29/05/1893,,,,,,,,,
  29/05/1893,   50 31 N,  137 43 W,48.1,-122.8,from port townsend wash to unalaska,            port townsend,north pacific,,
  30/05/1893,,,,,,,,,
  30/05/1893,   51 06 N,  142 28 W,48.1,-122.8,                     noon,            port townsend,north pacific,,
  31/05/1893,,,,,,,,,
  31/05/1893,,,48.1,-122.8,at sea on passage from port townsed wash to unalaska,            port townsend,north pacific,,
  31/05/1893,,,,,,,,,
  31/05/1893,   51 54 N,  142 44 W,48.1,-122.8,                     noon,            port townsend,north pacific,,
  01/06/1893,,,,,,,,,
  01/06/1893,   52 14 N,  146 16 W,48.1,-122.8,                      8pm,            port townsend,north pacific,,
  02/06/1893,,,,,,,,,
  02/06/1893,   53 02 N,  152 21 W,48.1,-122.8,                     noon,            port townsend,north pacific,,
  03/06/1893,,,,,,,,,
  03/06/1893,   53 40 N,    155 21,48.1,-122.8,from port townsend wash to unalaska,            port townsend,north pacific,,
  04/06/1893,,,,,,,,,
  04/06/1893,   53 41 N,  161 01 W,48.1,-122.8,from port townsend wash to unalaska,            port townsend,north pacific,,
  05/06/1893,,,,,,,,,
  05/06/1893,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  06/06/1893,,,,,,,,,
  06/06/1893,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  07/06/1893,,,,,,,,,
  07/06/1893,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  08/06/1893,,,,,,,,,
  08/06/1893,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  09/06/1893,,,,,,,,,
  09/06/1893,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  10/06/1893,,,,,,,,,
  10/06/1893,,,53.9,-166.5,      dutch harbor alaska,             dutch harbor,,,
  11/06/1893,,,,,,,,,
  11/06/1893,   54 25 N,  167 08 W,55,166.3,                      8pm,                  behring,,,
  12/06/1893,,,,,,,,,
  12/06/1893,   56 14 N,  169 52 W,55,166.3,              behring sea,                  behring,,,
  13/06/1893,,,,,,,,,
  13/06/1893,   58 47 N,  172 53 W,55,166.3,              behring sea,                  behring,,,
  14/06/1893,,,,,,,,,
  14/06/1893,   61 25 N,  174 30 W,55,166.3,              behring sea,                  behring,,,
  15/06/1893,,,,,,,,,
  15/06/1893,   64 10 N,  173 35 W,55,166.3,              behring sea,                  behring,,,
  16/06/1893,,,64.4,-173.3,               plover bay,               plover bay,providence bay,64 25 00N,173 24 00W
  16/06/1893,   64 13 N,  173 19 W,55,-162.2,        bald cape siberia,                bold cape,providence bay,,
  17/06/1893,,,43.7,7.2,       st lawrence island,                     nice,st lawrence island,63 24N,170 10W
  17/06/1893,   64 17 N,  172 56 W,64.4,-173.3,at sea on passage from st lawrence id to plover bay,               plover bay,,,
  18/06/1893,,,,,,,,,
  18/06/1893,   64 33 N,  174 42 W,64.4,-173.3,bald head plover bay siberia,              reyd plover,,,
  19/06/1893,,,,,,,,,
  19/06/1893,   64 49 N,  171 42 W,64.4,-172.2,south side of indian point siberia,             indian point,,,
  20/06/1893,,,65.7,-171.1,south head st lawrence bay,          st lawrence bay,,,
  20/06/1893,,,65.7,-171.1,at anchor south side of south head st lawrence bay siberia,          st lawrence bay,,,
  21/06/1893,,,,,,,,,
  21/06/1893,,,65,-168.1,             kings island,            king's island,,,
  22/06/1893,,,,,,,,,
  22/06/1893,,,65,-168.1,             kings island,            king's island,,,
  22/06/1893,,,,,,,,,
  22/06/1893,,,65,-168.1,             kings island,            king's island,,,
  22/06/1893,,,,,,,,,
  22/06/1893,,,65.2,-166.7,at anchor outside port clarence alaska,           port clearance,,,
  23/06/1893,,,,,port clarence reindeer station,,,,
  23/06/1893,,,,,at anchor port clarence raindeer station alaska,,,,
  24/06/1893,,,,,,,,,
