  01/01/1894,        NA,        NA_2,37.8,-122.4,        san francisco cal,        san francisco bay,h,i,j
  26/10/1893,,,57.1,-170.3,at anchor off village st paul island bering sea,           st paul island,,,
  27/10/1893,,,,,,,,,
  27/10/1893,,,57.1,-170.3,at anchor off village st paul island bering sea,           st paul island,,,
  28/10/1893,,,,,,,,,
  28/10/1893,,,55,166.3,at anchor off village st george island alaska,         st george island,,,
  29/10/1893,,,57.1,-170.3,   off village st paul id,                  st paul,,,
  29/10/1893,,,56.6,-169.6,at anchor off village st george island alaska,         st george island,,,
  30/10/1893,,,,,,,,,
  30/10/1893,,,56.6,-169.6,at anchor off village st george island alaska,         st george island,,,
  31/10/1893,,,,,,,,,
  31/10/1893,,,56.6,-169.6,at anchor off village st george island alaska,         st george island,,,
  31/10/1893,,,57.1,-170.3,    sw bay st paul island,           st paul island,,,
  31/10/1893,   56 04 N,  169 14 W,57.1,-170.3,sw anchorage st paul island bering sea,           st paul island,,,
  01/11/1893,,,,,,,,,
  01/11/1893,   53 52 N,  164 41 W,54,-166.7,        at sea bering sea,            cape cheerful,north pacific,,
  02/11/1893,,,,,,,,,
  02/11/1893,   52 34 N,  161 32 W,55,-1.5,                     noon,                      tic,north pacific,,
  03/11/1893,,,,,,,,,
  03/11/1893,   50 48 N,  156 19 W,55,-1.5,                     noon,                      tic,north pacific,,
  04/11/1893,,,,,,,,,
  04/11/1893,   49 10 N,  151 33 W,55,-1.5,                     noon,                      tic,north pacific,,
  05/11/1893,,,,,,,,,
  05/11/1893,   47 12 N,  146 53 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  06/11/1893,,,,,,,,,
  06/11/1893,   46 07 N,  141 58 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  07/11/1893,,,,,,,,,
  07/11/1893,   43 59 N,  136 33 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  08/11/1893,,,,,,,,,
  08/11/1893,   42 18 N,  132 49 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  09/11/1893,,,,,,,,,
  09/11/1893,   41 02 N,  128 50 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  10/11/1893,,,,,,,,,
  10/11/1893,   39 03 N,  125 28 W,55,-1.5,     at sea pacific ocean,                      tic,north pacific,,
  11/11/1893,,,,,,,,,
  11/11/1893,,,37.8,-122.4,at anchor off falsow st san francisco cal,        san francisco bay,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  12/11/1893,,,,,,,,,
  11/02/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  12/02/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  13/02/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  14/02/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  15/02/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  16/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  20/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  21/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  22/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  23/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  24/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  25/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  27/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  28/02/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  01/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  03/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  04/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  07/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  08/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  09/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  11/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  12/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  13/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  15/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  15/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  20/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  21/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  22/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  23/03/1894,,,37.8,-122.4,on dry dock union iron works san francisco cal,        san francisco bay,,,
  24/03/1894,,,37.8,-122.4,on dry dock union iron works san francisco cal,        san francisco bay,,,
  25/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  27/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  28/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  29/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  30/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  31/03/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  01/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  03/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  04/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  07/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  08/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  09/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  11/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  12/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  13/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  15/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  20/04/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  15/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  20/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  21/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  22/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  23/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  24/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  25/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  27/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  28/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  29/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  30/11/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  01/12/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/12/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  03/12/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  04/12/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/12/1894,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  07/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  08/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  09/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  10/12/1894,,,37.8,-122.3,            sansalito cal,                sausalito,,,
  11/12/1894,,,37.8,-122.3,            sansalito cal,                sausalito,,,
  12/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  13/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  14/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  15/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  16/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  17/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  18/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  19/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  20/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  21/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  22/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  23/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  24/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  25/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  26/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  27/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  28/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  29/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  30/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  31/12/1894,,,37.8,-122.3,            sausalito cal,                sausalito,,,
