  01/01/1886,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/01/1886,,,,,,,,,
  01/01/1886,,,,,,,,,
  01/01/1886,,,,,,,,,
  01/01/1886,,,,,,,,,
  01/01/1886,,,,,,,,,
  01/01/1886,,,,,,,,,
  01/01/1886,,,,,,,,,
  01/01/1886,,,,,,,,,
  01/01/1886,,,,,,,,,
  01/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  01/01/1886,,,,,,,,,
  01/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  02/01/1886,,,,,,,,,
  02/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  03/01/1886,,,,,,,,,
  03/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  04/01/1886,,,,,,,,,
  04/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  05/01/1886,,,,,,,,,
  05/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  06/01/1886,,,,,,,,,
  06/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  07/01/1886,,,,,,,,,
  07/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  08/01/1886,,,,,,,,,
  08/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  09/01/1886,,,,,,,,,
  09/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  10/01/1886,,,,,,,,,
  10/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  11/01/1886,,,,,,,,,
  11/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  12/01/1886,,,,,,,,,
  12/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  13/01/1886,,,,,,,,,
  13/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
   14/1/1886,,,,,,,,,
   14/1/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  15/01/1886,,,,,,,,,
  15/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  16/01/1886,,,,,,,,,
  16/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
   17/1/1886,,,,,,,,,
   17/1/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  18/01/1886,,,,,,,,,
  18/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  19/01/1886,,,,,,,,,
  19/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  20/01/1886,,,,,,,,,
  20/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
  21/01/1886,,,,,,,,,
  21/01/1886,,,38.9,-77,  navy yard washington dc,            washington dc,,,
