  14/07/1901,        NA,        NA_2,48.1,-122.8,            port townsend,            port townsend_2,h,i,j
  30/08/1901,,,63.5,-162,        st michael alaska,               st michael,,,
  31/08/1901,,,,,,,,,
  31/08/1901,,,63.5,-162,        st michael alaska,               st michael,,,
  01/09/1901,,,,,,,,,
  01/09/1901,,,63.5,-162,        st michael alaska,               st michael,,,
  02/09/1901,,,,,,,,,
  02/09/1901,,,63.5,-162,        st michael alaska,               st michael,,,
  03/09/1901,,,,,,,,,
  03/09/1901,,,63.5,-162,        st michael alaska,               st michael,,,
  04/09/1901,,,,,,,,,
  04/09/1901,,,63.5,-162,        st michael alaska,               st michael,,,
  05/09/1901,,,,,,,,,
  05/09/1901,,,63.5,-162,        st michael alaska,               st michael,,,
  06/09/1901,,,,,,,,,
  06/09/1901,,,63.5,-162,        st michael alaska,               st michael,,,
  07/09/1901,,,,,,,,,
  07/09/1901,,,63.5,-162,        st michael alaska,               st michael,,,
  08/09/1901,,,,,,,,,
  08/09/1901,,,22.4,114.2,carolyn island golovnin bay,                     tolo,golovnin bay,64.41556N,162.95917W
  09/09/1901,,,15.5,73.9,              golavin bay,                      goa,golovnin bay,,
  09/09/1901,,,,,              nome alaska,,,,
  10/09/1901,,,,,,,,,
  10/09/1901,,,,,              nome alaska,,,,
  11/09/1901,,,,,              nome alaska,,,,
  11/09/1901,,,32.2,119.3,     sledge island alaska,              deer island,sledge island,64 29 9.02N,166 12 35.12W
  12/09/1901,,,,,,,,,
  12/09/1901,,,4,9.7,              nome alaska,                    duala,nome alaska,,
  13/09/1901,,,22.6,59.5,                  suirock,                      sur,nome alaska,,
  13/09/1901,,,,,              nome alaska,,nome alaska,,
  14/09/1901,,,,,,,,,
  14/09/1901,,,,,              nome alaska,,,,
  15/09/1901,,,,,,,,,
  15/09/1901,,,,,              nome alaska,,,,
  16/09/1901,,,,,,,,,
  16/09/1901,,,53.4,-3,     cape prince of wales,                     alex,cape prince of wales,65 38 24N,168 7 12W
  17/09/1901,,,,,,,,,
  17/09/1901,,,66.2,-169.8,           whalen siberia,                   whalen,uelen,66 09 34N,169 48 33W
  18/09/1901,,,,,,,,,
  18/09/1901,,,53.4,-3,     cape prince of wales,                     alex,cape prince of wales,,
  19/09/1901,,,,,,,,,
  19/09/1901,,,22.2,113.9,  teller reindeer station,                     taio,teller alaska,65 15 26N,166 21 14W
  20/09/1901,,,,,,,,,
  20/09/1901,     64 52,    171 11,55,166.3,        at sea bering sea,                  behring,,,
  21/09/1901,,,,,,,,,
  22/09/1901,,,43.7,7.2,       st lawrence island,                     nice,st lawrence island,,
  22/09/1901,,,,,,,,,
  22/09/1901,,,43.7,7.2,       st lawrence island,                     nice,st lawrence island,,
  23/09/1901,,,,,,,,,
  23/09/1901,,,43.7,7.2,       st lawrence island,                     nice,st lawrence island,,
  24/09/1901,,,,,,,,,
  24/09/1901,,,43.7,7.2,       st lawrence island,                     nice,st lawrence island,,
  25/09/1901,,,,,,,,,
  25/09/1901,     61 38,    172 24,55,166.3,        at sea bering sea,                  behring,,,
  26/09/1901,,,,,,,,,
  26/09/1901,     60 44,    172 30,55,166.3,        at sea bering sea,                  behring,,,
  27/09/1901,,,,,,,,,
  27/09/1901,,,55,166.3,glory of russia cape wsw 10 miles,                  behring,glory of russia cape,60 35 56N,172 56 34W
  28/09/1901,,,,,,,,,
  28/09/1901,,,64.6,-172.6,              hall island,             small island,hall island alaska,60 39 50N,173 05 46W
  29/09/1901,,,,,,,,,
  29/09/1901,   57 42 N,  171 00 W,55,166.3,        at sea bering sea,                  behring,,,
  30/09/1901,,,,,,,,,
  30/09/1901,     56 14,  169 11 W,55,166.3,        at sea bering sea,                  behring,,,
  01/10/1901,,,,,,,,,
  01/10/1901,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  02/10/1901,,,,,,,,,
  02/10/1901,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  03/10/1901,,,,,,,,,
  03/10/1901,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  04/10/1901,,,,,,,,,
  04/10/1901,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  05/10/1901,,,,,,,,,
  05/10/1901,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  06/10/1901,,,,,,,,,
  06/10/1901,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  07/10/1901,,,,,,,,,
  07/10/1901,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  08/10/1901,,,,,,,,,
  08/10/1901,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  09/10/1901,,,,,,,,,
  09/10/1901,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  10/10/1901,,,,,,,,,
  10/10/1901,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  11/10/1901,,,,,,,,,
