  26/03/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  27/03/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  28/03/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  29/03/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  30/03/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  31/03/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  01/04/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  02/04/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  03/04/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  04/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  07/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  08/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  09/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  11/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  12/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  13/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  15/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  20/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  21/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  22/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  23/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  24/04/1893,180,120,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  25/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  27/04/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  28/04/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  29/04/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  30/04/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  01/05/1893,,,37.8,-122.3,            sausalito cal,                sausalito,,,
  01/05/1893,,,,,,,,,
  13/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  14/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  15/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  16/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  17/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  18/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  20/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  21/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  22/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  23/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  24/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  25/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  26/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  27/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  28/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  29/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  30/11/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  01/12/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  02/12/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  03/12/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  04/12/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  05/12/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  06/12/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  07/12/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  08/12/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  09/12/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  10/12/1893,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
