  12/03/1869,   24 06 N,  107 36 W,30.5,117.1,at sea making passage to tapolobampo,                   anking,gulf of california,,
  13/03/1869,,,,,,,,,
  13/03/1869,   24 21 N,  108 20 W,30.5,117.1,at sea making passage to tapolobampo,                   anking,gulf of california,,
  14/03/1869,,,,,,,,,
  14/03/1869,   24 46 N,  108 26 W,30.5,117.1,at sea making passage to tapolobampo,                   anking,gulf of california,,
  15/03/1869,,,,,,,,,
  15/03/1869,   25 10 N,  109 07 W,30.5,117.1,at sea making passage to tapolobampo,                   anking,topolobampo,25 36 20N,109 03 0W
  16/03/1869,,,,,,,,,
  16/03/1869,   25 22 N,  109 41 W,30.5,117.1,at sea making passage to tapolobampo,                   anking,topolobampo,,
  17/03/1869,,,,,,,,,
  17/03/1869,   25 37 N,  109 28 W,42.2,41.7,at anchor off san ignacio point,                     poti,isla san ignacio sinaloa,25.41614,-108.868763
  18/03/1869,,,,,,,,,
  18/03/1869,,,42.2,41.7,at anchor off san ignacio point,                     poti,isla san ignacio sinaloa,,
  19/03/1869,,,,,,,,,
  19/03/1869,,,42.2,41.7,at anchor off san ignacio point,                     poti,isla san ignacio sinaloa,,
  20/03/1869,,,,,,,,,
  20/03/1869,,,22.3,114,          off tapolobampo,                    taipo,topolobampo,,
  21/03/1869,,,,,,,,,
  21/03/1869,,,22.3,114,          off tapolobampo,                    taipo,topolobampo,,
  22/03/1869,,,,,,,,,
  22/03/1869,,,22.3,114,          off tapolobampo,                    taipo,topolobampo,,
  23/03/1869,,,,,,,,,
  23/03/1869,,,22.3,114,          off tapolobampo,                    taipo,topolobampo,,
  24/03/1869,,,,,,,,,
  24/03/1869,,,22.3,114,          off tapolobampo,                    taipo,topolobampo,,
  25/03/1869,,,,,,,,,
  25/03/1869,   24 18 N,  108 33 W,30.5,117.1,at sea making passage to mazatlan,                   anking,gulf of california,,
  26/03/1869,,,,,,,,,
  26/03/1869,   23 40 N,  107 42 W,30.5,117.1,at sea making passage to mazatlan,                   anking,gulf of california,,
  27/03/1869,,,,,,,,,
  27/03/1869,   23 17 N,  107 07 W,30.5,117.1,at sea making passage to mazatlan,                   anking,gulf of california,,
  28/03/1869,,,,,,,,,
  28/03/1869,,,11.4,43.5,             off mazatlan,                    zaila,mazatlan,,
   29/3/1869,,,,,,,,,
   29/3/1869,,,11.4,43.5,             off mazatlan,                    zaila,mazatlan,,
  30/03/1869,,,,,,,,,
  30/03/1869,,,11.4,43.5,             off mazatlan,                    zaila,mazatlan,,
  31/03/1869,,,,,,,,,
  31/03/1869,,,11.4,43.5,             off mazatlan,                    zaila,mazatlan,,
  01/04/1869,,,,,,,,,
  01/04/1869,,,11.4,43.5,   at anchor off mazatlan,                    zaila,mazatlan,,
  02/04/1869,,,,,,,,,
  02/04/1869,,,11.4,43.5,   at anchor off mazatlan,                    zaila,mazatlan,,
  03/04/1869,,,,,,,,,
  03/04/1869,,,11.4,43.5,   at anchor off mazatlan,                    zaila,mazatlan,,
  04/04/1869,,,,,,,,,
  04/04/1869,,,11.4,43.5,   at anchor off mazatlan,                    zaila,mazatlan,,
  05/04/1869,,,,,,,,,
  05/04/1869,,,11.4,43.5,   at anchor off mazatlan,                    zaila,mazatlan,,
  06/04/1869,,,,,,,,,
  06/04/1869,   22 39 N,  106 45 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  07/04/1869,,,,,,,,,
  07/04/1869,   21 58 N,  107 26 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  08/04/1869,,,,,,,,,
  08/04/1869,   21 59 N,  107 16 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  09/04/1869,,,,,,,,,
  09/04/1869,   21 22 N,  107 14 W,,,,,,,
  10/04/1869,,,,,,,,,
  10/04/1869,   20 31 N,  107 11 W,,,,,,,
  11/04/1869,,,,,,,,,
  11/04/1869,   19 24 N,  106 32 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  12/04/1869,,,,,,,,,
  12/04/1869,   18 33 N,  105 38 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  13/04/1869,,,,,,,,,
  13/04/1869,,,9,-79.5,at sea making passage to panama,                   panama,colima,19 6N,104 39W
  14/04/1869,,,,,,,acapulco,16 51 49N,99 52 57W
  14/04/1869,,,9,-79.5,at sea making passage to panama,                   panama,colima,,
  15/04/1869,,,,,,,,,
  15/04/1869,,,9,-79.5,at sea making passage to panama,                   panama,colima,,
  16/04/1869,,,,,,,,,
  16/04/1869,   14 33 N,  101 21 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  17/04/1869,,,,,,,,,
  17/04/1869,   14 12 N,  100 44 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  18/04/1869,,,,,,,,,
  18/04/1869,   13 48 N,   99 59 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  19/04/1869,,,,,,,,,
  19/04/1869,   13 37 N,   99 23 W,,,,,,,
  20/04/1869,,,,,,,,,
  20/04/1869,   13 36 N,   98 53 W,,,,,,,
  21/04/1869,,,,,,,,,
  21/04/1869,   13 14 N,   97 53 W,,,,,,,
  22/04/1869,,,,,,,,,
  22/04/1869,   12 12 N,   97 36 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  23/04/1869,,,,,,,,,
  23/04/1869,   11 56 N,   97 27 W,,,,,,,
  24/04/1869,,,,,,,,,
  24/04/1869,   11 38 N,   97 15 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  25/04/1869,,,,,,,,,
  25/04/1869,   11 01 N,   96 33 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  26/04/1869,,,,,,,,,
  26/04/1869,   09 57 N,   96 13 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  27/04/1869,,,,,,,,,
  27/04/1869,   10 20 N,   95 11 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  28/04/1869,,,,,,,,,
  28/04/1869,   09 23 N,   95 39 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  29/04/1869,,,,,,,,,
  29/04/1869,   08 46 N,   95 14 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  30/04/1869,,,,,,,,,
  30/04/1869,   08 54 N,   94 31 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  01/05/1869,,,,,,,,,
  01/05/1869,   08 30 N,   94 17 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  02/05/1869,,,,,,,,,
  02/05/1869,   08 07 N,   94 33 W,9,-79.5,at sea making passage for panama,                   panama,north pacific,,
  03/05/1869,,,,,,,,,
  03/05/1869,   08 35 N,   94 19 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  04/05/1869,,,,,,,,,
  04/05/1869,   08 53 N,   94 01 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  05/05/1869,,,,,,,,,
  05/05/1869,   08 40 N,   93 50 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  06/05/1869,,,,,,,,,
  06/05/1869,   08 43 N,   93 50 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  07/05/1869,,,,,,,,,
  07/05/1869,   08 31 N,   93 27 W,,,                       dr,,,,
  08/05/1869,,,,,,,,,
  08/05/1869,   08 13 N,   92 17 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  09/05/1869,,,,,,,,,
  09/05/1869,   07 47 N,   89 50 W,,,,,,,
  10/05/1869,,,,,,,,,
  10/05/1869,   07 27 N,   87 28 W,,,,,,,
  11/05/1869,,,,,,,,,
  11/05/1869,   07 10 N,   86 05 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
  12/05/1869,,,,,,,,,
  12/05/1869,,,9,-79.5,at sea making passage to panama,                   panama,cocos island,5 31 08N,87 04 18W
  13/05/1869,,,,,,,,,
  13/05/1869,   07 06 N,   83 20 W,9,-79.5,at sea making passage to panama,                   panama,north pacific,,
