  01/01/1928,        NA,        NA_2,57,-144,through the gulf of alaska,           gulf of alaska,h,i,j
  04/06/1928,   54 28 N,  163 56 W,52.2,-128.3,                   at sea,               idle point,cape pankof,54 39 31N,163 04 11W
  05/06/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  05/06/1928,   54 38 N,  158 57 W,,,                   at sea,,,,
  06/06/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  06/06/1928,   56 20 N,  153 41 W,,,                   at sea,,,,
  07/06/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  07/06/1928,   59 17 N,  149 39 W,60.1,-149.4,            seward alaska,                   seward,,,
  08/06/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  08/06/1928,,,60.1,-149.4,            seward alaska,                   seward,,,
  09/06/1928,,,60.1,-149.4,            seward alaska,                   seward,,,
  09/06/1928,,,60.1,-149.4,            seward alaska,                   seward,,,
  10/06/1928,,,60.1,-149.4,            seward alaska,                   seward,,,
  10/06/1928,,,60.1,-149.4,            seward alaska,                   seward,,,
  11/06/1928,,,60,-149.4,         resurrection bay,         resurrection bay,,,
  11/06/1928,,,60.1,-149.4,            seward alaska,                   seward,,,
  12/06/1928,,,60,-149.4,            seward alaska,               seal rocks,,,
  12/06/1928,   58 32 N,  151 08 W,55.6,13,          off marmot cape,                    malmo,gulf of alaska,,
  13/06/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  13/06/1928,   56 58 N,  155 38 W,57.8,-152.4,            kodiak alaska,                   kodiak,,,
  14/06/1928,,,57.4,-154.9,  through shelikof strait,          shelikof strait,,,
  14/06/1928,   55 25 N,  159 26 W,42.2,41.7,        sand point alaska,                     poti,sand point alaska,55.336593N,160.493234W
  15/06/1928,,,56.2,-3,through the north pacific ocean,                    forth,sand point alaska,,
  15/06/1928,,,54.2,-164.7,   humboldt harbor alaska,              tolo harbor,sand point alaska,,
  16/06/1928,,,56.2,-3,through unga strait and the north pacific ocean,              lost harbor,unga strait,,
  16/06/1928,,,54.8,-163.4,        false pass alaska,               false pass,,,
  17/06/1928,,,22.6,-162.3,out isanotski strait and ikatan bay,                      sur,ikatan bay,54.79N,163.29W
  17/06/1928,   54 29 N,  163 57 W,42.2,41.7,             sanak alaska,                     poti,sanak islands,54 24 35N,162 36 04W
  18/06/1928,,,53.9,-166.5,through unimak pass and bering sea,                     poti,unimak pass,54 20 01N,164 55 14W
  18/06/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  19/06/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  19/06/1928,,,53.9,-165.8,            akutan alaska,             unalaska bay,akutan alaska,,
  20/06/1928,,,54.1,-165.8,            akutan harbor,                   akutan,akutan alaska,,
  20/06/1928,   54 13 N,  164 10 W,55,-1.5,       tigalda bay alaska,                      tic,tigalda island,54 05 48N,165 03 27W
  21/06/1928,,,56.2,-3,through the north pacific ocean,                    forth,sanak islands,,
  21/06/1928,,,42.2,-3,at sea north pacific ocean,                     poti,sanak islands,,
  22/06/1928,,,55.3,-160.4,     through popof strait,                    popof,sand point alaska,,
  22/06/1928,,,,,,,,,
  22/06/1928,,,55.6,-159.6,    off mitrofania island,           gulf of alaska,mitrofania passage,,
  22/06/1928,   56 35 N,  156 13 W,56.2,-3,at sea north pacific ocean,                    forth,semidi islands,56 03 43N,156 41 54W
  23/06/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  23/06/1928,,,57,-127.9,    at sea gulf of alaska,              clark point,gulf of alaska,,
  24/06/1928,,,57.4,-144,  through shelikof strait,                   barrow,shelikof strait,57 52 54N,154 25 31W
  24/06/1928,,,,,,,,,
  24/06/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  24/06/1928,   59 06 N,  150 07 W,49.1,-135.8,      off chiswell island,             ellis island,chiswell islands,59 36 49N,149 35 59W
  25/06/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  25/06/1928,,,,,,,,,
  25/06/1928,,,60,-149.4,  out of resurrection bay,         resurrection bay,,,
  25/06/1928,,,42.2,41.7,           off bomb point,                     poti,orca bay alaska,60 34 43N,146 12 23W
  26/06/1928,,,60.5,-145.9,         through orca bay,               orca inlet,,,
  26/06/1928,   58 49 N,  152 40 W,57,-144,    at sea gulf of alaska,           gulf of alaska,,,
  27/06/1928,,,57.4,-154.9,  through shelikof strait,          shelikof strait,,,
  27/06/1928,,,54,-130.8,           off seal rocks,               seal rocks,shelikof strait,,
  28/06/1928,,,57,-149.4,through the gulf of alaska,           gulf of alaska,,,
  28/06/1928,,,60.1,-149.4,            seward alaska,                   seward,,,
  29/06/1928,,,60.1,-149.4,            seward alaska,                   seward,,,
  29/06/1928,,,60.1,-149.4,            seward alaska,                   seward,,,
  30/06/1928,,,60,-149.4,through the gulf of alaska,         resurrection bay,,,
  30/06/1928,,,,,,,,,
  30/06/1928,,,,,,,,,
  30/06/1928,,,,,,,,,
  30/06/1928,,,,,,,,,
  30/06/1928,,,,,,,,,
  30/06/1928,,,,,,,,,
  30/06/1928,,,,,,,,,
  30/06/1928,,,,,,,,,
  30/06/1928,,,,,,,,,
  30/06/1928,,,,,,,,,
  30/06/1928,   58 11 N,  153 41 W,57.6,-154.3,            off cape uyak,                cape uyak,,,
  01/07/1928,,,57.4,-154.9,  through shelikof strait,          shelikof strait,,,
  01/07/1928,   54 57 N,  158 30 W,56.2,-3,at sea north pacific ocean,                    forth,north pacific,,
  02/07/1928,,,56.2,-160.6,through the gulf of alaska,           gulf of alaska,,,
  02/07/1928,,,,,,,,,
  02/07/1928,,,,,,,,,
  02/07/1928,   54 14 N,  164 34 W,54.4,-164.7,            off seal cape,                seal cape,,,
  03/07/1928,,,56.2,-3,through the north pacific ocean,                    forth,unimak pass,,
  03/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  04/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  04/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  05/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  05/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  06/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  06/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  07/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  07/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  08/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  08/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  09/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  09/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  10/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  10/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  11/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  11/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  12/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  12/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  13/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  13/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  14/07/1928,,,54.1,-165.8,through akun strait and akutan harbor,             unalaska bay,akutan alaska,,
  14/07/1928,,,54.1,-165.8,            akutan alaska,                   akutan,,,
  15/07/1928,,,53.9,-166.5,     akutan harbor alaska,               akutan bay,,,
  15/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  16/07/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  16/07/1928,   54 35 N,  167 14 W,54,-166.7,                 unalaska,            cape cheerful,,,
  17/07/1928,,,55,-166.3,   through the bering sea,                  behring,,,
  17/07/1928,   56 52 N,  169 19 W,57,-170.4,         off otter island,             otter island,,,
  18/07/1928,,,57.1,-170.3,   through the bering sea,           st paul island,,,
  18/07/1928,   56 46 N,  169 44 W,56.6,-169.6,garden cove st george island,         st george island,,,
  19/07/1928,,,56.6,-169.6,cascade point bearing 238 true,         st george island,,,
  19/07/1928,,,56.6,-169.6,garden cove st george island,         st george island,,,
  20/07/1928,,,56.6,-169.6,garden cove st george island alaska,         st george island,,,
  20/07/1928,   55 35 N,  168 19 W,56.6,-169.6,north anchorage st george island,         st george island,,,
  21/07/1928,,,56.6,-169.6,   through the bering sea,         st george island,,,
  21/07/1928,,,55,-166.3,  malga bay unalga island,                  behring,unalga island,53 58 35N,166 08 39W
  22/07/1928,,,54.1,-165.8,   through the bering sea,                   akutan,,,
  22/07/1928,   55 25 N,  163 34 W,56.2,-3,      north pacific ocean,                    forth,amak island,55 25 06N,163 08 38W
  23/07/1928,,,55,-166.3,   through the bering sea,                  behring,bristol bay,57 19 35N,159 49 29W
  23/07/1928,   57 32 N,  158 36 W,36.1,-5.3,        egegik bay alaska,                      gib,egegik bay,58 11N,157 28W
  24/07/1928,,,47.7,-52.7,      through bristol bay,                  tor bay,bristol bay,,
  24/07/1928,,,36.1,-5.3,        egegik bay alaska,                      gib,egegik bay,,
  25/07/1928,,,47.7,-52.7,through bristol bay and kvichak bay,                  tor bay,kvichak bay,58 26N,157 54W
  25/07/1928,,,29.5,35,       kvichak bay alaska,                    akaba,kvichak bay,,
  26/07/1928,,,29.5,35,       kvichak bay alaska,                    akaba,kvichak bay,,
  26/07/1928,   58 02 N,  158 07 W,36.1,-5.3,        off egegik alaska,                      gib,egegik bay,,
  27/07/1928,,,47.7,-52.7,      through bristol bay,                  tor bay,bristol bay,,
  27/07/1928,   56 19 N,  161 40 W,47.7,-52.7,              bristol bay,                  tor bay,bristol bay,,
  28/07/1928,,,55,-166.3,   through the bering sea,                  behring,,,
  28/07/1928,   56 49 N,  167 44 W,55,-166.3,               bering sea,                  behring,,,
  29/07/1928,,,55,-166.3,      thru the bering sea,                  behring,,,
  29/07/1928,,,56.6,-169.6,north anchorage st george island,         st george island,,,
  30/07/1928,,,56.6,-169.6,north anchorage st george island,         st george island,,,
  30/07/1928,   56 02 N,  168 44 W,56.6,-169.6,north anchorage st george island,         st george island,,,
  31/07/1928,,,56.6,-169.6,out of north anchorage st george island,         st george island,,,
  31/07/1928,,,,,,,,,
  31/07/1928,,,,,,,,,
  31/07/1928,,,,,,,,,
  31/07/1928,,,,,,,,,
  31/07/1928,,,,,,,,,
  31/07/1928,,,,,,,,,
  31/07/1928,,,,,,,,,
  31/07/1928,,,,,,,,,
  31/07/1928,   54 11 N,  166 57 W,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  01/08/1928,,,55,-166.3,   through the bering sea,                  behring,,,
  01/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  02/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  02/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  03/08/1928,,,53.7,-167,   through the bering sea,             makushin bay,,,
  03/08/1928,,,53.7,-167,          makushin alaska,             makushin bay,,,
  04/08/1928,,,53.4,-167.5,      out of makushin bay,             makushin bay,,,
  04/08/1928,   53 05 N,  170 17 W,53,-168.9,          nikolski alaska,             nikolski bay,,,
  05/08/1928,,,55,-166.3,       through bering sea,                  behring,islands of four mountains,52 52 33N,169 47 42W
  05/08/1928,   52 17 N,  173 40 W,55,-166.3,              atka alaska,                  behring,atka island,52 08 17N,174 26 43W
  06/08/1928,,,43.1,16.7,   through the bering sea,                     hvar,andreanof islands,51 52 22N,176 11 44W
  06/08/1928,   52 40 N,  176 57 W,55,-166.3,        at sea bering sea,                  behring,adak island,51.78N,176.64W
  07/08/1928,,,55,-166.3,   through the bering sea,                  behring,andreanof islands,,
  07/08/1928,   52 54 N,  177 10 E,55,-166.3,        at sea bering sea,                  behring,rat islands,51 47 17N,178 18 10E
  08/08/1928,,,55,-166.3,   through the bering sea,                  behring,rat islands,,
  08/08/1928,   53 00 N,  173 51 E,30.7,117.5,  chichagof harbor alaska,                  chichau,chichagof harbor,52 55 48.24N,173 14 41.21E
  09/08/1928,,,55,-166.3,   through the bering sea,                  behring,,,
  09/08/1928,,,,,,,,,
  09/08/1928,,,55,-166.3,   through the bering sea,                  chichau,rat islands,,
  09/08/1928,   53 10 N,  177 56 E,55,-166.3,        at sea bering sea,                  behring,rat islands,,
  10/08/1928,,,55,-166.3,   through the bering sea,                  behring,rat islands,,
  10/08/1928,   53 23 N,  176 00 W,55,-166.3,        at sea bering sea,                  behring,andreanof islands,,
  11/08/1928,,,55,-166.3,   through the bering sea,                  behring,andreanof islands,,
  11/08/1928,   53 23 N,  170 08 W,55,-166.3,       at sea  bering sea,                  behring,islands of four mountains,,
  12/08/1928,,,55,-166.3,   through the bering sea,                  behring,islands of four mountains,,
  12/08/1928,,,54,-166.7,        off cape cheerful,            cape cheerful,,,
  13/08/1928,,,55,-166.3,   through the bering sea,                  behring,unalaska bay,,
  13/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  14/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  14/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  15/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  15/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  16/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  16/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  17/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  17/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  18/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  18/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  19/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  19/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  20/08/1928,,,53.9,-166.5,          unalaska alaska,             unalaska bay,,,
  20/08/1928,   54 02 N,  163 49 W,53.9,-166.5,          unalaska alaska,             unalaska bay,cape pankof,,
  21/08/1928,,,53.9,-3,through the north pacific ocean,                    forth,cape pankof,,
  21/08/1928,   54 38 N,  159 22 W,56.2,-3,at sea north pacific ocean,                    forth,shumagin islands,55 04 00N,160 03 00W
  22/08/1928,,,56.2,-3,through the north pacific ocean,                    forth,shumagin islands,,
  22/08/1928,   56 24 N,  153 47 W,56.2,-3,at sea north pacific ocean,                    forth,kodiak island,57 28N,153 26W
  23/08/1928,,,56.2,-3,through the north pacific ocean,                    forth,kodiak island,,
  23/08/1928,   57 33 N,  151 40 W,56.2,-3,     off hamin reef light,                    forth,kodiak island,,
  24/08/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  24/08/1928,,,64.6,-172.6,          off seal island,             small island,gulf of alaska,,
  25/08/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  25/08/1928,,,,,,,,,
  25/08/1928,,,60.2,-146.6,through orca bay and prince william sound,                 orca bay,,,
  25/08/1928,   59 20 N,  142 56 W,57,-144,   at sea  gulf of alaska,           gulf of alaska,,,
  26/08/1928,,,57,-144,through the gulf of alaska,           gulf of alaska,,,
  26/08/1928,   58 05 N,  137 05 W,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  27/08/1928,,,58.3,-144,through the gulf of alaska,           gulf of alaska,juneau alaska,,
  27/08/1928,,,-22.3,166.4,   government dock juneau,                    nunea,juneau alaska,,
  28/08/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  28/08/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  29/08/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  29/08/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  30/08/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  30/08/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  31/08/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  31/08/1928,,,,,,,,,
  31/08/1928,,,,,,,,,
  31/08/1928,,,,,,,,,
  31/08/1928,,,,,,,,,
  31/08/1928,,,,,,,,,
  31/08/1928,,,,,,,,,
  31/08/1928,,,,,,,,,
  31/08/1928,,,,,,,,,
  31/08/1928,,,,,,,,,
  31/08/1928,,,,,,,,,
  31/08/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  01/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  01/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  02/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  02/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  03/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  03/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  04/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  04/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  05/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  05/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  06/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  06/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  07/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  07/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  08/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  08/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  09/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  09/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  12/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  12/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  17/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  17/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  18/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  18/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  19/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  19/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  20/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  20/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  21/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  21/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  22/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  22/09/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  23/09/1928,,,30.5,173.3, chilkoot barracks alaska,                      fao,lutak alaska,59.330461N,135.626107W
  23/09/1928,,,30.5,47.9, chilkoot barracks alaska,                    basra,lutak alaska,,
  24/09/1928,,,,,            haines alaska,,,,
  24/09/1928,,,30.5,47.9,            haines alaska,                    basra,haines alaska,59 14 2N,135 26 49W
  25/09/1928,,,,,            haines alaska,,,,
  25/09/1928,,,30.5,47.9,chilkoot barracks haines alaska,                    basra,haines alaska,,
  26/09/1928,,,,,            haines alaska,,,,
  26/09/1928,,,30.5,47.9,chilkoot barracks haines alaska,                    basra,haines alaska,,
  27/09/1928,,,,,            haines alaska,,,,
  27/09/1928,,,30.5,47.9,chilkoot barracks haines alaska,                    basra,haines alaska,,
  28/09/1928,,,,,            haines alaska,,,,
  28/09/1928,,,30.5,47.9,chilkoot barracks haines alaska,                    basra,haines alaska,,
  29/09/1928,,,,,            haines alaska,,,,
  29/09/1928,,,30.5,47.9,chilkoot barracks haines alaska,                    basra,haines alaska,,
  30/09/1928,,,,,            haines alaska,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,,,,,,,
  30/09/1928,,,30.5,47.9,chilkoot barracks haines alaska,                    basra,haines alaska,,
  01/10/1928,,,,,,,,,
  01/10/1928,,,,,,,,,
  01/10/1928,,,,,            haines alaska,,,,
  01/10/1928,,,30.5,47.9,chilkoot barracks haines alaska,                    basra,haines alaska,,
  02/10/1928,,,,,            haines alaska,,,,
  02/10/1928,,,30.5,47.9,chilkoot barracks haines alaska,                    basra,haines alaska,,
  03/10/1928,,,-22.3,166.4,        off point st mary,                    nunea,berners bay,58 44 38N,134 58 16W
  03/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  04/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  04/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  05/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  05/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  06/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  06/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  07/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  07/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  08/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  08/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  09/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  09/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  12/10/1928,,,,,,,,,
  12/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  16/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  17/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  17/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  18/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  18/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  19/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  19/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  20/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  20/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  21/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  21/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  22/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  22/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  23/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  23/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  24/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  24/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  25/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  25/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  26/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  26/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  27/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  27/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  28/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  28/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  29/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  29/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  30/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  30/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  31/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,,,,,,,
  31/10/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
