  01/01/1928,        NA,        NA_2,57,-144,through the gulf of alaska,           gulf of alaska,h,i,j
  31/01/1928,,,,,,,,,
  31/01/1928,,,,,,,,,
  31/01/1928,,,,,,,,,
  31/01/1928,,,,,,,,,
  31/01/1928,,,,,,,,,
  31/01/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  01/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  01/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  02/02/1928,,,,,,,,,
  02/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  03/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  03/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  04/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  04/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  05/02/1928,,,,,,,,,
  05/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  06/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  06/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  07/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  07/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  08/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  08/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  09/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  09/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  10/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  11/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  12/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  12/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  13/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  14/02/1928,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  15/02/1928,,,31.5,118.3,        off midway island,                    nunea,stephens passage,,
  15/02/1928,,,56,-134.1,at sea inside passage se alaska,            cape decision,sumner strait,56 23 36N,133 30 36W
  16/02/1928,,,56,-132.6,through sumner strait and clarence strait,          clarence strait,,,
  16/02/1928,,,55.4,-131.7,         ketchikan alaska,                ketchikan,,,
