  01/01/1902,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/01/1902,,,9,-79.5,    panama us of columbia,                   panama,,,
  02/01/1902,,,,,,,,,
  02/01/1902,,,9,-79.5,           panama us of c,                   panama,,,
  03/01/1902,,,,,,,,,
  03/01/1902,,,9,-79.5,           panama us of c,                   panama,,,
  04/01/1901,,,,,,,,,
  04/01/1901,,,9,-79.5,           panama us of c,                   panama,,,
  05/01/1902,,,,,,,,,
  05/01/1902,,,9,-79.5,           panama us of c,                   panama,,,
  06/01/1902,,,,,,,,,
  06/01/1902,,,9,-79.5,           panama us of c,                   panama,,,
  07/01/1902,,,,,,,,,
  07/01/1902,,,9,-79.5,           panama us of c,                   panama,,,
  08/01/1902,,,,,,,,,
  08/01/1902,   07 50 N,   79 40 W,9,-79.5,           panama us of c,                   panama,,,
  09/01/1902,,,,,,,,,
  09/01/1902,,,,,,,,,
  09/01/1902,,,,,,,,,
  09/01/1902,   07 09 N,   81 49 W,9,-79.5,enroute from panama us of c to pichilingue bay,                   panama,north pacific,,
  10/01/1902,,,,,,,,,
  10/01/1902,   09 12 N,   85 13 W,9,-79.5,enroute from panama us of c to pichilingue bay,                   panama,north pacific,,
  11/01/1902,,,,,,,,,
  11/01/1902,   12 06 N,   88 27 W,9,-79.5,enroute from panama us of c to pichilingue bay mexico,                   panama,north pacific,,
  12/01/1902,,,,,,,,,
  12/01/1902,   14 13 N,   92 01 W,9,-79.5,enroute from panama us of c to pichilingue bay mexico,                   panama,north pacific,,
  13/01/1902,,,,,,,,,
  13/01/1902,,,,,,,,,
  13/01/1902,,,,,,,,,
  13/01/1902,   15 50 N,   95 39 W,9,-79.5,enroute from panama us of c to pichilingue bay mexico,                   panama,north pacific,,
  14/01/1902,,,,,,,,,
  14/01/1902,,,,,,,,,
  14/01/1902,,,,,,,,,
  14/01/1902,   16 23 N,   98 50 W,9,-79.5,enroute from panama us of c to pichilingue bay mexico,                   panama,north pacific,,
  15/01/1902,,,,,,,,,
  15/01/1902,   17 57 N,  102 57 W,9,-79.5,enroute from panama us of c to pichilingue bay mexico,                   panama,north pacific,,
  16/01/1902,,,,,,,,,
  16/01/1902,   20 13 N,  106 22 W,9,-79.5,enroute from panama us of c to pichilingue bay mexico,                   panama,north pacific,,
  17/01/1902,,,,,,,,,
  17/01/1902,   22 36 N,  108 17 W,9,-79.5,enroute from panama us of c to pichilingue bay mexico,                   panama,north pacific,,
  18/01/1902,,,,,,,,,
  18/01/1902,,,9,-79.5,enroute from panama us of c to pichilingue bay mexico,                   panama,gulf of california,28 0N,112 0W
  19/01/1902,,,,,,,,,
  19/01/1902,,,38.5,-1.5,from panama us of c to pichilinque bay mexico,                      tic,gulf of california,,
  20/01/1902,,,,,,,,,
  20/01/1902,,,55,-1.5,at anchor at pichilingue bay mexico,                      tic,pichilinque,24 16 34N,110 19 40W
  21/01/1902,,,,,,,,,
  21/01/1902,,,55,-1.5,   off pichilinque mexico,                      tic,pichilinque,,
  22/01/1902,,,,,,,,,
  22/01/1902,   23 57 N,  109 42 W,37.8,-122.4,at pichilingue and enroute to san francisco cal,        san francisco bay,gulf of california,,
  23/01/1902,,,,,,,,,
  23/01/1902,   24 12 N,  111 55 W,37.8,-122.4,enroute from pichilinghue to san francisco california,        san francisco bay,north pacific,,
  24/01/1902,,,,,,,,,
  24/01/1902,   27 07 N,  114 30 W,37.8,-122.4,                      8am,        san francisco bay,north pacific,,
  25/01/1902,,,,,,,,,
  25/01/1902,   30 08 N,  116 32 W,37.8,-122.4,enroute from pichilingue to san francisco cal,        san francisco bay,north pacific,,
  26/01/1902,,,,,,,,,
  26/01/1902,   33 43 N,  118 26 W,37.8,-122.4,                      8pm,        san francisco bay,north pacific,,
  27/01/1902,,,,,,,,,
  27/01/1902,,,,,,,,,
  27/01/1901,,,,,,,,,
  27/01/1901,   35 21 N,  121 30 W,37.8,-122.4,                      8pm,        san francisco bay,north pacific,,
  28/01/1902,,,,,,,,,
  28/01/1902,   37 30 N,  122 37 W,37.8,-122.4,pichilinque to and at san francisco cal,        san francisco bay,north pacific,,
  29/01/1902,,,,,,,,,
  29/01/1902,,,37.8,-122.4,at anchor at san francisco cal,        san francisco bay,,,
  30/01/1902,,,,,,,,,
  30/01/1902,,,37.8,-122.4,at anchor at san francisco cal,            san francisco,,,
  31/01/1902,,,,,,,,,
  31/01/1902,,,37.8,-122.4,        san francisco cal,            san francisco,,,
  01/02/1902,,,,,,,,,
  01/02/1902,,,37.8,-122.4,        san francisco cal,            san francisco,,,
  02/02/1902,,,,,,,,,
  02/02/1902,,,37.8,-122.4,         san franciso cal,            san francisco,,,
  03/02/1902,,,,,,,,,
  03/02/1902,,,37.8,-122.4,         san franciso cal,            san francisco,,,
  04/02/1902,,,,,,,,,
  04/02/1902,,,37.8,-122.4,         san franciso cal,            san francisco,,,
  05/02/1902,,,,,,,,,
  05/02/1902,,,,,,,,,
  05/02/1902,,,,,,,,,
  05/02/1902,,,37.8,-122.4,san francisco bay  enroute to mare island,        san francisco bay,,,
  06/02/1902,,,,,,,,,
  06/02/1902,,,38.1,-122.3,mare island navy yard cal,              mare island,,,
  07/02/1902,,,,,,,,,
  07/02/1902,,,,,,,,,
  07/02/1902,,,,,,,,,
  07/02/1902,,,,,,,,,
  07/02/1902,,,,,,,,,
  07/02/1902,,,,,,,,,
  07/02/1902,,,,,,,,,
  07/02/1902,,,38.1,-122.3,alongside dock at navy yard mare island cal,              mare island,,,
  08/02/1902,,,,,,,,,
  08/02/1902,,,,,,,,,
  08/02/1902,,,,,,,,,
  08/02/1902,,,,,,,,,
  08/02/1902,,,,,,,,,
  08/02/1902,,,,,,,,,
  08/02/1902,,,,,,,,,
  08/02/1902,,,-4.6,55.5,    navy yard mare is cal,                     mahe,mare island navy yard,38 5 24N,122 15 48W
  09/02/1902,,,,,,,,,
  09/02/1902,,,-4.6,55.5,    navy yard mare is cal,                     mahe,mare island navy yard,,
  10/02/1902,,,,,,,,,
  10/02/1902,,,,,,,,,
  10/02/1902,,,,,,,,,
  10/02/1902,,,,,,,,,
  10/02/1902,,,,,,,,,
  10/02/1902,,,,,,,,,
  10/02/1902,,,,,,,,,
  10/02/1902,,,-4.6,55.5,    navy yard mare is cal,                     mahe,mare island navy yard,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,,,,,,,
  11/02/1902,,,-4.6,55.5,    navy yard mare is cal,                     mahe,mare island navy yard,,
  12/02/1902,,,,,,,,,
  12/02/1902,,,,,,,,,
  12/02/1902,,,,,,,,,
  12/02/1902,,,,,,,,,
  12/02/1902,,,,,,,,,
  12/02/1902,,,,,,,,,
  12/02/1902,,,,,,,,,
  12/02/1902,,,-4.6,55.5,    navy yard mare is cal,                     mahe,mare island navy yard,,
  13/02/1902,,,,,,,,,
  13/02/1902,,,,,,,,,
  13/02/1902,,,,,,,,,
  13/02/1902,,,,,,,,,
  13/02/1902,,,,,,,,,
  13/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  14/02/1902,,,,,,,,,
  14/02/1902,,,,,,,,,
  14/02/1902,,,,,,,,,
  14/02/1902,,,,,,,,,
  14/02/1902,,,,,,,,,
  14/02/1902,,,,,,,,,
  14/02/1902,,,,,,,,,
  14/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  15/02/1902,,,,,,,,,
  15/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  16/02/1902,,,,,,,,,
  16/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  17/02/1902,,,,,,,,,
  17/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  18/02/1902,,,,,,,,,
  18/02/1902,,,,,,,,,
  18/02/1902,,,,,,,,,
  18/02/1902,,,,,,,,,
  18/02/1902,,,,,,,,,
  18/02/1902,,,,,,,,,
  18/02/1902,,,,,,,,,
  18/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  19/02/1902,,,,,,,,,
  19/02/1902,,,,,,,,,
  19/02/1902,,,,,,,,,
  19/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  20/02/1902,,,,,,,,,
  20/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  21/02/1902,,,,,,,,,
  21/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  22/02/1902,,,,,,,,,
  22/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  23/02/1902,,,,,,,,,
  23/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  24/02/1902,,,,,,,,,
  24/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  25/02/1902,,,,,,,,,
  25/02/1902,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,,,,,,,
  26/02/1902,,,38.1,-122.3,commissioned  alongside dock navy yard mare island california,              mare island,,,
  15/06/1903,,,,,,,,,
  15/06/1903,,,38.1,-122.3,   mare island california,              mare island,,,
  15/06/1903,,,,,,,,,
      16/06/1903,,,38.1,-122.3,alongside dock mare island californmia,              mare island,,,
  16/06/1903,,,,,,,,,
  16/06/1903,,,38.1,-122.3,alongside dock navy yard mare island calalifornia,              mare island,,,
  17/06/1903,,,,,,,,,
  17/06/1903,,,38.1,-122.3,navy yard mare island cal,              mare island,,,
  18/06/1903,,,,,,,,,
  18/06/1903,,,38.1,-122.3,navy yard mare island california,              mare island,,,
  19/06/1903,,,,,,,,,
      20/06/1903,,,38.1,-122.3,    navy yard mare is cal,              mare island,,,
  20/06/1903,,,,,,,,,
      21/06/1903,,,38.1,-122.3,navy yard mare island california,              mare island,,,
  21/06/1903,,,,,,,,,
       22/06/1903,,,-8.7,-122.3,navy yard mare is california,              mare island,,,
  22/06/1903,,,,,,,,,
       23/06/1903,,,38.1,-122.3,in dry dock mare island cal,              mare island,,,
  23/06/1903,,,,,,,,,
Wednesday 1903 June 24,,,38.1,-122.3,in dry dock mare island cal,              mare island,,,
  24/06/1903,,,,,,,,,
       25/06/1903,,,38.1,-122.3,in dry dock mare island cal,              mare island,,,
  25/06/1903,,,,,,,,,
       26/06/1903,,,-4.6,55.5,    navy yard mare is cal,                     mahe,mare island navy yard,,
  26/06/1903,,,,,,,,,
  27/06/1903,,,38.1,-122.3,navy yard saturday june 27th mare island calif,              mare island,,,
  27/06/1903,,,,,,,,,
       28/06/1903,,,38.1,-122.3,navy yard sunday june 28th mare island cal,              mare island,,,
  28/06/1903,,,,,,,,,
  29/06/1903,,,38.1,-122.3,navy yard mare island cal monday june 29 1903,              mare island,,,
  29/06/1903,,,,,,,,,
  29/06/1903,,,,,,,,,
  30/06/1903,,,,,,,,,
  30/06/1903,,,38.1,-122.3,navy yard mare island cal tuesday june 30 1903,              mare island,,,
  30/06/1903,,,,,,,,,
  01/07/1903,,,38.1,-122.3,navy yard mare island cal wednesday july 1 1903 and underway,              mare island,,,
  01/07/1903,,,44.9,37.3,san pablo bay and underway,                    anapa,san pablo bay,38 04N,122 23W
  01/07/1903,,,37.8,-122.4,underway and at anchor off san francisco,            san francisco,,,
  01/07/1903,,,,,,,,,
  02/07/1903,,,37.8,-122.4,at anchor off san francisco and underway for trial,            san francisco,,,
  02/07/1903,,,,,,,,,
  02/07/1903,,,,,,,,,
  03/07/1903,,,,,,,,,
  03/07/1903,,,,,,,,,
  03/07/1903,,,,,,,,,
  03/07/1903,,,37.8,-122.4,at anchor san francisco cal,        san francisco bay,,,
  04/07/1903,,,,,,,,,
  04/07/1903,,,37.8,-122.4,at anchor off san francisco cal,            san francisco,,,
  05/07/1903,,,,,,,,,
  05/07/1903,,,37.8,-122.4,at anchor off san francisco cal,            san francisco,,,
  06/07/1903,,,,,,,,,
  06/07/1903,,,37.8,-122.4,at anchor off san francisco  mare island calif,            san francisco,,,
  07/07/1903,,,,,,,,,
  07/07/1903,,,38.1,-122.3,alongside dock mare island cal,              mare island,,,
  08/07/1903,,,,,,,,,
  08/07/1903,,,38.1,-122.3,alongside dock mare island cal,              mare island,,,
  09/07/1903,,,,,,,,,
  09/07/1903,,,38.1,-122.3,navy yard mare island california,              mare island,,,
  10/07/1903,,,,,,,,,
  10/07/1903,,,38.1,-122.3,          mare island cal,              mare island,,,
  11/07/1903,,,,,,,,,
  11/07/1903,,,38.1,-122.3,          mare island cal,              mare island,,,
  12/07/1903,,,,,,,,,
  12/07/1903,,,38.1,-122.3,          mare island cal,              mare island,,,
  13/07/1903,,,,,,,,,
  13/07/1903,,,38.1,-122.3,   mare island california,              mare island,,,
  14/07/1903,,,,,,,,,
  14/07/1903,,,38.1,-122.3,navy yard mare island california,              mare island,,,
  15/07/1903,,,,,,,,,
  15/07/1903,,,38.1,-122.3,navy yard mare island california,              mare island,,,
  16/07/1903,,,,,,,,,
  16/07/1903,,,38.1,-122.3,navy yard mare island california,              mare island,,,
  17/07/1903,,,,,,,,,
  17/07/1903,,,38.1,-122.3,navy yard mare island california,              mare island,,,
  18/07/1903,,,,,,,,,
