          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  26/03/1891, 40 703605, 73 974423,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  27/03/1891,,,,,,,,,
  27/03/1891,40 7042005, 73 974423,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  28/03/1891,,,,,,,,,
  28/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  29/03/1891,,,,,,,,,
  29/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  30/03/1891,,,,,,,,,
  30/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  31/03/1891,,,,,,,,,
  31/03/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  01/04/1891,,,,,,,,,
  01/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  02/04/1891,,,,,,,,,
  02/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  03/04/1891,,,,,,,,,
  03/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  04/04/1891,,,,,,,,,
  04/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  05/04/1891,,,,,,,,,
  05/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  06/04/1891,,,,,,,,,
  06/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  07/04/1891,,,,,,,,,
  07/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  08/04/1891,,,,,,,,,
  08/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  09/04/1891,,,,,,,,,
  09/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  10/04/1891,,,,,,,,,
  10/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  11/04/1891,,,,,,,,,
  11/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  12/04/1891,,,,,,,,,
  12/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  13/04/1891,,,,,,,,,
  13/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  14/04/1891,,,,,,,,,
  14/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  15/04/1891,,,,,,,,,
  15/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  16/04/1891,,,,,,,,,
  16/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  17/04/1891,,,,,,,,,
  17/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  18/04/1891,,,,,,,,,
  18/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  19/04/1891,,,,,,,,,
  19/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  20/04/1891,,,,,,,,,
  20/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  21/04/1891,,,,,,,,,
  21/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  22/04/1891,,,,,,,,,
  22/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  23/04/1891,,,,,,,,,
  23/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  24/04/1891,,,,,,,,,
  24/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  25/04/1891,,,,,,,,,
  25/04/1891,,,40.6,-73.9,steamer concord navy yard brooklyn ny,     us navy yard brookly,brooklyn navy yard,,
  26/04/1891,,,,,,,,,
  26/04/1891,,,40.6,-73.9,steamer concord navy yard brooklyn ny,     us navy yard brookly,brooklyn navy yard,,
  27/04/1891,,,,,,,,,
  27/04/1891,,,40.6,-74,   navy yard brooklyn nyt,                 brooklyn,brooklyn navy yard,,
  18/04/1891,,,,,,,,,
  18/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  19/04/1891,,,,,,,,,
  19/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  30/04/1891,34,34,,,,,,,
30/04/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  01/05/1891,,,,,,,,,
  01/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  02/05/1891,,,55.8,-4.2,                  glasgow,                  glasgow,brooklyn navy yard,,
  03/04/1934,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  03/05/1891,,,,,,,,,
  03/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  04/05/1891,,,,,,,,,
  05/05/1891,,,,,             navy yard ny,,,,
  05/05/1891,,,,,,,,,
  05/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  06/05/1891,,,,,,,,,
  06/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  07/05/1891,,,,,,,,,
  07/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  08/05/1891,,,,,,,,,
  08/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  09/05/1891,,,,,,,,,
  09/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  10/05/1891,,,,,,,,,
  10/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  11/05/1891,,,,,,,,,
  11/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  12/05/1891,,,,,,,,,
  12/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  13/05/1891,,,,,,,,,
  13/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  14/05/1891,,,,,,,,,
  15/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  15/05/1891,,,,,,,,,
  15/05/1891,0,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  16/05/1891,,,,,,,,,
  16/05/1891,0,0,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  17/05/1891,,,,,,,,,
  18/05/1891,,,40.6,-74,    navy yard brooklyn ny,                 brooklyn,brooklyn navy yard,,
  18/05/1891,,,,,,,,,
  18/05/1891,0,,67.8,-176,               east river,               east river,east river new york,40.700357N,74.003842W
  19/05/1891,,,,,,,,,
  19/05/1891,,,36.1,-5.3,                 swinging,                      gib,east river new york,,
  20/05/1891,,,,,,,,,
  20/05/1891,,,67.8,-176,off bellevue hospital east river ny,               east river,east river new york,,
  21/05/1891,,,,,,,,,
  21/05/1891,,,67.8,-176,off bellevue hospital east river ny,               east river,east river new york,,
  22/05/1891,,,,,,,,,
  23/05/1891,,,67.8,-176,off bellevue hospital east river ny,               east river,east river new york,,
  23/05/1891,,,,,,,,,
  23/05/1891,,,67.8,-176,off bellevue hospital east river ny,               east river,east river new york,,
  24/05/1891,,,,,,,,,
  24/05/1891,,,67.8,-176,moored off bellevue hospital east river ny,               east river,east river new york,,
  25/05/1891,,,,,,,,,
  25/05/1891,,,67.8,-176,off bellevue hospital east river ny,               east river,east river new york,,
  26/05/1891,,,,,,,,,
  27/05/1891,,,67.8,-176,off bellevue hospital east river ny,               east river,east river new york,,
  27/05/1891,,,40.6,-74.1,            tompkinsville,            tompkinsville,,,
  28/05/1891,,,40.6,-74.2,at anchor off ft tompkins staten island ny,           statten island,fort wadsworth staten island,40.605N,74.057W
  28/05/1891,,,,,              ft hamilton,,,,
  29/05/1891,,,40.6,-74.2,at anchor off ft tompkins staten island ny,           statten island,,,
  29/05/1891,,,56.2,-3,                stapleton,                    forth,stapleton staten island,40 37 36N,74 04 40W
  30/05/1891,,,40.6,-74.2,stapleton staten island ny,           statten island,stapleton staten island,,
  30/05/1891,,,55,-5.8,                   ny bay,                    larne,lower new york bay,40 31 00N,74 02 59W
  30/05/1891,,,37,-76.3,at sea making passage from new york to hampton roads,            hampton roads,new york bight,40 05 42N,73 14 55W
  31/05/1891,,,56.2,-3,                fort wool,                    forth,fort wool,36 59 12N,76 18 04W
  01/06/1891,,,37,-76.3,at anchor hampton roads va,            hampton roads,,,
  01/06/1891,,,43.1,16.7,         cape henry light,                     hvar,cape henry light,36 55 32N,76 0 30W
  01/06/1891,   36 48 N,   74 45 W,30.5,117.1,at sea standing off and on,                   anking,north atlantic,,
  02/06/1891,,,43.1,16.7,         cape henry light,                     hvar,cape henry light,,
  02/06/1891,36,,30.5,117.1,                  steawer,                   anking,chesapeake bay,36 59 45N,75 57 34W
  02/06/1891,,,,,,,,,
  03/06/1891,,,30.5,117.1,at sea standing in for the capes of virginia,                   anking,chesapeake bay,,
  03/06/1891,,,,,,,,,
  04/06/1891,,,-43,147.8, at anchor off norfolk va,              norfolk bay,norfolk virginia,36 55N,76 12W
  04/06/1891,,,,,,,,,
  05/06/1891,,,-43,147.8, at anchor off norfolk va,              norfolk bay,norfolk virginia,,
  05/06/1891,,,,,,,,,
  06/06/1891,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  06/06/1891,,,,,,,,,
  07/06/1891,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  07/06/1891,,,,,,,,,
  08/06/1891,,,-43,147.8,at anchor off fort norfolk norfolk va,              norfolk bay,fort norfolk,36 51 24N,76 18 24W
  08/06/1891,,,,,,,,,
  09/06/1891,,,-43,147.8,  fort norfolk norfolk va,              norfolk bay,fort norfolk,,
  09/06/1891,,,,,,,,,
  10/06/1891,,,-43,147.8,at anchor off fort norfolk norfolk va,              norfolk bay,fort norfolk,,
  10/06/1891,,,,,,,,,
  11/06/1891,,,-43,147.8,at anchor off ft norfolk norfolk va,              norfolk bay,fort norfolk,,
  11/06/1891,,,,,,,,,
  12/06/1891,,,-43,147.8,at anchor off ft norfolk norfolk va,              norfolk bay,fort norfolk,,
  12/06/1891,,,,,,,,,
