  17/05/1909,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  17/05/1909,,,38.1,-122.3,moored alongisde sea wall navy yard mare island cla,              mare island,,,
  17/05/1909,,,,,,,,,
  17/05/1909,,,38.1,-122.3,moored alongisde sea wall navy yard mare island cla,              mare island,,,
  18/05/1909,,,,,,,,,
  18/05/1909,,,38.1,-122.3,   mare island california,              mare island,,,
  19/05/1909,,,,,,,,,
  19/05/1909,,,38.1,-122.3,moored alongisde sea wall navy yard mare island cla,              mare island,,,
  20/05/1909,,,,,,,,,
  20/05/1909,,,38.1,-122.3,moored alongside dock at navy yard mare island cal,              mare island,,,
  21/05/1909,,,,,,,,,
  21/05/1909,,,38.1,-122.3,   mare island california,              mare island,,,
  22/05/1909,,,,,,,,,
  22/05/1909,,,38.1,-122.3,   mare island california,              mare island,,,
  23/05/1909,,,,,,,,,
  23/05/1909,,,38.1,-122.3,moored alongside dock at navy yard mare island cal,              mare island,,,
  24/05/1909,,,,,,,,,
  24/05/1909,,,38.1,-122.3,   mare island california,              mare island,,,
  25/05/1909,,,,,,,,,
  25/05/1909,,,38.1,-122.3,moored alongside dock at navy yard mare island cal,              mare island,,,
  26/05/1909,,,,,,,,,
  26/05/1909,,,38.1,-122.3,   mare island california,              mare island,,,
  27/05/1909,,,,,,,,,
  27/05/1909,,,38.1,-122.3,moored alongside dock at navy yard mare island cal,              mare island,,,
  28/05/1909,,,,,,,,,
  28/05/1909,,,38.1,-122.3,   mare island california,              mare island,,,
  29/05/1909,,,,,,,,,
  29/05/1909,,,38.1,-122.3,moored alongside dock at navy yard mare island cal,              mare island,,,
  30/05/1909,,,,,,,,,
  30/05/1909,,,38.1,-122.3,   mare island california,              mare island,,,
  31/05/1909,,,,,,,,,
  31/05/1909,,,38.1,-122.3,moored alongside dock at navy yard mare island cal,              mare island,,,
  01/06/1909,,,,,,,,,
  01/06/1909,,,38.1,-122.3,   mare island california,              mare island,,,
  02/06/1909,,,,,,,,,
  02/06/1909,,,38.1,-122.3,moored alongside dock navy yard mare island cal,              mare island,,,
  03/06/1909,,,,,,,,,
  03/06/1909,,,38.1,-122.3,moored alongside dock navy yard mare island cal,              mare island,,,
  04/06/1909,,,,,,,,,
  04/06/1909,,,38.1,-122.3,moored alongside dock at navy yard mare island cal,              mare island,,,
  05/06/1909,,,,,,,,,
  05/06/1909,,,38.1,-122.3,moored alongside dock at navy yard mare island cal,              mare island,,,
  06/06/1909,,,,,,,,,
  06/06/1909,,,38.1,-122.3,moored alongside dock at navy yard mare island cal,              mare island,,,
  07/06/1909,,,,,,,,,
  07/06/1909,,,38.1,-122.3,moored alongside dock at navy yard mare island cal,              mare island,,,
  07/06/1909,,,,,,,,,
  07/06/1909,,,38.1,-122.3,   mare island california,              mare island,,,
  08/06/1909,,,,,,,,,
  08/06/1909,,,38.1,-122.3,moored alongside dock at navy yard mare island cal,              mare island,,,
  09/06/1909,,,,,,,,,
  09/06/1909,,,38.1,-122.3,   mare island california,              mare island,,,
  10/06/1909,,,,,,,,,
  10/06/1909,,,,,moored alongside of uss new orleans  moored to buoy in stream off mare island cal,,,,
  11/06/1909,,,38.1,-122.3,   mare island california,              mare island,,,
  11/06/1909,,,,,moored alongside of uss new orleans  moored to buoy in stream off mare island cal,,,,
  12/06/1909,,,38.1,-122.3,          mare island cal,              mare island,,,
  12/06/1909,,,37.8,-122.4,at anchor in san francisco bay california,        san francisco bay,,,
  13/06/1909,,,,,,,,,
  13/06/1909,,,37.8,-122.4,at anchor in san francisco bay cal,        san francisco bay,,,
  14/06/1909,,,,,,,,,
  14/06/1909,,,37.8,-122.4,at anchor off mission st in the bay of san francisco cal,        san francisco bay,,,
  15/06/1909,,,,,,,,,
  15/06/1909,     36 54,  122 23 W,37.8,-122.4,at anchor off mission st in the bay of san francisco cal,        san francisco bay,north pacific,,
  16/06/1909,,,,,,,,,
  16/06/1909,   34 53 N,  121 18 W,,,,,,,
  17/06/1909,,,,,,,,,
  17/06/1909,   31 29 N,  118 48 W,,,,,,,
  18/06/1909,,,,,,,,,
  18/06/1909,   27 59 N,  115 47 W,,,,,,,
  19/06/1909,,,,,,,,,
  19/06/1909,   25 09 N,  112 45 W,,,,,,,
  20/06/1909,,,,,,,,,
  20/06/1909,   22 24 N,  109 30 W,,,,,,,
  21/06/1909,,,,,,,,,
  21/06/1909,   19 53 N,  106 05 W,,,,,,,
  22/06/1909,,,,,,,,,
  22/06/1909,   18 04 N,  103 35 W,,,,,,,
  23/06/1909,,,,,,,,,
  23/06/1909,   17 15 N,  102 56 W,,,,,,,
  24/06/1909,,,,,,,,,
  24/06/1909,,,30.5,117.1,at sea making passage to acapluco mexico,                   anking,guerrero,17 37N,99 57W
  25/06/1909,,,,,,,,,
  25/06/1909,   16 33 N,   99 28 W,43.1,16.7,at anchor in the harbor of acapulco mexico,                     hvar,acapulco,16 51 49N,99 52 57W
  26/06/1909,,,,,,,,,
  26/06/1909,   15 47 N,   97 30 W,,,,,,,
  27/06/1909,,,,,,,,,
  27/06/1909,   15 50 N,   94 00 W,,,,,,,
  28/06/1909,,,,,,,,,
  28/06/1909,   13 24 N,   91 11 W,,,,,,,
  29/06/1909,,,,,,,,,
  29/06/1909,   12 33 N,   87 23 W,,,,,,,
  30/06/1909,,,,,,,,,
  30/06/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,12 29N,87 11W
  01/07/1909,,,,,,,,,
  01/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  02/07/1909,,,,,,,,,
  02/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  03/07/1909,,,,,,,,,
  03/07/1909,,,-1.8,-44.8,at anchor in the harbour of corinto nicaragua,                    ceara,corinto nicaragua,,
  04/07/1909,,,,,,,,,
  04/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  05/07/1909,,,,,,,,,
  05/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  06/07/1909,,,,,,,,,
  06/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  07/07/1909,,,,,,,,,
  07/07/1909,,,-1.8,-44.8,at anchor in the harbour of corinto nicaragua,                    ceara,corinto nicaragua,,
  07/07/1909,,,,,,,,,
  07/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  08/07/1909,,,,,,,,,
  08/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  09/07/1909,,,,,,,,,
  09/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  10/07/1909,,,,,,,,,
  10/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  11/07/1909,,,,,,,,,
  11/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  12/07/1909,,,,,,,,,
  12/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  13/07/1909,,,,,,,,,
  13/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  14/07/1909,,,,,,,,,
  14/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
   15/7/1909,,,,,,,,,
   15/7/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  16/07/1909,,,,,,,,,
  16/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  17/07/1909,,,,,,,,,
  17/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  18/07/1909,,,,,,,,,
  18/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  19/07/1909,,,,,,,,,
  19/07/1909,,,-1.8,-44.8,at anchor in the harbour of corinto nicaragua,                    ceara,corinto nicaragua,,
  19/07/1909,,,,,,,,,
  19/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  20/07/1909,,,,,,,,,
  20/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  21/07/1909,,,,,,,,,
  21/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  22/07/1909,,,,,,,,,
  22/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  23/07/1909,,,,,,,,,
  23/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  24/07/1909,,,,,,,,,
  24/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  25/07/1909,,,,,,,,,
  25/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  26/07/1909,,,,,,,,,
  26/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  27/07/1909,,,,,,,,,
  27/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  28/07/1909,,,,,,,,,
  28/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  29/07/1909,,,,,,,,,
  29/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  30/07/1909,,,,,,,,,
  30/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  31/07/1909,,,,,,,,,
  31/07/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  01/08/1909,,,,,,,,,
  01/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  02/08/1909,,,,,,,,,
  02/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  03/08/1909,,,,,,,,,
  03/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  04/08/1909,,,,,,,,,
  04/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  05/08/1909,,,,,,,,,
  05/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  06/08/1909,,,,,,,,,
  06/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  07/08/1909,,,,,,,,,
  07/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  08/08/1909,,,,,,,,,
  08/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  09/08/1909,,,,,,,,,
  09/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  10/08/1909,,,,,,,,,
  10/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  11/08/1909,,,,,,,,,
  11/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  12/08/1909,,,,,,,,,
  12/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  13/08/1909,,,,,,,,,
  13/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  14/08/1909,,,,,,,,,
  14/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  15/08/1909,,,,,,,,,
  15/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  16/08/1909,,,,,,,,,
  16/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  17/08/1909,,,,,,,,,
  17/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  18/08/1909,,,,,,,,,
  18/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  19/08/1909,,,,,,,,,
  19/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  20/08/1909,,,,,,,,,
  20/08/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  21/08/1909,,,,,,,,,
  21/08/1909,   11 18 N,   87 10 W,22.4,114.2, corinto harbor nicaragua,              tolo harbor,north pacific,,
  22/08/1909,,,,,,,,,
  22/08/1909,   10 00 N,   85 56 W,,,,,,,
  23/08/1909,,,,,,,,,
  23/08/1909,   07 46 N,   83 05 W,,,,,,,
  24/08/1909,,,,,,,,,
  24/08/1909,   07 35 N,   79 31 W,,,,,,,
  25/08/1909,,,,,,,,,
  25/08/1909,,,9,-79.5,             panama roads,                   panama,panama city,8 59N,79 31W
  26/08/1909,,,,,,,,,
  26/08/1909,,,9,-79.5,             panama roads,                   panama,panama city,,
  27/08/1909,,,,,,,,,
  27/08/1909,,,9,-79.5,             panama roads,                   panama,panama city,,
  28/08/1909,,,,,,,,,
  28/08/1909,,,9,-79.5,             panama roads,                   panama,panama city,,
  29/08/1909,,,,,,,,,
  29/08/1909,,,9,-79.5,             panama roads,                   panama,panama city,,
  30/08/1909,,,,,,,,,
  30/08/1909,,,9,-79.5,             panama roads,                   panama,panama city,,
  31/08/1909,,,,,,,,,
  31/08/1909,,,30.5,117.1,at sea making passage to corinto nicaragua,                   anking,gulf of panama,8.08642N,79.28284W
  01/09/1909,,,,,,,,,
  01/09/1909,   06 40 N,   81 06 W,,,,,,,
  02/09/1909,,,,,,,,,
  02/09/1909,   06 40 N,   81 06 W,,,,,,,
  02/09/1909,,,,,,,,,
  02/09/1909,   08 48 N,   84 14 W,,,,,,,
  03/09/1909,,,,,,,,,
  03/09/1909,   11 06 N,   86 39 W,,,,,,,
  04/09/1909,,,,,,,,,
  04/09/1909,,,-1.8,-44.8,        corinto nicaragua,                    ceara,corinto nicaragua,,
  05/09/1909,,,,,,,,,
  05/09/1909,,,30.5,117.1,at sea making passage to la union salvador,                   anking,gulf of fonseca,13 15N,87 45W
  06/09/1909,,,,,,,,,
  06/09/1909,,,30.5,117.1,at sea making passage to la union salvador,                   anking,gulf of fonseca,,
  06/09/1909,,,,,,,,,
  06/09/1909,,,30.5,117.1,at sea making passage to la union salvador,                   anking,gulf of fonseca,,
  07/09/1909,,,,,,,,,
  07/09/1909,,,43.1,16.7,at anchor in the harbor of la union salvador,                     hvar,la union el salvador,13 20 13N,87 50 38W
  08/09/1909,,,,,,,,,
  08/09/1909,,,43.1,16.7,at anchor in the harbor of la union salvador,                     hvar,la union el salvador,,
  08/09/1909,,,,,,,,,
  08/09/1909,,,43.1,16.7,        la union salvador,                     hvar,la union el salvador,,
  09/09/1909,,,,,,,,,
  09/09/1909,,,43.1,16.7,        la union salvador,                     hvar,la union el salvador,,
  10/09/1909,,,,,,,,,
  10/09/1909,,,43.1,16.7,at anchor in the harbor of la union salvador,                     hvar,la union el salvador,,
  10/09/1909,,,,,,,,,
  10/09/1909,,,43.1,16.7,        la union salvador,                     hvar,la union el salvador,,
  11/09/1909,,,,,,,,,
  11/09/1909,,,43.1,16.7,        la union salvador,                     hvar,la union el salvador,,
  12/09/1909,,,,,,,,,
  12/09/1909,,,43.1,16.7,        la union salvador,                     hvar,la union el salvador,,
  13/09/1909,,,,,,,,,
  13/09/1909,,,43.1,16.7,        la union salvador,                     hvar,la union el salvador,,
  14/09/1909,,,,,,,,,
  14/09/1909,,,43.1,16.7,        la union salvador,                     hvar,la union el salvador,,
  15/09/1909,,,,,,,,,
  15/09/1909,,,43.1,16.7,        la union salvador,                     hvar,la union el salvador,,
  16/09/1909,,,,,,,,,
  16/09/1909,,,43.1,16.7,        la union salvador,                     hvar,la union el salvador,,
  17/09/1909,,,,,,,,,
  17/09/1909,,,43.1,16.7,at anchor in the harbor of la union salvador,                     hvar,la union el salvador,,
  17/09/1909,,,,,,,,,
  17/09/1909,,,43.1,16.7,        la union salvador,                     hvar,la union el salvador,,
  18/09/1909,,,,,,,,,
  18/09/1909,,,43.1,16.7,        la union salvador,                     hvar,la union el salvador,,
  19/09/1909,,,,,,,,,
  19/09/1909,,,43.1,16.7,        la union salvador,                     hvar,la union el salvador,,
  20/09/1909,,,,,,,,,
  20/09/1909,   13 18 N,   87 51 W,,,        la union salvador,,la union el salvador,,
  21/09/1909,,,,,,,,,
  21/09/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,13 29N,89 19W
  22/09/1909,,,,,,,,,
  22/09/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,,
  23/09/1909,,,,,,,,,
  23/09/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,,
  24/09/1909,,,,,,,,,
  24/09/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,,
  25/09/1909,,,,,,,,,
  25/09/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,,
  26/09/1909,,,,,,,,,
  26/09/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,,
  27/09/1909,,,,,,,,,
  27/09/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,,
  28/09/1909,,,,,,,,,
  28/09/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,,
   29/9/1909,,,,,,,,,
   29/9/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,,
  30/09/1909,,,,,,,,,
  30/09/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,,
  01/10/1909,,,,,,,,,
  01/10/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,,
  02/10/1909,,,,,,,,,
  02/10/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,,
  03/10/1909,,,,,,,,,
  03/10/1909,,,36.1,-5.3,     la libertad salvador,                      gib,la libertad,,
  04/10/1909,,,,,,,,,
  04/10/1909,,,36.1,-5.3,at anchor off la libertad salvador and at sea making passage to acajutla,                   anking,la libertad,,
  05/10/1909,,,,,,,,,
  05/10/1909,,,30.5,117.1,at anchor off la libertad salvador and at sea making passage to acajutla,                   anking,acajutla,13 35 24N,89 50 01W
  05/10/1909,,,,,,,,,
  05/10/1909,,,,,        acajutla salvador,,,,
  06/10/1909,,,,,,,,,
  06/10/1909,,,,,        acajutla salvador,,,,
  07/10/1909,,,,,,,,,
  07/10/1909,,,,,        acajutla salvador,,,,
  08/10/1909,,,,,,,,,
  08/10/1909,,,,,        acajutla salvador,,,,
  09/10/1909,,,,,,,,,
  09/10/1909,,,,,        acajutla salvador,,,,
  10/10/1909,,,,,,,,,
  10/10/1909,,,,,        acajutla salvador,,,,
  11/10/1909,,,,,,,,,
  11/10/1909,,,,,        acajutla salvador,,,,
  12/10/1909,,,,,,,,,
  12/10/1909,,,,,        acajutla salvador,,,,
  13/10/1909,,,,,,,,,
  13/10/1909,,,,,        acajutla salvador,,,,
  14/10/1909,,,,,,,,,
  14/10/1909,,,,,        acajutla salvador,,,,
  15/10/1909,,,,,,,,,
  15/10/1909,,,,,        acajutla salvador,,,,
  16/10/1909,,,,,,,,,
  16/10/1909,,,,,        acajutla salvador,,,,
  17/10/1909,,,,,,,,,
  17/10/1909,,,,,        acajutla salvador,,,,
  18/10/1909,,,,,,,,,
  18/10/1909,,,,,        acajutla salvador,,,,
  19/10/1909,,,,,,,,,
  19/10/1909,,,,,        acajutla salvador,,,,
  20/10/1909,,,,,,,,,
  20/10/1909,,,30.5,117.1,        acajutla salvador,                   anking,acajutla,,
  21/10/1909,,,,,,,,,
  21/10/1909,,,35.9,14.4,       san jose guatemala,                    malta,puerto san jose,13 56N,90 49W
  22/10/1909,,,,,,,,,
  22/10/1909,,,35.9,14.4,       san jose guatemala,                    malta,puerto san jose,,
  23/10/1909,,,,,,,,,
  23/10/1909,,,35.9,14.4,       san jose guatemala,                    malta,puerto san jose,,
