  01/01/1877,        NA,        NA_2,56.2,-3,     at sea north pacific,                    forth,north pacific,i,j
  20/01/1877,,,,,,,,,
  21/01/1877,,,56.2,-3,     at sea north pacific,                    forth,oahu,,
  21/01/1877,,,,,,,,,
  22/01/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  22/01/1877,,,,,,,,,
  23/01/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  23/01/1877,,,,,,,,,
  24/01/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  24/01/1877,,,,,,,,,
  25/01/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  25/01/1877,,,,,,,,,
  26/01/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  26/01/1877,,,,,,,,,
  27/01/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  27/01/1877,,,,,,,,,
  28/01/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  28/01/1877,,,,,,,,,
  29/01/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  29/01/1877,,,,,,,,,
  30/01/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  30/01/1877,,,,,,,,,
  31/01/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  31/01/1877,,,,,,,,,
  01/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  01/02/1877,,,,,,,,,
  02/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  02/02/1877,,,,,,,,,
  03/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  03/02/1877,,,,,,,,,
  04/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  04/02/1877,,,,,,,,,
  05/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  05/02/1877,,,,,,,,,
  06/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  06/02/1877,,,,,,,,,
  07/02/1877,,,21.3,-157.9,              honolulu hi,                 honolulu,,,
  07/02/1877,,,,,,,,,
