          NA,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  27/11/1897,,,,,,,,,
  27/11/1897,,,36.8,-76.3,  portsmouth nh navy yard,            portsmouth va,portsmouth navy yard,,
  28/11/1897,,,,,,,,,
  28/11/1897,,,36.8,-76.3,  portsmouth nh navy yard,            portsmouth va,portsmouth navy yard,,
  29/11/1897,,,,,,,,,
  29/11/1897,,,36.8,-76.3,  portsmouth nh navy yard,            portsmouth va,portsmouth navy yard,,
  30/11/1897,,,,,,,,,
  30/11/1897,,,36.8,-76.3,  portsmouth nh navy yard,            portsmouth va,portsmouth navy yard,,
  01/12/1897,,,,,,,,,
  01/12/1897,,,36.8,-76.3,  portsmouth nh navy yard,            portsmouth va,portsmouth navy yard,,
  02/12/1897,,,,,,,,,
  02/12/1897,,,36.8,-76.3,  portsmouth nh navy yard,            portsmouth va,portsmouth navy yard,,
  03/12/1897,,,,,,,,,
  03/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  04/12/1897,,,,,,,,,
  04/12/1897,,,36.8,-76.3,moored along side seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  05/12/1897,,,,,,,,,
  05/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  06/12/1897,,,,,,,,,
  06/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  07/12/1897,,,,,,,,,
  07/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  08/12/1897,,,,,,,,,
  08/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  09/12/1897,,,,,,,,,
  09/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouthnh,            portsmouth va,portsmouth navy yard,,
  10/12/1897,,,,,,,,,
  10/12/1897,,,36.8,-76.3,moored alongside seawall navy yard portsmouth nh,            portsmouth va,portsmouth navy yard,,
  11/12/1897,,,,,,,,,
