  01/01/1885,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/01/1885,,,,,,,,,
  01/01/1885,,,,,,,,,
  01/01/1885,,,,,,,,,
  01/01/1885,,,,,,,,,
  01/01/1885,,,,,,,,,
  01/01/1885,,,,,,,,,
  01/01/1885,,,,,,,,,
  12/01/1885,,,,,             key west fla,,,,
  16/06/1885,,,15.5,73.9,      narragansett bay ri,                      goa,narragansett bay,41 36N,71 21W
  16/06/1885,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk navy base,36 56.7N,76 18.8W
  01/01/1885,,,,,,,,,
  01/01/1885,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk navy base,,
  02/01/1885,,,,,,,,,
  02/01/1885,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk navy base,,
  03/01/1885,,,,,,,,,
  03/01/1885,   34 51 N,   75 16 W,15.5,73.9,at sea off the carolina coast,                      goa,north atlantic,,
  04/01/1885,,,12.8,45,at 1240 sighted bodie id light bearing sw mag distant 19 miles,                     aden,cape hatteras national seashore,35 18 13N,75 30 41W
  04/01/1885,   32 53 N,   77 53 W,15.5,73.9,at sea off the carolina coast,                      goa,north atlantic,,
  05/01/1885,,,,,,,,,
  05/01/1885,   31 41 N,   79 25 W,36.1,-5.3,at sea off carolina  georgia coast,                      gib,north atlantic,,
  06/01/1885,,,,,,,,,
  06/01/1885,   30 23 N,   79 16 W,36.1,-5.3,                  at noon,                      gib,north atlantic,,
  07/01/1885,,,,,,,,,
  07/01/1885,   26 53 N,   79 42 W,30,48.5,at sea off the florida coast,                      fao,north atlantic,,
  08/01/1885,,,56.4,48.5,at 445 orange grove house of refuge abeam 1 12 miles distant pl 135,                     oban,palm beach florida,26 42 54N,80 2 22W
  08/01/1885,,,,,at sea and in key west fla,,,,
  09/01/1885,,,,,,,,,
  09/01/1885,,,30,48.5,             key west fla,                      fao,key west,24 33 33N,81 47 03W
   10/1/1885,,,,,,,,,
   10/1/1885,,,51.1,1.3,government wharf key west fla,                    dover,key west,,
  11/01/1885,,,,,,,,,
  11/01/1885,,,,,             key west fla,,,,
  12/01/1885,,,,,,,,,
  12/01/1885,,,51.1,1.3,goverment wharf key west fla,                    dover,key west,,
  13/01/1885,,,,,,,,,
  13/01/1885,,,51.1,1.3,goverment wharf key west fla,                    dover,key west,,
  14/01/1885,,,,,,,,,
  14/01/1885,,,,,             key west fla,,,,
  15/01/1885,,,54.2,-165.6,          key west harbor,              lost harbor,key west,,
  15/01/1885,,,23.1,-82.4,       at sea havana cuba,                   havana,,,
  16/01/1885,,,,,,,,,
  16/01/1885,,,23.1,-82.4,              havana cuba,                   havana,,,
  17/01/1885,,,23.1,-82.4,                   havana,                   havana,,,
  17/01/1885,,,23.1,-82.4,              havana cuba,                   havana,,,
  18/01/1885,,,,,,,,,
  18/01/1885,,,23.1,-82.4,          off havana cuba,                   havana,,,
  19/01/1885,,,,,,,,,
  19/01/1885,,,23.1,-82.4,              havana cuba,                   havana,,,
  20/01/1885,,,,,,,,,
  20/01/1885,   22 35 N,   84 23 W,,,at sea off west end of cuba,,,,
  21/01/1885,,,22.8,113.6,                organ mts,                   canton,yucatan channel,21 34 42N,85 54 27W
  21/01/1885,   20 56 N,   86 27 W,54.8,-162.7,at sea and at anchor off north end of cozumel island,              umga island,cozumel,20 25N,86 55W
  22/01/1885,,,54.8,-162.7,           cozumel island,              umga island,cozumel,,
  22/01/1885,,,54.8,-162.7,san miguel cozumel island yucatan,              umga island,cozumel,,
  23/01/1885,,,54.8,-162.7,           cozumel island,              umga island,cozumel,,
  23/01/1885,,,54.8,-162.7,san miguel cozumel island yucatan,              umga island,cozumel,,
   24/1/1885,,,,,,,,,
   24/1/1885,,,54.8,-162.7,san miguel cozumel island yucatan,              umga island,cozumel,,
  25/01/1885,,,,,,,,,
  25/01/1885,,,54.8,-162.7,san miguel cozumel island yucatan,              umga island,cozumel,,
  26/01/1885,,,,,,,,,
  26/01/1885,,,54.8,-162.7,san miguel cozumel island yucatan,              umga island,cozumel,,
  27/01/1885,,,,,,,,,
  27/01/1885,,,54.8,-162.7,san miguel cozumel island yucatan,              umga island,cozumel,,
  28/01/1885,,,,,,,,,
  28/01/1885,,,54.8,-162.7,off cozumel island yucatan,              umga island,cozumel,,
  29/01/1885,,,,,,,,,
  29/01/1885,   22 08 N,   87 06 W,55,-1.5,at sea off yueatan me xico,                      tic,gulf of mexico,25N,90W
  30/01/1885,,,,,,,,,
  30/01/1885,   24 43 N,   86 54 W,30,48.5,           gulf of mexico,                      fao,gulf of mexico,,
  31/01/1885,,,,,,,,,
  31/01/1885,,,30,48.5,           gulf of mexico,                      fao,gulf of mexico,,
  01/02/1885,,,,,,,,,
  01/02/1885,,,,,  navy yard pensacola fla,,,,
  02/02/1885,,,,,,,,,
  02/02/1885,,,,,      navy yard pensacola,,,,
  03/02/1885,,,,,,,,,
  03/02/1885,,,,,  navy yard pensacola fla,,,,
  04/02/1885,,,,,,,,,
  04/02/1885,,,,,  navy yard pensacola fla,,,,
  05/02/1885,,,,,,,,,
  05/02/1885,,,,,      navy yard pensacola,,,,
  06/02/1885,,,,,,,,,
  06/02/1885,   29 15 N,   85 34 W,30,48.5,gulf of mexico off florida coast,                      fao,cape san blas,29 39 49N,85 21 20W
  07/02/1885,,,,,,,,,
  07/02/1885,,,,,  navy yard pensacola fla,,,,
  08/02/1885,,,,,,,,,
  08/02/1885,,,30,48.5,pensacola navy yard florida,                      fao,pensacola bay,30 22 06N,87 12 03W
  09/02/1885,,,,,,,,,
  09/02/1885,,,,,navy yard pensacola and at sea,,,,
  10/02/1885,,,,,,,,,
  10/02/1885,   28 58 N,   88 12 W,30,48.5,           gulf of mexico,                      fao,gulf of mexico,,
  11/02/1885,,,,,,,,,
  11/02/1885,,,,,,,,,
  11/02/1885,,,,,passed soutre light bearing swxw mag,,,,
  11/02/1885,,,30,48.5,gulf of mexico  mississippi river,                      fao,pass a loutre,29 7 7 N,89 12 24W
  12/02/1885,,,56.2,-3,  fort st philip  jackson,                    forth,fort jackson louisiana,29 21 28N,89 27 18 W
  12/02/1885,,,30,-90.1,mississippi river and new orleans la,              new orleans,,,
  13/02/1885,,,,,,,,,
  13/02/1885,,,30,-90.1,forwoods wharf new orleans la,              new orleans,,,
  14/02/1885,,,,,,,,,
  14/02/1885,,,30,-90.1,forwoods wharf new orleans la,              new orleans,,,
  15/02/1885,,,,,,,,,
  15/02/1885,,,30,-90.1,forwoods wharf new orleans la,              new orleans,,,
  16/02/1885,,,,,,,,,
  16/02/1885,,,30,-90.1,forwoods wharf new orleans la,              new orleans,,,
  17/02/1885,,,,,,,,,
  17/02/1885,,,30,-90.1,forwoods wharf new orleans la,              new orleans,,,
  18/02/1885,,,,,,,,,
  18/02/1885,,,30,-90.1,           new orleans la,              new orleans,,,
  19/02/1885,,,,,,,,,
  19/02/1885,,,30,-90.1,forwoods wharf  exposition wharf new orleans la,              new orleans,,,
   20/2/1885,,,,,,,,,
   20/2/1885,,,30,-90.1,exposition wharf new orleans la,              new orleans,,,
   21/2/1885,,,,,,,,,
   21/2/1885,,,30,-90.1,exposition wharf new orleans la,              new orleans,,,
  22/02/1885,,,,,,,,,
  22/02/1885,,,30,-90.1,exposition wharf new orleans la,              new orleans,,,
  23/02/1885,,,,,,,,,
  23/02/1885,,,30,-90.1,exposition wharf new orleans la,              new orleans,,,
  24/02/1885,,,,,,,,,
  24/02/1885,,,30,-90.1,exposition wharf new orleans la,              new orleans,,,
  25/02/1885,,,,,,,,,
  25/02/1885,,,30,-90.1,exposition wharf new orleans la,              new orleans,,,
   26/2/1885,,,,,,,,,
   26/2/1885,,,30,-90.1,exposition wharf new orleans la,              new orleans,,,
  27/02/1885,,,,,,,,,
  27/02/1885,,,30,-90.1,exposition grounds new orleans la,              new orleans,,,
  28/02/1885,,,,,,,,,
  28/02/1885,,,30,-90.1,new orleans  mississippi river la,              new orleans,,,
  01/03/1885,,,,,,,,,
  01/03/1885,   28 03 N,   87 45 W,22.2,113.9,         location at noon,                      fao,gulf of mexico,,
  02/03/1885,,,22.2,113.9,          station no 2380,                     taio,gulf of mexico,,
  02/03/1885,   28 34 N,   88 10 W,30,48.5,           gulf of mexico,                      fao,gulf of mexico,,
  03/03/1985,,,,,,,,,
  03/03/1985,   29 25 N,   87 52 W,30,48.5,           gulf of mexico,                      fao,gulf of mexico,,
    4/3/1885,,,,,,,,,
    4/3/1885,,,,,,,,,
    4/3/1885,,,,,,,,,
    4/3/1885,,,30,48.5,gulf of mexico  navy yard pensacola fla,                      fao,pensacola bay,,
  05/03/1885,,,,,      navy yard pensacola,,,,
  05/03/1885,,,30,48.5,pensacola fla  gulf of mexico,                      fao,pensacola bay,,
  06/03/1885,,,,,,,,,
  06/03/1885,   29 15 N,   85 38 W,30,48.5,           gulf of mexico,                      fao,gulf of mexico,,
  07/03/1885,,,,,            cape san blas,,,,
  07/03/1885,,,30,48.5,           gulf of mexico,                      fao,cape san blas,,
  07/03/1885,,,,,,,,,
  07/03/1885,   29 09 N,   85 32 W,30,48.5,           gulf of mexico,                      fao,gulf of mexico,,
  08/03/1885,,,,,,,,,
  08/03/1885,   30 14 N,,30,48.5,      pensacola navy yard,                      fao,pensacola bay,,
  09/03/1885,,,43.1,16.7,    santa rosa id florida,                     hvar,santa rosa island florida,30 22 57N,86 51 23W
  09/03/1885,,,,,            pensacola fla,,,,
   10/3/1885,,,,,,,,,
   10/3/1885,,,,,   navy yard pensacola fl,,,,
   11/3/1885,,,,,,,,,
   11/3/1885,,,,,      pensacola navy yard,,,,
  12/04/1885,,,,,,,,,
  12/04/1885,   28 39 N,   87 14 W,,,,,,,
   13/3/1885,,,,,,,,,
   13/3/1885,   28 43 N,   86 16 W,30,48.5,           gulf of mexico,                      fao,gulf of mexico,,
   14/3/1885,,,,,,,,,
   14/3/1885,   28 47 N,   84 48 W,30,48.5,           gulf of mexico,                      fao,gulf of mexico,,
  15/03/1885,,,,,,,,,
  15/03/1885,,,,,,,,,
  15/03/1885,,,,,,,,,
  15/03/1885,   28 20 N,   84 15 W,30,48.5,           gulf of mexico,                      fao,gulf of mexico,,
   16/3/1885,,,,,,,,,
   16/3/1885,,,,,,,,,
  16/03/----,,,,,,,,,
  16/03/----,,,30,48.5,gulf of mexico  tampa bay,                      fao,tampa bay,27 45 45N,82 32 45W
  07/03/1885,,,,,,,,,
  07/03/1885,   27 11 N,   83 15 W,30,48.5, tampa bay gulf of mexico,                      fao,tampa bay,,
   18/3/1885,,,,,,,,,
   18/3/1885,   25 49 N,   83 01 W,30,48.5,           gulf of mexico,                      fao,gulf of mexico,,
  19/03/1885,,,,,,,,,
  19/03/1885,,,,,,,,,
  19/03/1885,,,,,,,,,
  19/03/1885,,,30,48.5,florida strait of key west fla,                      fao,key west,,
  20/03/1885,,,,,,,,,
  20/03/1885,,,51.1,1.3,government wharf key west fla,                    dover,key west,,
  21/03/1885,,,,,,,,,
