  01/01/1917,        NA,        NA_2,47.6,-122.3,       seattle washington,                  seattle,h,i,j
  26/02/1917,,,,,,,,,
  27/02/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  27/02/1917,,,,,,,,,
  28/02/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  28/02/1917,,,,,,,,,
  28/02/1917,,,,,,,,,
  28/02/1917,,,,,,,,,
  28/02/1917,,,,,,,,,
  28/02/1917,,,,,,,,,
  28/02/1917,,,,,,,,,
  28/02/1917,,,,,,,,,
  28/02/1917,,,,,,,,,
  28/02/1917,,,,,,,,,
  28/02/1917,,,,,,,,,
  28/02/1917,,,,,,,,,
  01/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  01/03/1917,,,,,,,,,
  02/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  02/03/1917,,,,,,,,,
  03/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  03/03/1917,,,,,,,,,
  04/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  04/03/1917,,,,,,,,,
  05/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  05/03/1917,,,,,,,,,
  06/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  06/03/1917,,,,,,,,,
  07/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  07/03/1917,,,,,,,,,
  08/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  08/03/1917,,,,,,,,,
  09/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  09/03/1917,,,,,,,,,
  10/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  10/03/1917,,,,,,,,,
  11/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  11/03/1917,,,,,,,,,
  12/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  12/03/1917,,,,,,,,,
  13/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  13/03/1917,,,,,,,,,
  14/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  14/03/1917,,,,,,,,,
  15/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  15/03/1917,,,,,,,,,
  16/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  16/03/1917,,,,,,,,,
  17/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  17/03/1917,,,,,,,,,
  18/03/1917,,,47.6,-122.3,       seattle washington,                  seattle,,,
  18/03/1917,,,47.6,-122.3,             west seattle,                  seattle,,,
