  01/01/1871,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/01/1871,   37 07 S,2018-07-31T00:00:00,,,                   at sea,,,,
  02/01/1871,,,,,,,,,
  02/01/1871,   35 23 S,2017-08-22T00:00:00,,,                   at sea,,,,
  03/01/1871,,,,,,,,,
  03/01/1871,   33 25 S,2018-07-10T00:00:00,35,32.4,      latitude by bearing,                    latzi,south pacific,,
  04/01/1871,,,,,,,,,
  04/01/1871,   30 30 S,2018-07-31T00:00:00,,,                   at sea,,,,
  05/01/1871,,,,,,,,,
  05/01/1871,   28 22 S,2018-06-05T00:00:00,,,,,,,
  06/01/1871,,,,,,,,,
  06/01/1871,   27 09 S,2018-05-08T00:00:00,,,                   at sea,,,,
  07/01/1871,,,,,,,,,
  07/01/1871,   25 37 S,2017-09-19T00:00:00,,,                   at sea,,,,
  08/01/1871,,,,,,,,,
  08/01/1871,   23 17 S,2018-05-15T00:00:00,,,                   at sea,,,,
  09/01/1871,,,,,,,,,
  09/01/1871,   21 19 S,2018-07-03T00:00:00,,,                   at sea,,,,
  10/01/1871,,,,,,,,,
  10/01/1871,   19 18 S,2018-04-10T00:00:00,-22.3,166.4,latitude by observation near noon,                    nunea,south pacific,,
  11/01/1871,,,,,,,,,
  11/01/1871,   17 21 S,2018-01-30T00:00:00,,,                   at sea,,,,
  12/01/1871,,,,,,,,,
  12/01/1871,   15 24 S,2017-09-26T00:00:00,,,                   at sea,,,,
  13/01/1871,,,,,,,,,
  13/01/1871,   13 51 S,2018-05-01T00:00:00,,,                   at sea,,,,
  14/01/1871,,,,,,,,,
  14/01/1871,   12 36 S,2017-10-03T00:00:00,,,                   at sea,,,,
  15/01/1871,,,,,,,,,
  15/01/1871,,,,,                   at sea,,,,
  16/01/1871,,,,,,,,,
  16/01/1871,,,,,                   at sea,,,,
  17/01/1871,,,,,,,,,
  17/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,12 2S,0001-02-26
  18/01/1871,,,,,,,,,
  18/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  19/01/1871,,,,,,,,,
  19/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  20/01/1871,,,,,,,,,
  20/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  21/01/1871,,,,,,,,,
  21/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  22/01/1871,,,,,,,,,
  22/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  23/01/1871,,,,,,,,,
  23/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  24/01/1871,,,,,,,,,
  24/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  25/01/1871,,,,,,,,,
  25/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  26/01/1871,,,,,,,,,
  26/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  27/01/1871,,,,,,,,,
  27/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  28/01/1871,,,,,,,,,
  28/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  29/01/1871,,,,,,,,,
  29/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  30/01/1871,,,,,,,,,
  30/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  31/01/1871,,,,,,,,,
  31/01/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  01/02/1871,,,,,,,,,
  01/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  02/02/1871,,,,,,,,,
  02/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  03/02/1871,,,,,,,,,
  03/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  04/02/1871,,,,,,,,,
  04/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  05/02/1871,,,,,,,,,
  05/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  06/02/1871,,,,,,,,,
  06/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  07/02/1871,,,,,,,,,
  07/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  08/02/1871,,,,,,,,,
  08/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  09/02/1871,,,,,,,,,
  09/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  10/02/1871,,,,,,,,,
  10/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  11/02/1871,,,,,,,,,
  11/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  12/02/1871,,,,,,,,,
  12/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  13/02/1871,,,,,,,,,
  13/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  14/02/1871,,,,,,,,,
  14/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  15/02/1871,,,,,,,,,
  15/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  16/02/1871,,,,,,,,,
  16/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  17/02/1871,,,,,,,,,
  17/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  18/02/1871,,,,,,,,,
  18/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  19/02/1871,,,,,,,,,
  19/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  20/02/1871,,,,,,,,,
  20/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  21/02/1871,,,,,,,,,
  21/02/1871,,,30,48.5,       bay of callao peru,                      fao,callao,,
  22/02/1871,,,,,,,,,
  22/02/1871,   11 54 S,2018-04-03T00:00:00,30,48.5,       bay of callao peru,                      fao,callao,,
  23/02/1871,,,,,,,,,
  23/02/1871,   10 23 S,2017-08-22T00:00:00,,,                   at sea,,,,
  24/02/1871,,,,,,,,,
  24/02/1871,   08 26 S,2017-12-19T00:00:00,,,                   at sea,,,,
  25/02/1871,,,,,,,,,
  25/02/1871,   06 44 S,2018-07-03T00:00:00,,,                   at sea,,,,
  26/02/1871,,,,,,,,,
  26/02/1871,   04 41 S,2017-08-29T00:00:00,,,                   at sea,,,,
  27/02/1871,,,,,,,,,
  27/02/1871,   02 29 S,2018-06-26T00:00:00,,,                   at sea,,,,
  28/02/1871,,,,,,,,,
  28/02/1871,   00 25 S,2017-07-25T00:00:00,,,                   at sea,,,,
  01/03/1871,,,,,,,,,
  01/03/1871,   00 34 N,2018-03-06T00:00:00,,,,,,,
  02/03/1871,,,,,,,,,
  02/03/1871,   03 13 N,2018-02-27T00:00:00,,,                   at sea,,,,
  03/03/1871,,,,,,,,,
  03/03/1871,   04 41 N,2018-07-31T00:00:00,,,                   at sea,,,,
  04/03/1871,,,,,,,,,
  04/03/1871,   04 31 N,2017-08-01T00:00:00,,,                   at sea,,,,
  05/03/1871,,,,,,,,,
  05/03/1871,   04 11 N,2018-02-06T00:00:00,,,                   at sea,,,,
  06/03/1871,,,,,,,,,
  06/03/1871,   04 31 N,2017-09-05T00:00:00,,,                   at sea,,,,
  07/03/1871,,,,,,,,,
  07/03/1871,   05 10 N,2018-06-19T00:00:00,,,                   at sea,,,,
  08/03/1871,,,,,,,,,
  08/03/1871,   05 48 N,2017-08-01T00:00:00,,,                   at sea,,,,
  09/03/1871,,,,,,,,,
  09/03/1871,   06 54 N,2017-11-28T00:00:00,,,,,,,
  10/03/1871,,,,,,,,,
  10/03/1871,   07 20 N,2018-04-03T00:00:00,,,                   at sea,,,,
  11/03/1871,,,,,,,,,
  11/03/1871,   07 42 N,2017-10-03T00:00:00,,,                   at sea,,,,
  12/03/1871,,,,,,,,,
  12/03/1871,   07 57 N,2017-07-04T00:00:00,,,                   at sea,,,,
  13/03/1871,,,,,,,,,
  13/03/1871,,,9,-79.5,    working up panama bay,                   panama,,,
  14/03/1871,,,,,,,,,
  14/03/1871,,,9,-79.5,    working up panama bay,                   panama,,,
  15/03/1871,,,,,,,,,
  15/03/1871,,,9,-79.5,    working up panama bay,                   panama,,,
  16/03/1871,,,,,,,,,
  16/03/1871,,,9,-79.5,    working up panama bay,                   panama,,,
  17/03/1871,,,,,,,,,
  17/03/1871,,,9,-79.5,              panama road,                   panama,,,
  18/03/1871,,,,,,,,,
  18/03/1871,,,9,-79.5,              panama road,                   panama,,,
  19/03/1871,,,,,,,,,
  19/03/1871,,,9,-79.5,              panama road,                   panama,,,
  20/03/1871,,,,,,,,,
  20/03/1871,,,9,-79.5,              panama road,                   panama,,,
  21/03/1871,,,,,,,,,
  21/03/1871,,,9,-79.5,              panama road,                   panama,,,
  22/03/1871,,,,,,,,,
  22/03/1871,,,9,-79.5,              panama road,                   panama,,,
  23/03/1871,,,,,,,,,
  23/03/1871,,,9,-79.5,      at anchor in panama,                   panama,,,
  24/03/1871,,,,,,,,,
  24/03/1871,,,9,-79.5,              panama road,                   panama,,,
  25/03/1871,,,,,,,,,
  25/03/1871,,,9,-79.5,              panama road,                   panama,,,
  26/03/1871,,,,,,,,,
  26/03/1871,,,9,-79.5,           in panama road,                   panama,,,
  27/03/1871,,,,,,,,,
  27/03/1871,,,9,-79.5,              panama road,                   panama,,,
  28/03/1871,,,,,,,,,
  28/03/1871,,,9,-79.5,             panama roads,                   panama,,,
  29/03/1871,,,,,,,,,
  29/03/1871,,,9,-79.5,              panama road,                   panama,,,
  30/03/1871,,,,,,,,,
  30/03/1871,,,9,-79.5,              panama road,                   panama,,,
  31/03/1871,,,,,,,,,
  31/03/1871,,,9,-79.5,              panama road,                   panama,,,
  01/04/1871,,,,,,,,,
  01/04/1871,   06 40 N,2018-08-21T00:00:00,,,                   at sea,,,,
  02/04/1871,,,,,,,,,
  02/04/1871,   03 37 N,2017-10-31T00:00:00,,,                   at sea,,,,
  03/04/1871,,,,,,,,,
  03/04/1871,   01 15 N,2017-12-19T00:00:00,,,                   at sea,,,,
  04/04/1871,,,,,,,,,
  04/04/1871,   00 03 S,2018-07-03T00:00:00,,,                   at sea,,,,
  05/04/1871,,,,,,,,,
  05/04/1871,   00 40 S,2018-07-03T00:00:00,,,                   at sea,,,,
  06/04/1871,,,,,,,,,
  06/04/1871,   01 00 S,2017-08-08T00:00:00,-22.3,166.4,latitude by observation near noon,                    nunea,south pacific,,
  07/04/1871,,,,,,,,,
  07/04/1871,   01 23 S,2017-10-17T00:00:00,,,                   at sea,,,,
  08/04/1871,,,,,,,,,
  08/04/1871,   02 01 S,2018-01-30T00:00:00,,,                   at sea,,,,
  09/04/1871,,,,,,,,,
  09/04/1871,   02 22 S,2017-11-21T00:00:00,,,                   at sea,,,,
  10/04/1871,,,,,,,,,
  10/04/1871,   02 40 S,2017-11-07T00:00:00,,,                   at sea,,,,
  11/04/1871,,,,,,,,,
  11/04/1871,   02 57 S,2018-01-02T00:00:00,,,                   at sea,,,,
  12/04/1871,,,,,,,,,
  12/04/1871,   04 18 S,2018-01-02T00:00:00,,,,,,,
   13/4/1871,,,,,,,,,
   13/4/1871,   05 43 S,2017-07-11T00:00:00,,,                   at sea,,,,
  14/04/1871,,,,,,,,,
  14/04/1871,   07 05 S,2018-03-20T00:00:00,,,                   at sea,,,,
  15/04/1871,,,,,,,,,
  15/04/1871,   09 20 S,2018-01-23T00:00:00,,,                   at sea,,,,
  16/04/1871,,,,,,,,,
  16/04/1871,   11 31 S,2018-03-06T00:00:00,,,                   at sea,,,,
  17/04/1871,,,,,,,,,
  17/04/1871,   13 51 S,2018-07-24T00:00:00,,,                   at sea,,,,
  18/04/1871,,,,,,,,,
  18/04/1871,   15 56 S,2018-05-29T00:00:00,,,                   at sea,,,,
  19/04/1871,,,,,,,,,
  19/04/1871,   18 15 S,2017-10-31T01:00:00,,,,,,,
  20/04/1871,,,,,,,,,
  20/04/1871,   20 47 S,2018-06-19T01:00:00,,,                   at sea,,,,
  21/04/1871,,,,,,,,,
  21/04/1871,   23 19 S,2018-01-23T01:01:00,,,                   at sea,,,,
  22/04/1871,,,,,,,,,
  22/04/1871,   25 35 S,2018-07-03T01:01:00,,,                   at sea,,,,
  23/04/1871,,,,,,,,,
  23/04/1871,   26 43 S,2017-10-17T01:02:00,,,                   at sea,,,,
  24/04/1871,,,,,,,,,
  24/04/1871,   26 47 S,2017-08-22T01:02:00,,,                   at sea,,,,
  25/04/1871,,,,,,,,,
  25/04/1871,   27 59 S,2017-11-14T01:03:00,,,                   at sea,,,,
  26/04/1871,,,,,,,,,
  26/04/1871,   29 41 S,2018-07-31T01:03:00,,,                   at sea,,,,
