  01/01/1893,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  01/01/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,36 55N,76 12W
  02/01/1893,,,,,,,,,
  02/01/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  03/01/1893,,,,,,,,,
  03/01/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  04/01/1893,,,,,,,,,
  04/01/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  05/01/1893,,,,,,,,,
  05/01/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  06/01/1896,,,,,,,,,
  06/01/1896,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  07.01.1893,,,,,,,,,
  07.01.1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  08/01/1893,,,,,,,,,
  08/01/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  09/01/1893,,,,,,,,,
  09/01/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  10/01/1893,,,,,,,,,
  10/01/1893,   36 08 N,   76 02 W,-43,147.8,            at norfolk va,              norfolk bay,norfolk virginia,,
  11/01/1893,,,,,,,,,
  11/01/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  12/01/1893,,,,,,,,,
  12/01/1893,,,-43,147.8,            at norfolk va,              norfolk bay,norfolk virginia,,
  13/01/1893,,,,,,,,,
  13/01/1893,,,-43,147.8,            at norfolk va,              norfolk bay,norfolk virginia,,
  14/01/1893,,,,,,,,,
  14/01/1893,,,,,,,,,
  15/01/1893,,,,,,,,,
  15/01/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  16/01/1893,,,,,,,,,
  16/01/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  17/01/1893,,,,,,,,,
  17/01/1893,,,-43,147.8,  at navy yard norfolk va,              norfolk bay,norfolk virginia,,
  18/01/1893,,,,,,,,,
  18/01/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  19/01/1893,,,,,,,,,
  19/01/1893,,,-18.1,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  20/01/1893,,,,,,,,,
  20/01/1893,,,-43,147.8,  at navy yard norfolk va,               norfolk va,norfolk virginia,,
  21/01/1893,,,,,,,,,
  21/01/1893,,,36.8,147.8,      navy yard norfolkva,              norfolk bay,norfolk virginia,,
  22/01/1893,,,,,,,,,
  22/01/1893,,,-43,147.8,  at navy yard norfolk va,              norfolk bay,norfolk virginia,,
  23/01/1893,,,,,,,,,
  23/01/1893,,,-43,147.8,  at navy yard norfolk va,              norfolk bay,norfolk virginia,,
  24/01/1893,,,,,,,,,
  24/01/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  25/01/1893,,,,,,,,,
  25/01/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  26/01/1893,,,,,,,,,
  26/01/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  27/01/1893,,,,,,,,,
  27/01/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  28/01/1893,,,,,,,,,
  28/01/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  29/01/1893,,,,,,,,,
  29/01/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  30/01/1893,,,,,,,,,
  30/01/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  31/01/1893,,,,,,,,,
  31/01/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  01/02/1893,,,,,,,,,
  01/02/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  02/02/1893,,,,,,,,,
  02/02/1893,,,-43,147.8,    navy yard norfolk v a,              norfolk bay,norfolk virginia,,
  03/02/1893,,,,,,,,,
  03/02/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  04/02/1893,,,,,,,,,
  04/02/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  05/02/1893,,,,,,,,,
  05/02/1893,,,-43,147.8,  at navy yard norfolk va,              norfolk bay,norfolk virginia,,
  06/02/1893,,,,,,,,,
  06/02/1893,,,-43,147.8,  at navy yard norfolk va,              norfolk bay,norfolk virginia,,
  07/02/1893,,,,,,,,,
  07/02/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  08/02/1893,,,,,,,,,
  08/02/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  09/02/1893,,,,,,,,,
  09/02/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  10/02/1893,,,,,,,,,
  10/02/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  11/02/1893,,,,,,,,,
  11/02/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  12/02/1893,,,,,,,,,
  12/02/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  13/02/1893,,,,,,,,,
  13/02/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  14/02/1893,,,,,,,,,
  14/02/1893,,,-43,147.8,  at navy yard norfolk va,              norfolk bay,norfolk virginia,,
  15/02/1893,,,,,,,,,
  15/02/1893,0,      27 E,-43,147.8,  at navy yard norfolk va,              norfolk bay,norfolk virginia,,
  16/02/1893,,,,,,,,,
  16/02/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  17/02/1893,,,,,,,,,
  17/02/1893,1,      15 E,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  18/02/1893,,,,,,,,,
  18/02/1893,,,-43,147.8,  at navy yard norfolk va,              norfolk bay,norfolk virginia,,
  19/02/1893,,,,,,,,,
  19/02/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  20/02/1893,,,,,,,,,
  20/02/1893,,,-43,147.8,  at navy yard norfolk va,              norfolk bay,norfolk virginia,,
  21/02/1893,,,,,,,,,
  21/02/1893,,,-43,147.8,  at navy yard norfolk va,              norfolk bay,norfolk virginia,,
  22/02/1893,,,,,,,,,
  22/02/1893,,,-43,147.8,               norfolk va,              norfolk bay,norfolk virginia,,
  23/02/1893,,,,,,,,,
  23/02/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  24/02/1893,,,,,,,,,
  24/02/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  25/02/1893,,,,,,,,,
  25/02/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  26/02/1893,,,,,,,,,
  26/02/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  27/02/1893,,,,,,,,,
  27/02/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  02/28/1893,,,,,,,,,
  02/28/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  01/03/1893,,,,,,,,,
  01/03/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  02/03/1893,,,,,,,,,
  02/03/1893,      21 S,      45 W,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  03/03/1893,,,,,,,,,
  03/03/1893,,,,,,,,,
  04/03/1893,,,,,,,,,
  04/03/1893,      27 S,      00 E,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  05/03/1893,,,,,,,,,
  05/03/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  06/03/1893,,,,,,,,,
  06/03/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  07/03/1893,,,,,,,,,
  07/03/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  08/03/1893,,,,,,,,,
  08/03/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,,,,,,,
  09/03/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  10/03/1893,,,,,,,,,
  10/03/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  11/03/1893,,,,,,,,,
  11/03/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  12/03/1893,,,,,,,,,
  12/03/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  13/03/1893,,,,,,,,,
  13/03/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  14/03/1893,,,,,,,,,
  14/03/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  15/03/1892,,,,,,,,,
  15/03/1892,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  16/03/1893,,,,,,,,,
  16/03/1893,,,-43,147.8,     navy yard norfolk va,              norfolk bay,norfolk virginia,,
  17/03/1893,,,,,,,,,
