  19/05/1887,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  19/05/1887,,,,,,,,,
  19/05/1887,,,,,,,,,
  19/05/1887,,,,,,,,,
  19/05/1887,,,,,,,,,
  19/05/1887,,,,,,,,,
  19/05/1887,,,,,,,,,
  19/05/1887,,,37.8,-122.4,        san francisco cal,        san francisco bay,,,
  19/05/1887,,,,,,,,,
  20/05/1887,   38 49 N,  125 11 W,,,,,,,
  20/05/1887,,,,,                   at sea,,,,
  21/05/1887,   40 12 N,  128 41 W,,,,,,,
  21/05/1887,,,,,                   at sea,,,,
  22/05/1887,   41 31 N,  132 31 W,,,,,,,
  22/05/1887,,,,,                   at sea,,,,
  23/05/1887,   42 58 N,  136 11 W,,,,,,,
  23/05/1887,,,,,,,,,
  24/05/1887,   44 06 N,  140 14 W,,,,,,,
  24/05/1887,,,,,,,,,
  25/05/1887,   45 58 N,  144 13 W,,,,,,,
  25/05/1887,,,,,                   at sea,,,,
  26/05/1887,   47 52 N,  147 44 W,,,,,,,
  26/05/1887,,,,,                   at sea,,,,
  27/05/1887,   49 23 N,  150 43 W,,,,,,,
  27/05/1887,,,,,                   at sea,,,,
  28/05/1887,   50 59 N,  153 50 W,,,,,,,
  28/05/1887,,,,,,,,,
  29/05/1887,   52 10 N,  158 06 W,,,,,,,
  29/05/1887,,,,,                   at sea,,,,
  30/05/1887,   53 37 N,  163 16 W,12.8,45,      revenue heamen bear,                     aden,north pacific,,
  30/05/1887,,,,,                   at sea,,,,
  31/05/1887,   55 55 N,  168 11 W,,,,,,,
  31/05/1887,,,,,                   at sea,,,,
  01/06/1887,,,57.1,-170.3,   sw harbor st paul isld,           st paul island,,,
  01/06/1887,,,55,166.3,              behring sea,                  behring,,,
  02/06/1887,,,56.6,-169.6,at anchor off village st george isld,                st george,,,
  02/06/1887,,,55,166.3,              behring sea,                  behring,,,
  03/06/1887,,,56.6,-169.6,at anchor in sw harbor st george isld,         st george island,,,
  03/06/1887,,,55,166.3,         st george island,         st george island,,,
  04/06/1887,,,56.6,-169.6,at anchor off village st george island,         st george island,,,
  04/06/1887,,,55,166.3,              behring sea,                  behring,,,
  05/06/1887,   56 17 N,  169 29 W,,,,,,,
  05/06/1887,,,55,166.3,              behring sea,                  behring,,,
  06/06/1887,   54 14 N,  167 36 W,,,,,,,
  05/06/1887,,,55,166.3,              behring sea,                  behring,,,
  07/06/1887,   54 40 N,  165 10 W,,,,,,,
  07/06/1887,,,55,166.3,              behring sea,                  behring,,,
  08/06/1887,   54 55 N,  162 25 W,,,,,,,
  08/06/1887,,,30.6,47.8,           shumagin islds,                    magil,shumagin islands,55 04 00N,160 03 00W
  09/06/1887,   55 12 N,  160 42 W,,,,,,,
  09/06/1887,   55 12 N,  160 42 W,57.4,-152.3,                belkofski,              ugak island,belkofski,55 05 20N,162 01 50W
  10/06/1887,   58 67 N,  160 30 W,,,,,,,
  10/06/1887,,,55.3,73.9,                 nuga bed,              unga island,unga island,55 15 38N,160 41 42W
  11/06/1887,   54 36 N,  166 12 W,,,,,,,
  11/06/1887,,,57.4,-152.3,      unga island  at sea,              ugak island,akutan island,54 07 41N,165 55 05W
  12/06/1887,   54 37 N,  165 29 W,,,,,,,
  12/06/1887,,,55,166.3,north pacifinc ounimak pass and behring sea,                  behring,,,
  13/06/1887,   56 26 N,  169 11 W,,,,,,,
  13/06/1887,,,56.6,-169.6,cruising behring sea and at anchor off st george isld,         st george island,,,
  14/06/1887,   57 07 N,  170 17 W,,,,,,,
  14/06/1887,,,,,,,,,
  15/06/1887,   56 69 N,  168 56 W,,,,,,,
  15/06/1887,,,,,,,,,
  16/06/1887,   54 07 N,  166 53 W,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  16/06/1887,,,,,,,,,
  17/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  17/06/1887,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  18/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  18/06/1887,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  19/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  19/06/1887,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  20/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  20/06/1887,Unalaska Harbor,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  21/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  21/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  22/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  22/06/1887,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  23/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  23/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  24/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  24/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  25/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  25/06/1887,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  26/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  26/06/1887,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  27/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  27/06/1887,,,53.9,-166.5,         ounalaska harbor,             unalaska bay,,,
  28/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  28/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  29/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  29/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  30/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  30/06/1887,,,53.9,-166.5,          unalaska harbor,             unalaska bay,,,
  01/07/1887,   54 43 N,  167 07 W,,,,,,,
  01/07/1887,,,53.9,-166.5,ounalaska harbor and behring sea,             unalaska bay,,,
  02/07/1887,,,56.6,-169.6, bearing st george island,         st george island,,,
  02/07/1887,,,55,166.3,              behring sea,                  behring,,,
  03/07/1887,   57 39 N,  169 51 W,,,,,,,
  03/07/1887,,,55,166.3,              behring sea,                  behring,,,
  04/07/1887,   60 30 N,  170 21 W,,,,,,,
  04/07/1887,,,55,166.3,              behring sea,                  behring,,,
  05/07/1887,   62 34 N,  167 31 W,,,,,,,
  05/07/1887,,,55,166.3,              behring sea,                  behring,,,
  06/07/1887,   63 47 N,  162 45 W,,,,,,,
  06/07/1887,,,55,166.3,behring sea and norton sound,                  behring,norton sound,63 50 57N,164 16 08W
  07/07/1887,,,63.5,-162, at anchor off st michael,               st michael,,,
  07/07/1887,,,63.5,-162,st michaels and behring sea,               st michael,,,
  08/07/1887,   64 26 N,  165 47 W,,,,,,,
  08/07/1887,,,55,166.3,behring sea and kings isld,                  behring,norton sound,,
  09/07/1887,,,65.2,-166.7,at anchor in port clarence,           port clearance,,,
  09/07/1887,,,65.2,-166.7,behring sea and port clarence,           port clearance,,,
  10/07/1887,   66 14 N,  166 55 W,,,,,,,
  10/07/1887,,,65.2,-166.7,port clarence and behring sea,           port clearance,,,
  11/07/1887,   63 54 N,  172 18 W,,,,,,,
  11/07/1887,,,55,166.3,              behring sea,                  behring,,,
  12/07/1887,   62 50 N,  176 25 W,,,,,,,
  12/07/1887,,,55,166.3,              behring sea,                  behring,,,
  13/07/1887,   62 29 N,  179 50 W,,,,,,,
  13/07/1887,,,55,166.3,              behring sea,                  behring,cape navarin,62 16 51N,179 7 5E
  14/07/1887,   62 12 N,  179 15 E,,,,,,,
  14/07/1887,,,62.3,179.1,behring sea and at cape navarin,            cape navarino,,,
  15/07/1887,,,,,,,,,
  15/07/1887,,,62.3,179.1,at anchor off cape navarin,            cape navarino,,,
  16/07/1887,   62 42 N,  179 48 E,,,,,,,
  16/07/1887,,,62.3,179.1,behring sea off cape navarin,            cape navarino,,,
  17/07/1887,   62 27 N,  177 50 E,,,,,,,
  17/07/1887,,,62.3,179.1,behring sea off cape navarin,            cape navarino,,,
  18/07/1887,   62 26 N,  179 30 E,,,,,,,
  18/07/1887,,,62.3,179.1,off cape navarin and behring sea,            cape navarino,,,
  19/07/1887,   63 21 N,  176 52 W,,,,,,,
  19/07/1887,,,55,166.3,              behring sea,                  behring,,,
  20/07/1887,   64 00 N,  173 50 W,,,,,,,
  20/07/1887,,,55,166.3,              behring sea,                  behring,,,
  21/07/1887,   63 50 N,  171 35 W,,,,,,,
  21/07/1887,,,55,166.3,              behring sea,                  behring,,,
  22/07/1887,   65 29 N,  170 32 W,,,,,,,
  22/07/1887,,,65.7,-171.1,behring sea and off st lawrence bay,          st lawrence bay,,,
  23/07/1887,   66 34 N,  167 46 W,,,,,,,
  23/07/1887,,,55,166.3,behring sea and arctic ocean,                  behring,,,
  24/07/1887,   66 36 N,  163 25 W,,,,,,,
  24/07/1887,,,66.5,-162.8,arctic ocean and kotzebue sound,           kotzebue sound,,,
