  12/01/1930,        NA,        NA_2,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,58.3014485N,134.4216125W
  25/02/1930,,,53.4,-3,      off cape calvert bc,                   albert,calvert island bc,51 35N,2017-07-25T01:28:00
  26/02/1930,,,,,,,,,
  26/02/1930,,,25.8,-171.7,     off finlayson island,                   laysan,lax kwalaams,54.550N,2020-01-02T00:00:00
  27/02/1930,,,,,,,,,
  27/02/1930,,,13.4,-131.7,             off guard is,                     guam,guard island light,55.445990N,2020-01-13T00:00:00
  28/02/1930,,,,,,,,,
  28/02/1930,,,,,,,,,
  28/02/1930,,,,,,,,,
  28/02/1930,,,,,,,,,
  28/02/1930,,,,,,,,,
  28/02/1930,,,,,,,,,
  28/02/1930,,,,,,,,,
  28/02/1930,,,,,,,,,
  28/02/1930,,,,,,,,,
  28/02/1930,,,56.5,-132.4,          wrangell alaska,                 wrangell,,,
  01/03/1930,,,,,,,,,
  01/03/1930,,,,,,,,,
  01/03/1930,,,,,,,,,
  01/03/1930,,,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,,
  02/03/1930,,,,,,,,,
  02/03/1930,,,52.8,173.3,        gastineau channel,                    nunea,juneau alaska,,
  03/03/1930,,,,,,,,,
  03/03/1930,     58 42,    141 23,,,,,,,
  04/03/1930,,,,,,,,,
  04/03/1930,   59 40 N,  149 17 W,60,-149.4,off hive island resurrection bay,         resurrection bay,,,
  05/03/1930,,,,,,,,,
  05/03/1930,     59 32,    148 52,60.1,-149.4,            seward alaska,                   seward,,,
  06/03/1930,,,,,,,,,
  06/03/1930,     58 46,    145 10,,,,,,,
  07/03/1930,,,,,,,,,
  07/03/1930,     59 15,    140 03,,,,,,,
  08/03/1930,,,,,,,,,
  08/03/1930,     59 28,    144 05,,,,,,,
  09/03/1930,,,,,,,,,
  09/03/1930,     59 40,    145 22,,,,,,,
  10/03/1930,,,,,,,,,
  10/03/1930,     59 34,    140 00,54.1,-165.8,                  yakutat,                   akutan,yakutat alaska,59 32 49N,2018-03-27T01:39:00
  11/03/1930,,,,,,,,,
  11/03/1930,   59 37 N,  142 57 W,,,,,,,
  12/03/1930,,,,,,,,,
  12/03/1930,     59 15,    146 09,,,,,,,
  13/03/1930,,,,,,,,,
  13/03/1930,     59 45,    144 45,52.1,-128.1,           wingham island,              camp island,kayak island,59 56 03N,2017-08-15T01:44:00
  14/03/1930,,,,,,,,,
  14/03/1930,,,,,,,,,
  14/03/1930,,,,,,,,,
  14/03/1930,     59 42,    146 40,,,,,,,
  15/03/1930,,,,,,,,,
  15/03/1930,     58 43,    146 58,,,,,,,
  16/03/1930,,,,,,,,,
  16/03/1930,     59 21,    148 47,,,,,,,
  17/03/1930,,,,,,,,,
  17/03/1930,,,60.1,-149.4,            seward alaska,                   seward,,,
  18/03/1930,,,,,,,,,
  18/03/1930,,,60.1,-149.4,            seward alaska,                   seward,,,
  19/03/1930,,,,,,,,,
  19/03/1930,,,60.1,-149.4,            seward alaska,                   seward,,,
  20/03/1930,,,,,,,,,
  20/03/1930,,,60.1,-149.4,            seward alaska,                   seward,,,
  21/03/1930,,,,,,,,,
