  12/01/1930,        NA,        NA_2,-22.3,166.4,            juneau alaska,                    nunea,juneau alaska,58.3014485N,134.4216125W
  09/08/1930,,,-8.7,115.2,      la playa california,                     bali,la playa san diego,,
  10/08/1930,,,,,,,,,
  10/08/1930,   32 05 N,  117 05 W,-8.7,115.2,      la playa california,                     bali,la playa san diego,,
  11/09/1930,,,,,,,,,
  11/09/1930,   29 30 N,  116 22 W,,,,,,,
  12/08/1930,,,,,,,,,
  12/08/1930,   26 13 N,  114 40 W,,,,,,,
  13/08/1930,,,,,,,,,
  13/08/1930,   23 36 N,  111 24 W,,,,,,,
  14/08/1930,,,,,,,,,
  14/08/1930,   21 07 N,  108 14 W,,,,,,,
  15/08/1930,,,,,,,,,
  15/08/1930,     18 36,    105 15,,,,,,,
  16/08/1930,,,,,,,,,
  16/08/1930,   16 55 N,  101 42 W,,,,,,,
  17/08/1930,,,,,,,,,
  17/08/1930,     15 26,     98 58,,,,,,,
  18/08/1930,,,,,,,,,
  18/08/1930,   13 47 N,   95 22 W,,,,,,,
  19/08/1930,,,,,,,,,
  19/08/1930,     11 53,     91 37,,,,,,,
  20/08/1930,,,,,,,,,
  20/08/1930,   10 16 N,   88 31 W,,,,,,,
  21/08/1930,,,,,,,,,
  21/08/1930,   08 23 N,   84 43 W,,,,,,,
  22/08/1930,,,,,,,,,
  22/08/1930,   06 43 N,   81 18 W,,,,,,,
  23/08/1930,,,,,,,,,
  23/08/1930,,,9,-79.5,                balboa cz,                   panama,balboa panama,8 57N,2018-02-27T00:00:00
  24/08/1930,,,,,,,,,
  24/08/1930,,,8.9,-79.6,                balboa cz,                   balboa,,,
  25/08/1930,,,,,,,,,
  25/08/1930,,,8.9,-79.6,                balboa cz,                   balboa,,,
  26/08/1930,,,,,,,,,
  26/08/1930,,,8.9,-79.6,                balboa cz,                   balboa,,,
  27/08/1930,,,,,,,,,
  27/08/1930,   09 49 N,   79 43 W,9.3,-79.6,                balboa cz,             panama canal,,,
  28/08/1930,,,,,,,,,
  28/08/1930,   11 53 N,   78 35 W,,,,,,,
  29/08/1930,,,,,,,,,
  29/08/1930,   15 07 N,   77 05 W,,,,,,,
  30/08/1930,,,,,,,,,
  30/08/1930,   18 30 N,   74 44 W,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,,,,,,,,,
  31/08/1930,   22 35 N,   74 26 W,,,,,,,
  01/09/1930,,,,,,,,,
  01/09/1930,     26 54,     74 30,,,,,,,
  02/09/1930,,,,,,,,,
  02/09/1930,   30 53 N,   75 10 W,,,,,,,
  03/09/1930,,,,,,,,,
  03/09/1930,   35 06 N,   75 09 W,,,,,,,
  04/09/1930,,,,,,,,,
  04/09/1930,,,55,-1.5,        craighell channel,                      tic,curtis bay baltimore,39 13 35N,2017-10-24T00:00:00
  05/09/1930,,,,,,,,,
  05/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  06/09/1930,,,,,,,,,
  06/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  07/09/1930,,,,,,,,,
  07/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  08/09/1930,,,,,,,,,
  08/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  09/09/1930,,,,,,,,,
  09/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  10/09/1930,,,,,,,,,
  10/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  11/09/1930,,,,,,,,,
  11/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  12/09/1930,,,,,,,,,
  12/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  13/09/1930,,,,,,,,,
  13/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  14/09/1930,,,,,,,,,
  14/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  15/09/1930,,,,,,,,,
  15/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  16/09/1930,,,,,,,,,
  16/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  17/09/1930,,,,,,,,,
  17/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  18/09/1930,,,,,,,,,
  18/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  19/09/1930,,,,,,,,,
  19/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  20/09/1930,,,,,,,,,
  20/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  21/09/1930,,,,,,,,,
  21/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  22/09/1930,,,,,,,,,
  22/09/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  23/09/1930,,,,,,,,,
  23/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,39 11 57N,2018-07-24T00:00:00
  24/09/1930,,,,,,,,,
  24/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  25/09/1930,,,,,,,,,
  25/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  26/09/1930,,,,,,,,,
  26/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  27/09/1930,,,,,,,,,
  27/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  28/09/1930,,,,,,,,,
  28/09/1930,,,51.2,-1.5,      curtis bay maryland,                     deal,curtis bay baltimore,,
  29/09/1930,,,,,,,,,
  29/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,,,,,,,
  30/09/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  01/10/1930,,,,,,,,,
  01/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  02/10/1930,,,,,,,,,
  02/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  03/10/1930,,,,,,,,,
  03/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  04/10/1930,,,,,,,,,
  04/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  05/10/1930,,,,,,,,,
  05/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  05/10/1930,,,,,,,,,
  05/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  07/10/1930,,,,,,,,,
  07/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  08/10/1930,,,,,,,,,
  08/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  09/10/1930,,,,,,,,,
  09/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  10/10/1930,,,,,,,,,
  10/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  11/10/1930,,,,,,,,,
  11/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  12/10/1930,,,,,,,,,
  12/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  13/10/1930,,,,,,,,,
  13/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  14/10/1930,,,,,,,,,
  14/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  15/10/1930,,,,,,,,,
  15/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  16/10/1930,,,,,,,,,
  16/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  17/10/1930,,,,,,,,,
  17/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  18/10/1930,,,,,,,,,
  18/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  19/10/1930,,,,,,,,,
  19/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  20/10/1930,,,,,,,,,
  20/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  21/10/1930,,,,,,,,,
  21/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  22/10/1930,,,,,,,,,
  22/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  23/10/1930,,,,,,,,,
  23/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  24/10/1930,,,,,,,,,
  24/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  25/10/1930,,,,,,,,,
  25/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  26/10/1930,,,,,,,,,
  26/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  27/10/1930,,,,,,,,,
  27/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  28/10/1930,,,,,,,,,
  28/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  29/10/1930,,,,,,,,,
  29/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  30/10/1930,,,,,,,,,
  30/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  31/10/1930,,,,,,,,,
  31/10/1930,,,,,,,,,
  31/10/1930,,,,,,,,,
  31/10/1930,,,,,,,,,
  31/10/1930,,,,,,,,,
  31/10/1930,,,,,,,,,
  31/10/1930,,,,,,,,,
  31/10/1930,,,,,,,,,
  31/10/1930,,,,,,,,,
  31/10/1930,,,,,,,,,
  31/10/1930,,,,,,,,,
  31/10/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  01/11/1930,,,,,,,,,
  01/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  02/11/1930,,,,,,,,,
  02/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  03/11/1930,,,,,,,,,
  03/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  04/11/1930,,,,,,,,,
  04/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  05/11/1930,,,,,,,,,
  05/11/1930,,,39.3,-76.6,       baltimore maryland,            baltimore usa,,,
  06/11/1930,,,,,,,,,
  06/11/1930,,,39.3,-76.6,       baltimore maryland,            baltimore usa,,,
  07/11/1930,,,,,,,,,
  07/11/1930,,,39.3,-76.6,       baltimore maryland,            baltimore usa,,,
  08/11/1930,,,,,,,,,
  08/11/1930,,,39.3,-76.6,       baltimore maryland,            baltimore usa,,,
  09/11/1930,,,,,,,,,
  09/11/1930,,,39.3,-76.6,       baltimore maryland,            baltimore usa,,,
  10/11/1930,,,,,,,,,
  10/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  11/11/1930,,,,,,,,,
  11/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  12/11/1930,,,,,,,,,
  12/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  13/11/1930,,,,,,,,,
  13/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  14/11/1930,,,,,,,,,
  14/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  15/11/1930,,,,,,,,,
  15/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  16/11/1930,,,,,,,,,
  16/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  17/11/1930,,,,,,,,,
  17/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  18/11/1930,,,,,,,,,
  18/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  19/11/1930,,,,,,,,,
  19/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  20/11/1930,,,,,,,,,
  20/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  21/11/1930,,,,,,,,,
  21/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  22/11/1930,,,,,,,,,
  22/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  23/11/1930,,,,,,,,,
  23/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  24/11/1930,,,,,,,,,
  24/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  25/11/1930,,,,,,,,,
  25/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
   26/11/193,,,,,,,,,
   26/11/193,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  27/11/1930,,,,,,,,,
  27/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  28/11/1930,,,,,,,,,
  28/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  29/11/1930,,,,,,,,,
  29/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  30/11/1930,,,,,,,,,
  30/11/1930,,,,,,,,,
  30/11/1930,,,,,,,,,
  30/11/1930,,,,,,,,,
  30/11/1930,,,,,,,,,
  30/11/1930,,,,,,,,,
  30/11/1930,,,,,,,,,
  30/11/1930,,,,,,,,,
  30/11/1930,,,,,,,,,
  30/11/1930,,,,,,,,,
  30/11/1930,,,,,,,,,
  30/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  01/12/1930,,,,,,,,,
  01/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  02/12/1930,,,,,,,,,
  02/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  03/12/1930,,,,,,,,,
  03/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  04/12/1930,,,,,,,,,
  04/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  05/12/1930,,,,,,,,,
  05/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  06/12/1930,,,,,,,,,
  06/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  07/12/1930,,,,,,,,,
  07/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  08/12/1930,,,,,,,,,
  08/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  09/12/1930,,,,,,,,,
  09/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  10/12/1930,,,,,,,,,
  10/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  11/12/1930,,,,,,,,,
  11/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  12/11/1930,,,,,,,,,
  12/11/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  13/12/1930,,,,,,,,,
  13/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  14/12/1930,,,,,,,,,
  14/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  15/12/1930,,,,,,,,,
  15/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  16/12/1930,,,,,,,,,
  16/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  17/12/1930,,,,,,,,,
  17/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  18/12/1930,,,,,,,,,
  18/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  19/12/1930,,,,,,,,,
  19/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  20/12/1930,,,,,,,,,
  20/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  21/12/1930,,,,,,,,,
  21/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  22/12/1930,,,,,,,,,
  22/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  23/12/1930,,,,,,,,,
  23/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  24/12/1930,,,,,,,,,
  24/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  25/12/1930,,,,,,,,,
  25/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  26/12/1930,,,,,,,,,
  26/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  27/12/1930,,,,,,,,,
  27/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  28/12/1930,,,,,,,,,
  28/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  29/12/1930,,,,,,,,,
  29/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  30/12/1930,,,,,,,,,
  30/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,,,,,,,
  31/12/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  01/01/1931,,,,,,,,,
  01/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  02/01/1931,,,,,,,,,
  02/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  03/01/1931,,,,,,,,,
  03/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  04/01/1931,,,,,,,,,
  04/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  05/01/1931,,,,,,,,,
  05/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  06/01/1931,,,,,,,,,
  06/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  07/01/1930,,,,,,,,,
  07/01/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  08/01/1931,,,,,,,,,
  08/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  09/01/1931,,,,,,,,,
  09/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  10/01/1931,,,,,,,,,
  10/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  11/01/1931,,,,,,,,,
  11/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  12/01/1931,,,,,,,,,
  12/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  13/01/1930,,,,,,,,,
  13/01/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  14/01/1931,,,,,,,,,
  14/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  15/01/1931,,,,,,,,,
  15/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  16/01/1931,,,,,,,,,
  16/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  17/01/1931,,,,,,,,,
  17/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  18/01/1931,,,,,,,,,
  18/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  19/01/1930,,,,,,,,,
  19/01/1930,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  20/01/1931,,,,,,,,,
  20/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  21/01/1931,,,,,,,,,
  21/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  22/01/1931,,,,,,,,,
  22/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  23/01/1931,,,,,,,,,
  23/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  24/01/1931,,,,,,,,,
  24/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  25/01/1931,,,,,,,,,
  25/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  26/01/1931,,,,,,,,,
  26/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  27/01/1931,,,,,,,,,
  27/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  28/01/1931,,,,,,,,,
  28/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  29/01/1931,,,,,,,,,
  29/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  30/01/1931,,,,,,,,,
  30/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  31/01/1931,,,,,,,,,
  31/01/1931,,,,,,,,,
  31/01/1931,,,,,,,,,
  31/01/1931,,,,,,,,,
  31/01/1931,,,,,,,,,
  31/01/1931,,,,,,,,,
  31/01/1931,,,,,,,,,
  31/01/1931,,,,,,,,,
  31/01/1931,,,,,,,,,
  31/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  01/02/1931,,,,,,,,,
  01/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  02/02/1931,,,,,,,,,
  02/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  03/02/1931,,,,,,,,,
  03/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  04/02/1931,,,,,,,,,
  04/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  05/02/1931,,,,,,,,,
  05/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  06/02/1931,,,,,,,,,
  06/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  07/02/1931,,,,,,,,,
  07/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  08/02/1931,,,,,,,,,
  08/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  09/02/1931,,,,,,,,,
  09/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  10/02/1931,,,,,,,,,
  10/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  11/02/1931,,,,,,,,,
  11/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  12/02/1931,,,,,,,,,
  12/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  13/02/1931,,,,,,,,,
  13/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  14/01/1931,,,,,,,,,
  14/01/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  15/02/1931,,,,,,,,,
  15/02/1931,,,51.2,1.4,    arundel cove maryland,                     deal,arundel cove,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,,,,,,,
  16/02/1931,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  23/04/1932,,,,,,,,,
  23/04/1932,,,,,,,,,
  23/04/1932,,,,,,,,,
  23/04/1932,,,,,,,,,
  23/04/1932,,,,,,,,,
  23/04/1932,,,,,,,,,
  23/04/1932,,,,,,,,,
  23/04/1932,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  24/04/1932,,,,,,,,,
  24/04/1932,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  25/04/1932,,,,,,,,,
  25/04/1932,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  26/04/1932,,,,,,,,,
  26/04/1932,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  27/04/1932,,,,,,,,,
  27/04/1932,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  28/04/1932,,,,,,,,,
  28/04/1932,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  29/04/1932,,,,,,,,,
  29/04/1932,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  30/04/1932,,,,,,,,,
  30/04/1932,,,,,,,,,
  30/04/1932,,,,,,,,,
  30/04/1932,,,,,,,,,
  30/04/1932,,,,,,,,,
  30/04/1932,,,,,,,,,
  30/04/1932,,,,,,,,,
  30/04/1932,,,,,,,,,
  30/04/1932,,,,,,,,,
  30/04/1932,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  01/05/1932,,,,,,,,,
  01/05/1932,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  02/05/1932,,,,,,,,,
  02/05/1932,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  03/05/1932,,,,,,,,,
  03/05/1932,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
  04/05/1930,,,,,,,,,
  04/05/1930,,,55,-1.5,      curtis bay maryland,                      tic,curtis bay baltimore,,
