  28/04/1892,        NA,        NA_2,        NA_3,        NA_4,                       NA,                       NA_2,h,i,j
  14/06/1892,   65 03 N,  167 55 W,65,-168.1,       king island alaska,            king's island,,,
  15/06/1892,,,,,,,,,
  15/06/1892,   64 55 N,  167 45 W,55,166.3,        at sea bering sea,                  behring,,,
  16/06/1892,,,,,,,,,
  16/06/1892,   64 19 N,  163 15 W,,,,,,,
  17/06/1894,,,,,,,,,
  17/06/1894,   63 44 N,  162 09 W,,,,,,,
  18/06/1892,,,,,,,,,
  18/06/1892,   63 30 N,  161 40 W,,,,,,,
  19/06/1892,,,,,,,,,
  19/06/1892,   63 30 N,  161 40 W,,,,,,,
  20/06/1892,,,63.5,-162,       st michaels alaska,               st michael,,,
  20/06/1892,   64 09 N,  162 38 W,,,,,,,
  21/06/1892,,,63.5,-162,       st michaels alaska,               st michael,,,
  21/06/1892,   64 23 N,  162 46 W,,,,,,,
  22/06/1892,,,22.4,114.2,              golovin bay,                     tolo,golovnin bay,64.41556N,162.95917W
  22/06/1892,   63 30 N,  161 40 W,,,,,,,
  23/06/1892,,,63.5,-162,       st michaels alaska,               st michael,,,
  23/06/1892,   64 27 N,  165 53 W,,,,,,,
  24/06/1892,,,,,             norton sound,,,,
  24/06/1892,   65 16 N,  164 42 W,,,,,,,
  25/06/1892,,,,,,,,,
  25/06/1892,   65 16 N,  166 42 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  26/06/1892,,,,,,,,,
  26/06/1892,   65 16 N,  166 42 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  27/06/1892,,,,,,,,,
  27/06/1892,   65 16 N,  166 42 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  28/06/1892,,,,,,,,,
  28/06/1892,   65 16 N,  166 42 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  29/06/1892,,,,,,,,,
  29/06/1892,   65 16 N,  166 42 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  30/06/1892,,,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  30/06/1892,,,,,,,,,
  30/06/1892,,,,,,,,,
  30/06/1892,   65 22 N,  167 30 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  01/07/1892,,,,,,,,,
  01/07/1892,   65 25 N,  171 10 W,,,,,,,
  02/07/1892,,,15.5,73.9,      off cape knbougonne,                      goa,st lawrence bay chukotka,65.6667N,171.0833W
  02/07/1892,   65 19 N,  168 26 W,,,,,,,
  03/07/1892,,,15.5,73.9,     off cape krleougonne,                      goa,st lawrence bay chukotka,,
  03/07/1892,   65 19 N,  166 30 W,,,off reindeer station port clarence,,,,
  04/07/1892,,,,,off reindeer station port clarence,,,,
  04/07/1892,   65 19 N,  166 30 W,65.2,-166.7,            port clarence,           port clearance,,,
  05/07/1892,,,,,reindeer station port clarence,,,,
  05/07/1892,   66 12 N,  169 45 W,,,,,,,
  06/07/1892,,,55,166.3,        at sea bering sea,                  behring,,,
  06/07/1892,   66 12 N,  169 55 W,31.5,118.4,at anchor off eruchuau siberia,                    erjia,inchoun,66 18N,170 17W
  07/07/1892,,,31.5,118.4,         enchouan siberia,                    erjia,inchoun,,
  07/07/1892,   65 25 N,  168 04 W,,,,,,,
  08/07/1892,,,55,166.3,        at sea bering sea,                  behring,,,
  08/07/1892,   65 19 N,  166 40 W,65.2,-166.7,  at anchor port clarence,           port clearance,,,
  09/07/1892,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  09/07/1892,   65 19 N,  166 30 W,,,off reindeer station port clarence,,,,
  10/07/1892,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  10/07/1892,   65 16 N,  166 44 W,,,off pt spenser port clarence,,,,
  11/07/1892,,,,,off reindeer station port clarence alaska,,,,
  11/07/1892,   65 16 N,  166 46 W,65.2,-166.7,            port clarence,           port clearance,,,
  12/07/1892,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  12/07/1892,   65 16 N,  166 44 W,65.2,-166.7,            port clarence,           port clearance,,,
  13/07/1892,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  13/07/1892,   65 50 N,  168 40 W,,,,,,,
  14/07/1892,,,65.2,-166.7,     port clarence alaska,           port clearance,,,
  14/07/1892,      67 N,     172 W,66.9,-171.6,         cape serdzekamen,                      tic,cape serdtse kamen,66 54 30N,171 37 50W
  15/07/1892,,,31.5,118.4, off the coast of siberia,                    erjia,cape serdtse kamen,,
  15/07/1892,      67 N,     172 W,66.9,-171.6,west of cape serdzekamen siberia,         cape serdzekamen,,,
  16/07/1892,,,66.9,-171.6,off cape serdzekamen siberia,         cape serdzekamen,,,
  16/07/1892,   67 03 N,  172 00 W,66.9,-171.6,west side of cape serdzekamen siberia,         cape serdzekamen,,,
  17/07/1892,,,66.9,-171.6,  off cape serdze siberia,                    erjia,cape serdtse kamen,,
  17/07/1892,   67 00 N,  171 40 W,,,,,,,
  18/07/1892,,,,,,,,,
  18/07/1892,      67 N,  171 40 W,43.7,7.2,                at anchor,                     nice,cape serdtse kamen,,
  19/07/1892,,,,,,,,,
  19/07/1892,   67 01 N,  171 43 W,66.9,-171.6,at sea off cape serdzekamers siberia,         cape serdzekamen,,,
  20/07/1892,,,,,,,,,
  20/07/1892,   65 50 N,  168 50 W,,,,,,,
  21/07/1892,,,,,,,,,
  21/07/1892,   66 19 N,  166 30 W,,,off reindeer station port clarence,,,,
  22/07/1892,,,,,off reindeer station port clarence alaska,,,,
  22/07/1892,   66 19 N,  166 30 W,,,                at anchor,,,,
  23/07/1892,,,,,,,,,
  23/07/1892,   66 18 N,  166 30 W,,,                at anchor,,,,
  24/07/1892,,,,,off reindeer station port clarence alaska,,,,
  24/07/1892,   65 18 N,  167 25 W,73.8,-87,                at anchor,                cape york,port clarence alaska,65 15 58N,166 51 10W
  25/07/1892,,,,,off reindeer station port clarence alaska,,,,
  25/07/1892,   65 37 N,  170 43 W,65.7,-171.1,at anchor lutka harbor st lawrence bay siberia,          st lawrence bay,,,
