  08/02/1935	   34 06 N	  120 15 W	      -8.7	     115.2	bechers bay santa rosa id calif	                     bali	
  08/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/02/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  09/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/02/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  10/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/02/1935	        NA	        NA	      33.8	    -118.2	standard gypsum co wharf long beach california	               long beach	
  11/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/02/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  12/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/02/1935	        NA	        NA	      33.8	    -118.2	standard gypsum dock long beach calif	               long beach	
  13/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/02/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  14/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/02/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  15/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  16/02/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  16/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  17/02/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  17/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  18/02/1935	   33 45 N	  119 28 W	      33.8	    -118.2	    long beach california	               long beach	
  18/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  19/02/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  19/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  20/02/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  20/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  21/02/1935	   34 05 N	  120 20 W	      33.8	    -118.2	long beach calif to working gounds	               long beach	
  21/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  22/02/1935	     34 04	  120 08 W	      -8.7	     115.2	bechers bay santa rosa i southern california	                     bali	
  22/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  23/02/1935	   33 53 N	  120 04 W	      -8.7	     115.2	bechers bay santa rosa i southern california	                     bali	
  23/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  24/02/1935	     33 52	  120 02 W	      -8.7	     115.2	bechers bay santa rosa i southern california	                     bali	
  24/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  25/02/1935	   34 07 N	  120 23 W	      -8.7	     120.4	beechers bay santa rosa island calif	              rose island	
  25/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/02/1935	     34 03	  120 05 W	      -8.7	     118.4	croak pt san miguel id calif	              rocky point	
  26/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  27/02/1935	   34 05 N	  119 54 W	      -8.7	     120.4	bechers bay santa rosa i southern california	              rose island	
  27/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  28/02/1935	   33 55 N	  119 56 W	      -8.7	     115.2	bechers bay santa rosa i southern california	                     bali	
  28/02/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  01/03/1935	   33 55 N	  119 45 W	      -8.7	     115.2	bechers bay santa rosa i southern california	                     bali	
  01/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  02/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  02/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  03/03/1935	        NA	        NA	      33.8	    -118.2	alongside standard gypsum co wharf long beach calif	               long beach	
  03/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  04/03/1935	        NA	        NA	      33.8	    -118.2	alongside standard gypsum co wharf long beach calif	               long beach	
  04/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  05/03/1935	   34 00 N	  119 32 W	      -8.7	      -1.5	at anchor smuggeins cove santa cruz i calif	                    t i c	
  05/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  06/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  07/03/1935	   33 59 N	  119 57 W	      -8.7	     114.0	anchoed at beechers bay santa pora i calif	                   tai po	
  07/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  08/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  09/03/1935	        NA	        NA	      33.8	    -118.2	en route to long beach california	               long beach	
  09/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  10/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  10/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  11/03/1935	        NA	        NA	      33.8	    -118.2	alonside pier 1 bearth 48 long beach california	               long beach	
  11/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  12/03/1935	        NA	        NA	      33.8	    -118.2	alongside pier 1 long beach california	               long beach	
  12/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  13/03/1935	        NA	        NA	      33.8	    -118.2	    long beach california	               long beach	
  13/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  14/03/1935	        NA	        NA	      33.8	    -118.2	alongside standard gypsum co wharf long beach calif	               long beach	
  14/03/1935	        NA	        NA	        NA	        NA	                       NA	                       NA	
  15/03/1935	        NA	        NA	      33.8	    -118.2	alongside standard gypsum co wharf long beach calif	               long beach	
