  05/04/1902	        NA	        NA	      37.8	    -122.4	 san francisco california	        san francisco bay	
  06/04/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  07/04/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  08/04/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  09/04/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  10/04/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  11/04/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  12/04/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  13/04/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  14/04/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  15/04/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  16/04/1902	        NA	        NA	      37.8	    -122.4	        san francisco cal	        san francisco bay	
  17/04/1902	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  18/04/1902	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  19/04/1902	   43 26 N	  124 41 W	      NA	      NA	      NA
  20/04/1902	        NA	        NA	        NA	        NA	                   at sea	                       NA	
  21/04/1902	        NA	        NA	      48.1	    -122.8	                   at sea	            port townsend	
  22/04/1902	        NA	        NA	        NA	        NA	              puget sound	                       NA	
  23/04/1902	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  25/04/1902	        NA	        NA	      47.3	    -122.4	        tacoma washington	                   tacoma	
  26/04/1902	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
  26/04/1902	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1902	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1902	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1902	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1902	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1902	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1902	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1902	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1902	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1902	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1902	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1902	        NA	        NA	        NA	        NA	                       NA	                       NA	
  26/04/1902	        NA	        NA	      47.6	    -122.3	       seattle washington	                  seattle	
